((((3*7)+8)+(2+(3*1)))/(4*(4*4)))	37*8+231*++444**/
((5*(2+(9/8)))*(5+(6-(8/(5*2)))))	5298/+*56852*/-+*
(8-(1/(7*((9/0)-(9+(2+(1/8)))))))	81790/9218/++-*/-
(((5/0)+7)*((4*(5+8))+(9/(9/2))))	50/7+458+*992//+*
(((2-7)/(5-(0-2)))/(8+(4+(6*6))))	27-502--/8466*++/
((((8+(6*8))*(2-4))-8)*(9+(8/3)))	868*+24-*8-983/+*
(((5*6)/(1-(2*8)))/(0-(8-(5*9))))	56*128*-/0859*--/
((5-(7+(8+9)))/(5*(9/(5*(2/6)))))	5789++-59526/*/*/
((((9-(8+7))+(2*(3*0)))-1)/(0-2))	987+-230**+1-02-/
(((0/1)-(3*(8*((9/8)-2))))*(9+9))	01/3898/2-**-99+*
(((4+(6*0))-((9-0)*(9+(9/1))))/9)	460*+90-991/+*-9/
((7+((3/2)*(5-(9*1))))+(4-(0/6)))	732/591*-*+406/-+
(((2-(2/(9-6)))+(0+(3/(9+4))))-7)	2296-/-0394+/++7-
(((1*(3*5))*(7/((8*0)/3)))-(4+1))	135**780*3//*41+-
(((9+(1/3))-(3*(3/(4+5))))*(0*7))	913/+3345+/*-07**
((((5-8)*0)*(7*(0+(0/7))))+(7+4))	58-0*7007/+**74++
(((3+2)+((0-(1/7))+9))*(0-(4/0)))	32+017/-9++040/-*
(((9*(7/7))+(4/8))+(0*(9-(2-7))))	977/*48/+0927--*+
(((6/(0/8))-(9-6))/(3+(6-(8-9))))	608//96--3689--+/
(3/(5-((0-(5+(7*(8*3))))*(8-8))))	3505783**+-88-*-/
(9/((7+((5/5)-(7*(3*8))))-(7/0)))	9755/738**-+70/-/
((((3-(7*6))+(0/9))-((8-3)*2))+1)	376*-09/+83-2*-1+
((((3-7)/0)*(5/6))/(5/(8+(6*6))))	37-0/56/*5866*+//
((7+((1-(9+(3*2)))/(5-7)))/(9*5))	71932*+-57-/+95*/
((((4-9)-(8+3))/(3*(9+6)))*(9*6))	49-83+-396+*/96**
(((7*(5+0))-(9*(9*0)))+(9*(2+7)))	750+*990**-927+*+
(((5/(8/0))+(2-7))/(4/(6-(9/1))))	580//27-+4691/-//
((((3-(6+7))-4)+(5/(3+0)))-(4/8))	367+-4-530+/+48/-
((((3*0)*9)*((9-7)-1))*(8-(3+7)))	30*9*97-1-*837+-*
((5+(3*1))/((0/(4/(1+4)))/(0/9)))	531*+0414+//09///
((((9*(8-8))-(1*9))-(1*9))-(9-2))	988-*19*-19*-92--
(4*(6+(6-((3*(9/7))/(5/(9/1))))))	466397/*591///-+*
((8+(4-(9*((1+(1+(4+0)))*1))))*5)	8491140+++1**-+5*
(((1-6)/(2-4))*(3-(3+(6+(2/6)))))	16-24-/33626/++-*
(((2+1)*(3/(1*1)))+(4+(5+(8/1))))	21+311*/*4581/+++
(((((8/4)*3)*2)-(4+(3/7)))*(9+2))	84/3*2*437/+-92+*
(((5*((9/2)-(5-8)))+(1*5))*(9/9))	592/58--*15*+99/*
((9-5)+((0+(8/5))-(6*(2*(0+2)))))	95-085/+6202+**-+
((4*((1+3)/((3+1)/(4-8))))-(1/8))	413+31+48-//*18/-
(((4-7)/(1/5))-(8/(6-(6/(1-7)))))	47-15//86617-/-/-
((8/4)*(6+((2+(1+9))*(4-(8/8)))))	84/6219++488/-*+*
((5-1)-(9+((9-3)/(7-(5-(5*1))))))	51-993-7551*--/+-
(((4+(7-(5-6)))*3)+((6+(5*6))-0))	4756--+3*656*+0-+
(3+(((0-9)+(2*7))/(7/(1/(7*8)))))	309-27*+7178*///+
(7+(((1-1)+((5-6)+(8*2)))*(9*3)))	711-56-82*++93**+
(((3+(3+2))+(9/(0+6)))+(6/(6+0)))	332++906+/+660+/+
(((8/(9/(4/4)))+(3-(3+2)))-(5/6))	8944///332+-+56/-
((5*0)+((2+(2-0))*(5/(5/(9+2)))))	50*220-+5592+//*+
(((5/9)*(8*(3+6)))*(7+(4*(9/5))))	59/836+**7495/*+*
((7*(8/((5+7)*(7*1))))+(6/(6*6)))	7857+71**/*666*/+
((5-((8+3)-(8+(7*(6/7)))))*(7-9))	583+8767/*+--79-*
((((9-(3+3))/(5+3))/(2/(7-0)))-8)	933+-53+/270-//8-
(((8*7)+(((1+8)-(0-8))/(4/9)))/7)	87*18+08--49//+7/
(((6-0)*(0+(1+(7+8))))+(3*(4*4)))	60-0178+++*344**+
((4/1)/((7*(7*(4-(4/7))))+(5+2)))	41/77447/-**52++/
((((1/1)*(5/1))/(8-(9-6)))-(6*0))	11/51/*896--/60*-
((((4/2)*(2/2))/0)+(7+(2/(9/7))))	42/22/*0/7297//++
(((1*(9-(9-(0+7))))-(1-(6*4)))*7)	19907+--*164*--7*
(((8/6)*(8-(6*7)))*(8+(3-(2*8))))	86/867*-*8328*-+*
((5-8)/((1-5)-(6-(1*(3-(0-1))))))	58-15-61301--*--/
(((3/((5+7)-(7*1)))+(1/0))+(4*4))	357+71*-/10/+44*+
((1-((9-7)*5))/(6+(5+(6-(4+5)))))	197-5*-65645+-++/
(7+(((9/(3*0))+(2*(4-(6-6))))-7))	7930*/2466--*+7-+
((((8+7)-(1*1))*4)-(9/(6+(9+8))))	87+11*-4*9698++/-
((9/(1*1))-((9/4)/(4/(5*(7-3)))))	911*/94/4573-*//-
((((4*8)-(7/3))-(0-(7/(0/9))))+7)	48*73/-0709//--7+
((3+(0+5))*(8*((5+(8*2))-(8-2))))	305++8582*+82--**
((0*(0/1))+((0*9)+(2/(8/(7/5)))))	001/*09*2875///++
((8-3)+((0-(2*(7-(2/1))))-(4-9)))	83-02721/-*-49--+
((6*(2+(6*(2+3))))/((9*3)*(7*6)))	62623+*+*93*76**/
(((0-(2/(3*(9-(3/7)))))+(2/7))*4)	023937/-*/-27/+4*
((9*((2+1)/9))*(7/(4+(3*(5+8)))))	921+9/*74358+*+/*
(((((9*4)*((6+6)/8))+(9-5))+5)*6)	94*66+8/*95-+5+6*
((9+((5*2)/(8/(1/2))))/(6+(6+7)))	952*812///+667++/
(((8-9)*9)-((0/6)*(1/(9+(5*3)))))	89-9*06/1953*+/*-
((4/(1*(3+5)))/(8*((8-(8-3))/3)))	4135+*/8883--3/*/
(((5*(8+1))*(5-(6/5)))*(1/(6-3)))	581+*565/-*163-/*
((2+(4+0))/(7-((8-8)/(7+(6-2)))))	240++788-762-+/-/
((1*((1-(0-8))-(7+8)))+(0-(2-5)))	1108--78+-*025--+
(((7-9)-(3+8))*(3+((8/(7*0))-2)))	79-38+-3870*/2-+*
((3-(9+(9*(0/5))))/(5*(0-(6+9))))	39905/*+-5069+-*/
(((0/4)/(2/9))-(4+(7+(8*(0*7)))))	04/29//47807**++-
(((0/2)+(1/(1-1)))*(1/(8-(3-3))))	02/111-/+1833--/*
((8-(7/(9/2)))/(4+((1*4)*(9+8))))	8792//-414*98+*+/
((8+((2-(0/7))+(0+8)))+(5+(8*7)))	8207/-08+++587*++
((((0-8)-(4*(5+1)))+(8/(1*0)))*3)	08-451+*-810*/+3*
(5/(((1/1)*(2/(6-6)))/(6/(3+7))))	511/266-/*637+///
((((1-8)+(7*(1+(7/1))))+(9/2))-4)	18-7171/+*+92/+4-
((2+(((4-(7/9))*1)-3))-(6-(8/1)))	2479/-1*3-+681/--
(((4/(5/(3/(1*5))))+((2/6)+7))-6)	45315*///26/7++6-
(((3+(5/8))/(6*(0+9)))/(3-(7+7)))	358/+609+*/377+-/
((((4/(7/7))*3)-(1/(2+4)))+(8/7))	477//3*124+/-87/+
(((6+((8/(5-8))-9))+(1+(8/7)))-5)	6858-/9-+187/++5-
(((4/1)*7)+((4-(6+2))/(8+(4*7))))	41/7*462+-847*+/+
((1*9)+(7-((4/(2*(9*7)))/(4+2))))	19*74297**/42+/-+
(((7-(7-1))-(2/(9-(7*(5-6)))))*3)	771--29756-*-/-3*
((1/6)-(((0-2)-(9+(2+3)))+(5*0)))	16/02-923++-50*+-
(((1-(0*(2*3)))*(2*(3-6)))/(1*1))	1023**-236-**11*/
((((6/9)/(7+8))-(6-(3+0)))/(4/6))	69/78+/630+--46//
((6/(7*(0+(4*(8*6)))))/(3*(0/9)))	670486**+*/309/*/
((5+((1-(4-(9/4)))/0))*(0-(1-3)))	51494/--0/+013--*
((2/(9-7))+((9*4)+(4-(1*(4*3)))))	297-/94*4143**-++
((8/(2+(((1*8)-1)+(0*9))))+(1*0))	8218*1-09*++/10*+
(((0-(0-8))/(0*(7*0)))-(7-(1*4)))	008--070**/714*--
(((7-((9-(6-7))*(0+6)))*2)*(5-0))	7967--06+*-2*50-*
((2*0)-(8+((1/(5+(8-9)))-(8/7))))	20*81589-+/87/-+-
(((1+8)/(1*(8-(8/(9*9)))))*(1+5))	18+18899*/-*/15+*
(5/((5+(1*(4-(6+0))))+(2-(3*6))))	551460+-*+236*-+/
(7*(((6*(1-(3*9)))-(0+4))-(2-0)))	76139*-*04+-20--*
(((1*1)+(6*9))*(3-(4*(5*(1/5)))))	11*69*+34515/**-*
(((4*0)+(2-(3+(1+2))))+(4+(6/3)))	40*2312++-+463/++
(((8-(3-1))+(2-(9/2)))*(8/(2*6)))	831--292/-+826*/*
(((4+7)*(1-(2*(3*2))))+(9-(5-8)))	47+1232**-*958--+
((5*(5-((5+5)*(5-(2-4)))))*(8+0))	5555+524--*-*80+*
((((7/1)/(1/0))+(8*4))/(7+(5*3)))	71/10//84*+753*+/
((1/(7/(7-5)))/(9*((5+(8*1))/6)))	1775-//9581*+6/*/
((1-((9-1)+0))-((9*(9*2))/(2+3)))	191-0+-992**23+/-
((0/((1*(0+4))/((4+4)*(0/5))))+4)	0104+*44+05/*//4+
(((3/0)+(2-(4*(4-2))))*(1-(7/7)))	30/2442-*-+177/-*
(((4-(2+0))/((3+3)-2))+(0*(6+7)))	420+-33+2-/067+*+
((4/((8+8)-(9*(0+4))))*(8*(5*8)))	488+904+*-/858***
((((0/1)-8)+(1+(6-2)))*(4*(9/4)))	01/8-162-++494/**
(((8/((2/1)+1))/(2-8))+(8/(9-9)))	821/1+/28-/899-/+
((3/(7*(1/7)))+(8-((0*(2-2))/2)))	3717/*/8022-*2/-+
(((5*(5*3))*(0+(8*(4*0))))/(7*4))	553**0840**+*74*/
(((9+(3/(2+(2*2))))-(9*(9/3)))/6)	93222*+/+993/*-6/
(((8+(3/(9*3)))+(3-(4/2)))/(6/4))	8393*/+342/-+64//
(((5*((5*8)+5))*(2+(0*8)))+(7/7))	558*5+*208*+*77/+
(((8+(3*2))*(1*1))/(2/(1+(1/5))))	832*+11**2115/+//
((6*((0*3)+(5/(7*(8*9)))))/(7/5))	603*5789**/+*75//
(0/(0+(4/(((0+0)*(2/5))/(5/9)))))	00400+25/*59///+/
((6*(8+((2/7)*5)))/(9/(3-(2*5))))	6827/5*+*9325*-//
((((2/5)+3)-(3/6))+(7+(8+(2-8))))	25/3+36/-7828-+++
((4*((8+0)*0))/((1/(9+2))+(5/9)))	480+0**192+/59/+/
(4+(((8*(5/2))+6)+(1/((6*0)-8))))	4852/*6+160*8-/++
((((0/6)-4)/(1+(2+8)))+(9-(9-0)))	06/4-128++/990--+
(((0+6)*(2+(4*8)))*(1+(4/(1/0))))	06+248*+*1410//+*
(8-((1+(4*1))+(8/(2-(1-(1-1))))))	8141*+82111---/+-
((((0-(7-(7/5)))/2)+(0-0))*(3-2))	0775/--2/00-+32-*
((((3/6)*4)-(6/(4/(3+5))))+(5+6))	36/4*6435+//-56++
((3/((1/0)*(5-1)))*(3*(8/(6/9))))	310/51-*/3869//**
(((9/(9/(8*9)))/8)-(1-(8-(6-6))))	9989*//8/1866----
(((2/(3/3))+(9*9))-(8+(4/(3/6))))	233//99*+8436//+-
(8+(7-((4*(4*9))/(0*((0-4)*0)))))	87449**004-0**/-+
(((5*3)/(0/(1+(9-8))))+(1/(7+4)))	53*0198-+//174+/+
((1-(0*2))+(7*(5-(4/((7*3)*9)))))	102*-75473*9*/-*+
(((8*(1/2))+(3+(3+5)))+(5/(2*9)))	812/*335+++529*/+
(((8-((7/(2/3))-(0/(1/7))))*0)/2)	8723//017//--0*2/
(((8-3)/(6*1))*(5*(6+(1-(5*8)))))	83-61*/56158*-+**
(9*((0-(5-(7-2)))+(0-(0*(9*0)))))	90572---0090**-+*
(((9-(1+(3/9)))-(8*9))*(8/(4+7)))	9139/+-89*-847+/*
((((1/6)+1)-(3*2))/(9-(4/(1-4))))	16/1+32*-9414-/-/
((((3*6)-8)+(2+7))*(5-(6-(8/7))))	36*8-27++5687/--*
(((0*7)*2)-((0+((7+2)*(3/3)))-6))	07*2*072+33/*+6--
(((3/6)/(2-5))/(5-(9*(1-(9*8)))))	36/25-/59198*-*-/
((8+(6+((9-7)*(2-5))))+(2+(9*1)))	8697-25-*++291*++
(((5*(3-1))*(9+(5/3)))+(3+(1+6)))	531-*953/+*316+++
((7*(((8+0)-(8*5))/9))+(0+(0-5)))	780+85*-9/*005-++
((((0+9)+((9-0)/(8/1)))+1)+(9/1))	09+90-81//+1+91/+
(((8-(3+3))/(2*5))-(2+(8/(8-4))))	833+-25*/2884-/+-
(((2-(0*9))/(6+(3+5)))*(8-(9*3)))	209*-635++/893*-*
((2/((9/6)*7))/(2*((7-8)/(5+4))))	296/7*/278-54+/*/
((2+2)+((6-3)+(5+(9/(9+(6+0))))))	22+63-59960++/+++
(((9*(5*0))+(8-(9-5)))/(4-(8-2)))	950**895--+482--/
((9*9)+((6-(6*(7+(6/2))))*(1*8)))	99*66762/+*-18**+
(((6*3)-((2-9)-(1-(3-(3*2)))))/0)	63*29-1332*----0/
(((9+0)/(4/0))/(7-(0/(0/(8-8)))))	90+40//70088-//-/
((9/(3/((6/1)-(8+0))))*(0+(7+8)))	9361/80+-//078++*
(((2-(5*(7+3)))+(2+(0*8)))-(2-9))	2573+*-208*++29--
(((((7-5)-2)-7)*(5-6))*(8*(5/6)))	75-2-7-56-*856/**
(((2-(7*6))*((5-3)-(0+0)))+(6/0))	276*-53-00+-*60/+
(((2/6)*(6/(5-(4*(7+2)))))/(1/7))	26/65472+*-/*17//
((((1-(3/8))-(6*(2+2)))+0)-(2/0))	138/-622+*-0+20/-
((0-(5*(3*(3-7))))+(8-((1*6)/9)))	05337-**-816*9/-+
(((6+1)-(6-4))*((4*9)/(0+(5*7))))	61+64--49*057*+/*
((6*((8/(5+7))-(7-1)))+(4*(1*3)))	6857+/71--*413**+
(((((2*5)-(8-(9*7)))+(2-0))/1)/8)	25*897*--20-+1/8/
((((8*1)-(3/(6*3)))-(5*(5/7)))-0)	81*363*/-557/*-0-
((4*((0/(3*(5/5)))-0))/(6+(2-0)))	40355/*/0-*620-+/
((((2/8)+(2/6))/(5/3))/(6*(3-9)))	28/26/+53//639-*/
((8/4)/(((3+1)/(7*(9+(3-8))))/9))	84/31+7938-+*/9//
((1/(1+6))+((6*(0-(3+6)))+(2-9)))	116+/6036+-*29-++
((9-(8/(1-(4-1))))/(5/(5-(0*4))))	98141--/-5504*-//
(((7+(2*2))*(8+(2+(2/4))))/(9-2))	722*+8224/++*92-/
(((6+(8*1))/((7-(0*1))*(0/0)))/0)	681*+701*-00/*/0/
((((8+(7-5))+(2-(3*8)))/(8/2))+7)	875-+238*-+82//7+
((((2+(0+8))-(0*6))-(3/4))-(6+1))	208++06*-34/-61+-
((((0-(4-2))+8)*(7+(8+5)))+(4*5))	042--8+785++*45*+
((2/((1*7)+0))+(6+(0*(1+(3*8)))))	217*0+/60138*+*++
(((2*(6-(2*6)))-7)-(2/(5*(1-7))))	2626*-*7-2517-*/-
(((8/((3*0)+(8-3)))-(6+3))-(3*8))	830*83-+/63+-38*-
((1*(0+((6*5)+(6/(3-5)))))/(0-7))	1065*635-/++*07-/
(4/((6/(6-0))+(5*(1*(8+(9-3))))))	4660-/51893-+**+/
((7*(9/0))/(7*((5*2)+(4/(3/3)))))	790/*752*433//+*/
((7/((0+(1+4))*(4+(8-2))))/(0*5))	7014++482-+*/05*/
(((1/(4*(4/1)))-((9/2)+(5*4)))/5)	1441/*/92/54*+-5/
((((1-5)-(1/3))+(5*(3+3)))/(2/7))	15-13/-533+*+27//
(((3/((1/1)/(8+(4+6))))-0)*(6/2))	311/846++//0-62/*
((((1/9)+(0+9))*(2/(7*1)))*(4+7))	19/09++271*/*47+*
(((4/2)+(9*(2*(3/1))))/(2/(2-5)))	42/9231/**+225-//
(((7-(1*(8-4)))/(8+(1/7)))/(6/2))	7184-*-817/+/62//
((((0/(8+0))-3)+(3-4))*(5+(0/3)))	080+/3-34-+503/+*
(((9+8)-(3+(2+1)))+(5+(1*(3/0))))	98+321++-5130/*++
(((9+(1-(2*7)))-1)-(5*(0/(2+7))))	9127*-+1-5027+/*-
(((8*8)-(1*(5/(9+7))))+(8+(4-7)))	88*1597+/*-847-++
((8/(1-(2+5)))-(0/(3*(2-(7*7)))))	8125+-/03277*-*/-
(((8/(6-(6-8)))+(4*5))*(1*(2*5)))	8668--/45*+125***
((3/((8/(4-8))/(5-(0*7))))+(1-3))	3848-/507*-//13-+
((7*(8*8))*(7/(7+(3*(7/(6-8))))))	788**773768-/*+/*
((3+6)*(2-((7+(0/2))/(4-(4/7)))))	36+2702/+447/-/-*
((1*(0+(3/3)))*(4+((4/3)*(1/0))))	1033/+*443/10/*+*
((((6*3)/(3-9))+(1/1))/(1*(3+7)))	63*39-/11/+137+*/
(((6*(1/2))*(0/2))/(2/(4+(7-4))))	612/*02/*2474-+//
((9+4)-(2*((9*(5-(3+8)))*(6-8))))	94+29538+-*68-**-
(1-(3*(0/(((9-(1-8))/4)/(1*7)))))	130918--4/17*//*-
((6/(2/9))-((4/6)/(9+(5-(7-4)))))	629//46/9574--+/-
((8*(2*((1+(9-8))+(5/2))))-(5*7))	82198-+52/+**57*-
((((8*1)/3)*(9-(1/4)))*(5*(2+7)))	81*3/914/-*527+**
(((2/(5/6))*(9*(6*(6+(2/4)))))-0)	256//96624/+***0-
((9*((7*(5-(8/7)))/(1/3)))*(2*7))	97587/-*13//*27**
((7/((0+6)/(2-(6/1))))/(4*(9/1)))	706+261/-//491/*/
((0-(6*9))*(3-(((4/6)/4)/(9+5))))	069*-346/4/95+/-*
((0/(1/9))+((9+(3/(4*2)))/(7-2)))	019//9342*/+72-/+
((4*(6+(8/1)))/(1+(1*(4/(1*4)))))	4681/+*11414*/*+/
((9/(3/(1+(7+2))))+(6-(6/(7*3))))	93172++//6673*/-+
((3+6)/((6/(4/(0-(5*2))))-(4/6)))	36+64052*-//46/-/
((9-(1/6))/(9/(9*((9-(0-9))-9))))	916/-99909--9-*//
(((8*(0-2))/(2*8))+(2-(8+(4/3))))	802-*28*/2843/+-+
((9-(0*((6*(4+6))+(3+3))))*(4+6))	90646+*33++*-46+*
(((2/8)*((0+((5-8)/4))*(3/9)))+9)	28/058-4/+39/**9+
(((9+9)-(1/(1-7)))/(9-(1+(8*9))))	99+117-/-9189*+-/
(((2*(8+4))*(0+1))*(1+(3+(8*6))))	284+*01+*1386*++*
(((9*(8-0))-(8-((6*1)-7)))*(9+0))	980-*861*7---90+*
((((5-3)/(2+8))+(3*(2/(8-2))))-4)	53-28+/3282-/*+4-
(7*(((0*2)*(5-3))-(7-(6-(2*2)))))	702*53-*7622*---*
((4/(3/4))+((0/(4*2))/(6*(5/3))))	434//042*/653/*/+
((9+(6-(3+3)))+(3-(1/((0*2)-3))))	9633+-+3102*3-/-+
(((4/(4-4))*(5*(4+(2/0))))+(8*1))	444-/5420/+**81*+
(((4/7)*(0+(0+1)))+(3*(3-(4*6))))	47/001++*3346*-*+
((9+8)*(1-(0-((5*(5/2))/(9+3)))))	98+10552/*93+/--*
((7/(8-(0+(0/6))))+(3+(7/(8/3))))	78006/+-/3783//++
((((5/(9/3))*(3-0))/(1+0))/(0-2))	593//30-*10+/02-/
(((((1-5)/7)*(7+0))-9)/(3*(9*9)))	15-7/70+*9-399**/
(((9*1)-3)+(3-((3*(6*1))-(9-1))))	91*3-3361**91---+
(((8*(8+3))/8)-(6*(3-(9*(7-4)))))	883+*8/63974-*-*-
((((6-(2/0))+(4*5))+(3+(0+9)))+1)	620/-45*+309+++1+
((4-((6-3)+(4*(0/(2/2)))))/(6/0))	463-4022//*+-60//
(((2-(1*6))-(8+(6-(6+8))))/(7-1))	216*-8668+-+-71-/
((1+(8+((5/1)+0)))*(3*(3+(7+3))))	1851/0+++3373++**
((7/(3/(4+3)))-(5+(0*((5/2)+5))))	7343+//5052/5+*+-
((0+(0*(9*1)))-(8*(4+(0/(8+3)))))	0091**+84083+/+*-
((((1*(5/8))-(4*8))+(4/2))*(2-9))	158/*48*-42/+29-*
((4*(8+(2+8)))-(4-(6/(3-(7/6)))))	4828++*46376/-/--
(((7/(8*0))/6)*(0+((9+5)+(5*0))))	780*/6/095+50*++*
((9*5)+((1-4)+(1-(3-(8*(5/3))))))	95*14-13853/*--++
(((4*8)-(1+(6+3)))-(2/(3+(5/6))))	48*163++-2356/+/-
((8/((((1/7)/9)*0)/4))+(7*(6+3)))	817/9/0*4//763+*+
(1/(((1*(6-9))+(5+1))+(7-(9-1))))	1169-*51++791--+/
((6*(1/1))/(2-((5/3)/(3+(3-4)))))	611/*253/334-+/-/
(((1+(6-2))-(3*2))-(2+(5-(3+3))))	162-+32*-2533+-+-
(0-(8*((8+(2+8))-(2-(4*(2*1))))))	08828++2421**--*-
(((8/(7*(2+5)))*4)/(9-((5*4)*2)))	8725+*/4*954*2*-/
(3/(1+((2*5)*(0/(3-(8+(3/0)))))))	3125*03830/+-/*+/
((6-0)+((3/(2*(9*5)))+(3*(3*3))))	60-3295**/333**++
(((6-(7+2))/(7/9))*(5-(2*(9+5))))	672+-79//5295+*-*
((3/(4/(6/4)))*(9-(3*(5*(7+3)))))	3464///93573+**-*
(((3-(9/9))+(8*3))-(7/(4+(6+1))))	399/-83*+7461++/-
(((((7*5)/(6+3))+(6/0))/(7*6))*9)	75*63+/60/+76*/9*
(((0*(0+(8*(3+5))))-3)*(1+(8/9)))	00835+*+*3-189/+*
(((7*((0+3)/(6*(7+5))))-0)/(1*8))	703+675+*/*0-18*/
(((8*7)*(9/4))/(3-(4*(1/(6/5)))))	87*94/*34165//*-/
(((6/9)/((9/(2/3))*(3/(5/2))))/6)	69/923//352//*/6/
(((0/(4+7))-((4/(4+2))+5))+(8+7))	047+/442+/5+-87++
((5-7)*(5/(6*((2*(2+(3/0)))*4))))	57-562230/+*4**/*
(((4-(7/(9*2)))-(1-4))/(3-(7+6)))	4792*/-14--376+-/
(((2-(7*3))/(7+(4-(4-0))))/(7*0))	273*-7440--+/70*/
((((2/(6/3))/(4/(8+1)))-7)-(5+8))	263//481+//7-58+-
(((9+1)/(4/(7/1)))/(1*(8+(4/2))))	91+471///1842/+*/
(((0/(1/6))*(0*6))/(6-(2-(0/3))))	016//06**6203/--/
((2-(9-(3+6)))+(1+(9+(8-(6-5)))))	2936+--19865--+++
(((9/0)*(5+(3+1)))/(6+(7*(4+6))))	90/531++*6746+*+/
((((0+9)-(4-3))-(3-8))/(0+(5*3)))	09+43--38--053*+/
(((9+(3*(8*(2*4))))+(2-(9+1)))*0)	93824***+291+-+0*
(((5+7)-(0/(3-(0/9))))/((7*0)+1))	57+0309/-/-70*1+/
((((3/0)+(7+1))+(5-(7/0)))+(8*9))	30/71++570/-+89*+
(((9*((6*2)*(6/(2+5))))+(6/5))*0)	962*625+/**65/+0*
(0-(2+((8/0)/(3-((9-7)-(4-4))))))	0280/397-44---/+-
((((1-4)-3)*(8*1))+(2/(2*(5/3))))	14-3-81**2253/*/+
((((3*2)+(2*7))/(0+6))*(7*(4*6)))	32*27*+06+/746***
((1/9)-((1-(3/(2-5)))+(0/(0*3))))	19/1325-/-003*/+-
((((7*(0-6))/((9-8)-1))-(4/8))*8)	706-*98-1-/48/-8*
((((3+(6/4))+(0*7))*4)/(3*(5*5)))	364/+07*+4*355**/
(((0-(6*5))*1)+(2*(8+(0*(0*2)))))	065*-1*28002**+*+
((8+(7+2))/((7+(0+5))+(5+(2-9))))	872++705++529-++/
((9/7)-((5/(3-(2+6)))-(8*(8-5))))	97/5326+-/885-*--
((2*4)/(2*((4-5)/(1+((0*3)/4)))))	24*245-103*4/+/*/
(8+(((2-(1*(3+6)))-(8-6))-(9+8)))	82136+*-86--98+-+
(((4*9)/(9/(4*0)))/(0-(9-(9*0))))	49*940*//0990*--/
((6/9)*((0+(6*(3*7)))*(1*(9/4))))	69/0637**+194/***
(((7/(8+(0*5)))-(0+4))-(9*(9-7)))	7805*+/04+-997-*-
((7/4)+((4*((7+6)-(1/0)))-(2/7)))	74/476+10/-*27/-+
(((6+4)/((5/5)/5))*(8/(7-(0*9))))	64+55/5//8709*-/*
((6/6)-((1/1)*(8+(9-(9-(3/3))))))	66/11/89933/--+*-
((8+(8/(8*(2/(5-2)))))/(7*(8/9)))	888252-/*/+789/*/
((6-6)/(4/((3/(0/(2*6)))/(8/4))))	66-43026*//84////
(4/(8+(1+((7/3)+(8-(4+(5*4)))))))	48173/8454*+-+++/
((((7-1)/(4-(0*3)))-(0-(5-9)))-3)	71-403*-/059---3-
((((8/3)+(3+(2*2)))+(3/2))/(2*5))	83/322*++32/+25*/
((((0+(8-2))/(8-9))-(2/7))/(6*3))	082-+89-/27/-63*/
(((8*(3-8))+(9-(8/7)))*(8+(2+6)))	838-*987/-+826++*
(((5+1)*(7*(8*3)))+(5+(2-(2*3))))	51+783***5223*-++
(((2-(7-2))+(6-(1*(9*5))))/(2-6))	272--6195**-+26-/
(((((5*5)*4)*3)-(5/6))-(8/(7-1)))	55*4*3*56/-871-/-
(((4-((2*2)/9))+(4/5))*(1*(1/7)))	422*9/-45/+117/**
(5-(5-((7+(0/6))+(3+((0/6)/4)))))	55706/+306/4/++--
(6*((((4+7)+(8*(5-9)))*5)-(0/1)))	647+859-*+5*01/-*
((((4*2)-(9*(8/1)))+(3/8))/(1*8))	42*981/*-38/+18*/
((0-(4*(8*3)))+((2/(6+4))+(2-5)))	0483**-264+/25-++
(8/((5/((2*(4/5))+6))/(6/(8+4))))	85245/*6+/684+///
((8*2)*((5-(6/(6-0)))-(8/(1-3))))	82*5660-/-813-/-*
((3+4)*((5*(0+(3/4)))-(7-(8*3))))	34+5034/+*783*--*
((5/(5/2))-(5+(2-((7+(9+2))*4))))	552//52792++4*-+-
((9/(7+((2/5)*8)))*(4/(6*(1-5))))	9725/8*+/4615-*/*
((((3*7)-6)+(6+(2/(5-2))))-(6*5))	37*6-6252-/++65*-
(2+(((9/(5*(0+(0+7))))*9)-(1-9)))	295007++*/9*19--+
((((9*(0/9))-(2*6))-(1/7))*(1-3))	909/*26*-17/-13-*
(((((2+7)-3)+(3-3))/(9-2))/(1*1))	27+3-33-+92-/11*/
(((6/(0*2))/(3*(4/(4/7))))+(9-0))	602*/3447//*/90-+
(((9/(3+6))-(2*((3*4)*6)))*(3-9))	936+/234*6**-39-*
(6+(((3*4)/0)/(8*((1/0)+(9/0)))))	634*0/810/90/+*/+
(((2/(1/6))+(3+3))-(6/(8*(2/5))))	216//33++6825/*/-
(8-((((5-4)-(6-9))*9)*(6-(1/0))))	854-69--9*610/-*-
((((1+(6-6))*2)+(7+8))+(4/(4-6)))	166-+2*78++446-/+
((4*((3-(2-8))*(5*(2-7))))-(4/0))	4328--527-***40/-
((0-((3-(6-8))*(0*(0+6))))*(9/4))	0368--006+**-94/*
(((2*7)/(5/(6*(3-(9+3)))))+(7-1))	27*56393+-*//71-+
(((2*((1/5)*3))+(8+7))/(6-(1-5)))	215/3**87++615--/
(((1/(7-(6/6)))*(8+(9/1)))+(8/9))	1766/-/891/+*89/+
((1+(8-(1/(0/(2/6)))))*(5-(8-7)))	181026///-+587--*
