(((8+0)-(6-(5*(5+6))))+8)	80+6556+*--8+
((2/7)*((8/5)+(6*(1*3))))	27/85/613**+*
(3-(3-((8/(5*(5+8)))+(9*7))))	338558+*/97*+--
(0+((2+(8*7))*(8/(1/(6-0)))))	0287*+8160-//*+
(3/((1*(5*(3/(8-6))))*(8-4)))	315386-/**84-*/
((0+(1-2))*(7*(0/(4-(3-1)))))	012-+70431--/**
((3-(1*(6-8)))+(8+(3-2)))	3168-*-832-++
((6-1)/(7-(9+(5-(6/2)))))	61-79562/-+-/
(((2*3)/2)-(1+(1*(3/8))))	23*2/1138/*+-
((7*(0*(1-(6+4))))+(5*7))	70164+-**57*+
((3+(8+1))+(1/(9-(9/(1-8)))))	381++19918-/-/+
((5+(6*0))-(2/(5+(2+2))))	560*+2522++/-
((0*(2/1))*(0-(5/(1-(5+5)))))	021/*05155+-/-*
(6+((((6/(6/2))-3)*(4/1))/4))	6662//3-41/*4/+
((9+7)+((7+(7+(9*2)))/(1-1)))	97+7792*++11-/+
(((4/0)/(1*(5+(6*1))))*(4*7))	40/1561*+*/47**
(((1*(5/8))/5)/(9-(6+(6-4))))	158/*5/9664-+-/
((((4*9)/2)-(4/5))-(0+(7+2)))	49*2/45/-072++-
((6*6)-((7/(5*5))+(4*6)))	66*755*/46*+-
((((5/6)-2)*(2-8))-(8*(9-1)))	56/2-28-*891-*-
(((2*8)/4)-((7/5)/(6+4)))	28*4/75/64+/-
(((6*3)-(4*(5-4)))+(2/5))	63*454-*-25/+
(((0-6)*((0*1)*(1-(2+8))))+7)	06-01*128+-**7+
((4*((2*(5-7))/(0*4)))-(6+0))	4257-*04*/*60+-
(((2/2)-6)/(3-(2+(4*(6+5)))))	22/6-32465+*+-/
(5+(8*(9/((5*6)+(2*1)))))	58956*21*+/*+
(((2*6)-(8-(3-(2/(5*8)))))/0)	26*83258*/---0/
((9/(0/5))*(1-((6/7)+(6/1))))	905//167/61/+-*
((((5/9)/6)*(8/(7+3)))/8)	59/6/873+/*8/
(((9*8)*(6*5))-(9*(2/2)))	98*65**922/*-
(((9/(5*4))-(6+(7/1)))/(9-9))	954*/671/+-99-/
((2+((7/6)-3))-(0-(7/1)))	276/3-+071/--
(((5+((0-7)*(9+8)))*(8-2))*5)	507-98+*+82-*5*
(((4+(8/7))+(7+(0+2)))*(3*2))	487/+702+++32**
((((5+(1/0))/4)+4)/(0-3))	510/+4/4+03-/
(4/(8+((5*(2*7))-(4/5))))	48527**45/-+/
((4*((0-((8/5)+5))/0))/6)	4085/5+-0/*6/
(2/(((0-(1+8))-(8/2))/(5+8)))	2018+-82/-58+//
((((9/8)/6)-(4/(5*2)))/(1-7))	98/6/452*/-17-/
((5/(4/(6*(3*7))))+(8-(8*6)))	54637**//886*-+
((3*(1*2))*(9*((5+4)/(2-9))))	312**954+29-/**
(((((6/0)*9)/6)+(1+(5*8)))-3)	60/9*6/158*++3-
(((8*(0/5))-0)+(7/(1*3)))	805/*0-713*/+
((2/(5*(3-(7/0))))/(1+4))	25370/-*/14+/
(3/((4/6)/(2/(1/(1*9)))))	346/2119*////
((6+(5*(7-5)))-(4-(9*2)))	6575-*+492*--
((((1/5)/4)-3)-(1/(1-2)))	15/4/3-112-/-
(7/((8+(8*(6*(7+4))))/(7-0)))	788674+**+70-//
((((8+6)-(2+3))/(1-(2/0)))*5)	86+23+-120/-/5*
(0/(8/(1+(5/(1*(6*5))))))	0815165**/+//
(((5*(2/0))/(7+1))*(8*5))	520/*71+/85**
((2+(6*(3*(1+(2*1)))))+3)	263121*+**+3+
(((8*3)*4)-(0+(6-(2+(3-2)))))	83*4*06232-+-+-
((9+0)+(7*(0-(3-(1/0)))))	90+70310/--*+
((5/9)+((2-(9*7))-(8/(0*2))))	59/297*-802*/-+
((((1/(1/7))-1)/(6-0))-(9/1))	117//1-60-/91/-
((6*0)*((9-(3+5))/(0/(6-6))))	60*935+-066-//*
((((8/0)/(9+3))-6)*(0+(7-5)))	80/93+/6-075-+*
((3*((1/(6+6))+(1-(8*2))))*6)	3166+/182*-+*6*
((8+(2/6))*(4/(4/(9/5))))	826/+4495///*
(((3/1)-(5/(8+0)))-(2/(7*3)))	31/580+/-273*/-
(((9/(1*(2/7)))+9)/(6+(8+0)))	9127/*/9+680++/
((3/(0*7))-((5-(3*1))*0))	307*/531*-0*-
((2*4)*((2+(8+1))*(9/2)))	24*281++92/**
((0-4)+(((8/(4-1))/1)*5))	04-841-/1/5*+
((5-2)-(9-((7*3)+(3*6))))	52-973*36*+--
((5*9)+(1*((2/7)/((6/1)-5))))	59*127/61/5-/*+
((9+((2-5)*(0*2)))+(4+3))	925-02**+43++
((((0/6)+(6/8))+(7*(2/3)))-5)	06/68/+723/*+5-
((((2*5)-(8-3))/4)+(7/9))	25*83--4/79/+
((4+8)+(5*(0-(6*(7+9)))))	48+50679+*-*+
(0+((0+(5/(9/5)))-(7/(4-8))))	00595//+748-/-+
((5-3)+(9/(6/(2*(7-0)))))	53-96270-*//+
((9/((7/5)*(7/0)))*(4-(0/2)))	975/70/*/402/-*
((((2*(9+9))-1)*(9-6))*(6-2))	299+*1-96-*62-*
((3*8)/(6/(7/(0+(7*1)))))	38*67071*+///
((8/4)*(((5/7)*7)*(6-6)))	84/57/7*66-**
(((9-(7-0))+3)-((9-0)*6))	970--3+90-6*-
((7*(6+(7/7)))*((4/1)-4))	7677/+*41/4-*
((5*3)-((9+(9+0))+(1/9)))	53*990++19/+-
(3-(((4*5)-(1/(5/(5/5))))+8))	345*1555///-8+-
(((3-(6+1))-1)/(4-((5*3)+3)))	361+-1-453*3+-/
((((9-9)+3)*1)-(3-((2*8)/9)))	99-3+1*328*9/--
(((1+8)+((0+1)/0))/(1/2))	18+01+0/+12//
((9/((8*(0-8))+9))*(2*(4/3)))	9808-*9+/243/**
((6*(0+7))/(6*((3+(8/3))-3)))	607+*6383/+3-*/
(((6-(2*6))*1)-(1-(3-(1/8))))	626*-1*1318/---
(((1*9)+(3/(8/7)))/(7+(3+8)))	19*387//+738++/
(5+((8/(7/1))*((1+(4+2))-8)))	5871//142++8-*+
((0-(4/(3*9)))-(3/(7/(4+0))))	0439*/-3740+//-
((3+9)+(8+(2*((9/7)*(9*3)))))	39+8297/93***++
((9-5)+(2*(4/(3+((5-3)/4)))))	95-24353-4/+/*+
((7+(4/(3+0)))+(8*(3/(2+9))))	7430+/+8329+/*+
(((9*(3+8))-(9+0))-(5*(1-2)))	938+*90+-512-*-
(((6-6)*4)*(1/((6/9)/2)))	66-4*169/2//*
((3*(8-6))+(3+(0/(4/(1*3)))))	386-*30413*//++
((2+(1*5))*(8-(3-(2-6))))	215*+8326---*
((1-2)-((2/9)+(0/(6*(3/4)))))	12-29/0634/*/+-
((8*5)-(1*(8*(6/(7+5)))))	85*18675+/**-
(((2-(2-6))+(9/5))-(6*(2-3)))	226--95/+623-*-
((6-(7/(2*2)))+(4+(2*7)))	6722*/-427*++
((1-2)-((9+(4-2))+(7+(2+5))))	12-942-+725+++-
((2+(4-(8/7)))-(5+(4*2)))	2487/-+542*+-
(((9/(6*1))*(0*9))+(4+6))	961*/09**46++
(((9/(7-(4*7)))-(4-2))/(2+5))	9747*-/42--25+/
((6/0)/(3-(6*(8*(0+9)))))	60/36809+**-/
(((8+(9-1))-(2*5))*(0+7))	891-+25*-07+*
(8+(1+((7*6)-(3*(6*2)))))	8176*362**-++
(((7*9)/(3*5))-(5+(1-(0*3))))	79*35*/5103*-+-
((1*(3-(6*(8/2))))+(0*8))	13682/*-*08*+
((6-(4*8))-(4/(9/(8/(1-1)))))	648*-49811-///-
((6/7)-(((1*1)-0)+(3+(2/2))))	67/11*0-322/++-
((7-6)-(6-(8+(1-(5+3)))))	76-68153+-+--
(((7-(7/(5/7)))-(1*6))/(0*5))	7757//-16*-05*/
((9/9)*((7-6)/(1-(2*3))))	99/76-123*-/*
(((6/(4*(6/(2-9))))-(9-5))+9)	64629-/*/95--9+
(((9*6)*(7/9))*(2*(8*(6-6))))	96*79/*2866-***
(((3*(0/7))+(1/9))/(8-(7/3)))	307/*19/+873/-/
(((9/9)+1)*((8/2)*(2+8)))	99/1+82/28+**
((5-0)*((1*(2/(6-0)))*(6-5)))	50-1260-/*65-**
(5/(2*((6*6)/(6/(0/(7-5))))))	5266*6075-///*/
((4/(2+8))+(8/((7+2)*(0/2))))	428+/872+02/*/+
(7*(((1+9)+(7+(3/4)))+(4/9)))	719+734/++49/+*
((7+((4-(9/1))/7))/(3/(6+1)))	7491/-7/+361+//
((8-(3*(4*(9+1))))/(8/(7-7)))	83491+**-877-//
((8*(7-4))-(6-(3-(2*0))))	874-*6320*---
((((7*0)+3)+(1+7))+(9/5))	70*3+17++95/+
(((1*4)+(0/(9*3)))/(4+(7*2)))	14*093*/+472*+/
((7+(7*(6*8)))+(5/(2*7)))	7768**+527*/+
((((7/8)+(7+1))+2)-(9*5))	78/71++2+95*-
((4*3)+(9-((8-(6-1))*(4-4))))	43*9861--44-*-+
((8*9)*(9*((0*4)-(4+9))))	89*904*49+-**
((8/(4+1))+(5-(3*(2/2))))	841+/5322/*-+
((((0+0)+2)+0)/(3+(8/(8+0))))	00+2+0+3880+/+/
(((5-(5*(6-2)))-(1-9))*(8*5))	5562-*-19--85**
((2-(0+4))/(9+(9/(1+(5/8)))))	204+-99158/+/+/
((1/1)+(3-(5/(6-(0*3)))))	11/35603*-/-+
((((9-5)-(2/1))+0)-(5/(0-6)))	95-21/-0+506-/-
((((6+3)+(2+1))+4)+(3*(5-4)))	63+21++4+354-*+
(6/(7-(4/(0+(4+(8-3))))))	6740483-++/-/
((((9*(2-9))/0)-(6/5))/(2*7))	929-*0/65/-27*/
(1+((2+((6/1)-2))/(5+2)))	1261/2-+52+/+
((1-(8-8))+((1-4)+(9/(0-3))))	188--14-903-/++
(2-((0*8)*(1*(2/(6*3)))))	208*1263*/**-
(((6-9)+(5-(1/5)))+(0+(6-9)))	69-515/-+069-++
(6+(0+((6+(8+6))+(9*9))))	60686++99*+++
((8/2)*((1/(3*4))-(9+1)))	82/134*/91+-*
(((4+3)-(9-2))+(2+(3*(3-3))))	43+92--2333-*++
((8+8)+((8/9)+(4/(9*(9/8)))))	88+89/4998/*/++
((((0+9)-(3-1))+(0-7))/(4*8))	09+31--07-+48*/
((6-(9*(8*(4+8))))+(1+6))	69848+**-16++
(5*((0+(7+3))*(3+(0*5))))	5073++305*+**
(((2+3)*9)*(3/(5+(5-7))))	23+9*3557-+/*
((3+(9*(4+(6-2))))*(3*(8/1)))	39462-+*+381/**
((8*(7/1))+((3/(5/0))/(6-5)))	871/*350//65-/+
((((8+7)+(7*8))*(3/1))/(2/6))	87+78*+31/*26//
((1+(4*(8/(6*(7+5)))))*(3*0))	148675+*/*+30**
((7/(2+(9*2)))/(2/(5/(1/2))))	7292*+/2512////
((((9/2)-5)+(9/9))-(2*5))	92/5-99/+25*-
(5-(6*((5-2)+((1/0)/(2+0)))))	5652-10/20+/+*-
(((2-(1+3))+2)/(9*(8-(8*1))))	213+-2+9881*-*/
((8/(2-3))+((5*8)-(3+(3/9))))	823-/58*339/+-+
((((0*6)+3)+(7-(5-3)))+3)	06*3+753--+3+
((6+6)-(4/(9-(2-(5+6)))))	66+49256+--/-
((8-6)/((9/(1*(9+(0-3))))/2))	86-91903-+*/2//
((3/(8*6))-((0-2)+(9+1)))	386*/02-91++-
((2*8)-((0/(5+5))*(5/1)))	28*055+/51/*-
((2*(7*(1+0)))-((7*(3-8))-8))	2710+**738-*8--
(((5-5)-(3*4))-(1-(6/(0/2))))	55-34*-1602//--
(((((2/3)/(4*5))-2)/(3-1))+8)	23/45*/2-31-/8+
(((1*(2/2))-(8-9))-((1/5)/1))	122/*89--15/1/-
(9/((9+(7/(1*(8+2))))+2))	997182+*/+2+/
(3*((7/(6-8))-(3/(1+(7-3)))))	3768-/3173-+/-*
((((9/(3-4))+3)+(3+(7/0)))-0)	934-/3+370/++0-
(7-(((3*(5/5))+0)*(3+0)))	7355/*0+30+*-
(4+((1*(1-0))*(9-(8-(9-1)))))	4110-*9891---*+
(4*(((9*(4+8))-(6/(8*4)))/0))	4948+*684*/-0/*
((1+(1-0))+(7*(9/(0*5))))	110-+7905*/*+
((5-(2-6))+((2*(9-2))*(2-9)))	526--292-*29-*+
(((8*1)-(9-1))+(9/(5/2)))	81*91--952//+
(((4/((4*8)/6))+7)*(8-(3/1)))	448*6//7+831/-*
((3-(5+(6-(0/9))))/(9*8))	35609/-+-98*/
(((5-(9*(8/1)))-2)*(2+(3*3)))	5981/*-2-233*+*
(7-((9/((8+(1/4))*(2*4)))-9))	79814/+24**/9--
((8+((7+1)-8))+(0-(0*(0-6))))	871+8-+0006-*-+
((6/(7-9))-((4*(8/0))/(4-6)))	679-/480/*46-/-
((((9-3)-(1/(5/(5*1))))-7)-4)	93-1551*//-7-4-
(5-((4/(4/(3+0)))*(5-5)))	54430+//55-*-
(((0+7)*7)-((1*2)-(3*(9/0))))	07+7*12*390/*--
((5/1)-(0+(9-(2+(5/8)))))	51/09258/+-+-
((((0/6)*(4+7))/(9*(8/6)))/3)	06/47+*986/*/3/
(1-(((1*(5-9))*7)*(5*(4-7))))	1159-*7*547-**-
((8+6)+((1+1)+(6*(2-7))))	86+11+627-*++
(((6*1)/3)-(8/(8*(3*3))))	61*3/8833**/-
(((2-4)+(7*(7+9)))/(2*2))	24-779+*+22*/
(((9*9)/(1*(4-2)))/(2*(1*9)))	99*142-*/219**/
(0+(((9-(8+0))*(4+9))*(8+6)))	0980+-49+*86+*+
((8/((0+(3*9))-(5-(1+3))))+8)	8039*+513+--/8+
((2-5)-(5-((3-9)-(2-(7/8)))))	25-539-278/----
((5+1)/((6-0)/(5*(4/9))))	51+60-549/*//
((8+(5*(8*(4-4))))+(6/(2-8)))	85844-**+628-/+
(((9+(0*(1+6)))/(0/7))-(5/0))	9016+*+07//50/-
(((0-8)*(3*(4-7)))/(0*(5-9)))	08-347-**059-*/
(((1+5)+(1/8))/(9-(0+(7/8))))	15+18/+9078/+-/
(0*(((5+(5-(6-2)))+2)*(5/2)))	05562--+2+52/**
((0*(0+4))*((4*(1/7))+(0*9)))	004+*417/*09*+*
(((((9-9)*8)-7)/1)+(8/(5+0)))	99-8*7-1/850+/+
((1+(7/(3*5)))-(1+(6*(5-4))))	1735*/+1654-*+-
(((8/(2-7))*9)-((5+2)+5))	827-/9*52+5+-
((((4/1)/8)/0)/((6-9)*(5+5)))	41/8/0/69-55+*/
((8*5)/(5+(5/(2/(6/3)))))	85*55263///+/
((5+6)-((9+(3*8))+(6+(4+0))))	56+938*+640+++-
(0-((9-(0+0))+(6/(5+(9+4)))))	0900+-6594++/+-
((3-(0+1))-((7/5)/(9*4)))	301+-75/94*/-
((5/((5/(5+2))/(5/9)))+(1/2))	5552+/59///12/+
((1-(5/(7/8)))/(0+(4-5)))	1578//-045-+/
((3+9)/((3-(5/1))/(6-(9/7))))	39+351/-697/-//
((((5-4)/6)*(0-8))-(2/(6/3)))	54-6/08-*263//-
((2+((3*9)*5))-(0+(3+(8+2))))	239*5*+0382+++-
(4*((4+8)*(9-(3*(9-0)))))	448+9390-*-**
(5+((8/9)*(9/(7-(4*8)))))	589/9748*-/*+
((4/(6/5))*((6-4)*(6+(8+5))))	465//64-685++**
((3/(8/6))/(6/(2-(9+5))))	386//6295+-//
(((0+5)+(7*(3+6)))*(3+0))	05+736+*+30+*
(6-((9+8)/(1-(0-(5+3)))))	698+1053+--/-
(8*((6*(8-6))*(7*(9*(3-0)))))	8686-*7930-****
((9*(2*9))-(2+(1*(9+3))))	929**2193+*+-
((((4*8)/6)+(9/1))+(7+4))	48*6/91/+74++
(((3-1)*7)-(9*(1/(5/3))))	31-7*9153//*-
((2+(7*(7+1)))-(1*(6+5)))	2771+*+165+*-
(((1-(6*6))/(0+1))/(9-(8*6)))	166*-01+/986*-/
((5-((0-4)-(5+(4+5))))+(7+5))	504-545++--75++
((7*((9/3)/2))-(9/(3*(8*3))))	793/2/*9383**/-
(((7*(9/3))*(0/1))/(8-4))	793/*01/*84-/
((9*(4-(9+1)))*(5-(4/9)))	9491+-*549/-*
(((1*(0/4))-0)+(6+(5+1)))	104/*0-651+++
((4-(8-8))+((0*(6*5))*(3-6)))	488--065**36-*+
(((0*1)*(4+(9/(9-4))))*(9/8))	01*4994-/+*98/*
(3/((6+(0-4))/(3/(4*2))))	3604-+342*///
(((3/(6-0))/0)-(1/(3+(6/6))))	360-/0/1366/+/-
((7/1)-(9-(0+((0*7)-(9*5)))))	71/9007*95*-+--
(((4+(6-(4+2)))-2)-(3*0))	4642+-+2-30*-
(((6-(9*(2+(9*7))))-(9+6))-3)	69297*+*-96+-3-
(9/((8+(4+1))-(3+(7+2))))	9841++372++-/
((0*8)*((9-(1-7))*(8-5)))	08*917--85-**
(7-((2+8)-(9*(7-(2+1)))))	728+9721+-*--
((((8-2)/5)+(6-2))+(6*(1/8)))	82-5/62-+618/*+
(((8-7)+(7*8))-(2+(2+(3-4))))	87-78*+2234-++-
(2*(1+((4/(8-9))+(3-(6-0)))))	21489-/360--++*
(4+((4/(8+3))+(4/(7/1))))	4483+/471//++
((8/(4/2))/(9+(0*(7*0))))	842//9070**+/
((((4+1)-5)/2)*(7/(5/7)))	41+5-2/757//*
(((3*6)-(9*0))-((5/(2-3))/2))	36*90*-523-/2/-
(((1/(7/(9-7)))+8)-(2-(4*1)))	1797-//8+241*--
((4*1)-((6/0)+((3/7)*1)))	41*60/37/1*+-
((7/(0/(6*7)))*(2*(3*(1/0))))	7067*//2310/***
((6*3)*(0*(4-(2/(5-6)))))	63*04256-/-**
((2/7)-((7-5)-(0*(1*(0-2)))))	27/75-0102-**--
(((9*(5*8))*(7*(8*(4/4))))*7)	958**7844/***7*
(9-((4/(1+(2+5)))/(3/(2*2))))	94125++/322*//-
(((1+7)*(3+(4-5)))/(3/4))	17+345-+*34//
(((3+(5-3))/(2/(3/6)))-8)	353-+236///8-
((((0+8)/8)-(1/6))/(6/4))	08+8/16/-64//
((2+(0-7))/(0-(4-(9-4))))	207-+0494---/
((5/((8*9)-(3*(4/(4-1)))))+1)	589*3441-/*-/1+
((((6*9)-7)+(3-((1*9)*1)))/6)	69*7-319*1*-+6/
(((0-5)-(4-(7+1)))-(5*8))	05-471+--58*-
((((4/3)-(0/6))*5)+(1-(0+3)))	43/06/-5*103+-+
(((9*(6-6))-(5-1))-(4+7))	966-*51--47+-
((6+(0*7))/((9/5)/(3-(0/5))))	607*+95/305/-//
(((0*0)/7)+(2-(9*(1+5))))	00*7/2915+*-+
(((5+2)*(6+(4/6)))*(4-(2+6)))	52+646/+*426+-*
(((9+5)-((5-(8*3))-(3+1)))/9)	95+583*-31+--9/
(3-(((5+4)-(6+(5+1)))-(7-6)))	354+651++-76---
(((1*5)/7)+(8-(1+(4+(8+4)))))	15*7/81484+++-+
((4+(9-1))*(0+(3*(3-(6/5)))))	491-+03365/-*+*
((1+(6*0))-(4+(9/(7/4))))	160*+4974//+-
((6/(6+(3-0)))/(8-(2-6)))	6630-+/826--/
(5-((3*(1-1))+(3+(3+9))))	5311-*339+++-
((5+(((2-2)*(7/7))*7))+1)	522-77/*7*+1+
((4+3)*(6-(1+(6/(2*6)))))	43+61626*/+-*
((6+0)*((9-(9*7))*(9/5)))	60+997*-95/**
(((0*8)-(3+8))/((0+(4-7))-4))	08*38+-047-+4-/
((3/(8+5))+((6+(3+(2*5)))+4))	385+/6325*++4++
((((8*(7*5))/9)+(4*6))+9)	875**9/46*+9+
((6-(6*(1+(8-9))))+(7/6))	66189-+*-76/+
(6*((6+9)*((1*2)+(6+(4+3)))))	669+12*643+++**
((5*(6-(3/(6-(4+4)))))/(4+4))	563644+-/-*44+/
(9/(9*((0+(1+3))*(7*(6/2)))))	99013++762/***/
((2*9)-((7-(8/(0/0)))*(1+4)))	29*7800//-14+*-
(1+((6-6)+(6-(7*(5-5)))))	166-6755-*-++
((8*(9/3))*(4*(8/(5*(1/1)))))	893/*48511/*/**
((7+(1-0))/(5+(0-(7*0))))	710-+5070*-+/
(1+(((3+(4/8))/8)*(5/(1*1))))	1348/+8/511*/*+
((7/(7*(4/6)))-(8*(3*1)))	7746/*/831**-
((0*2)+(8-(6*(5-(9+1)))))	02*86591+-*-+
(((2/(7+7))/(7+(6+4)))-(6-6))	277+/764++/66--
(((4/(0-1))*3)-(2-(9/(5+7))))	401-/3*2957+/--
((3*9)*(0+(8-(6*(8*(2+0))))))	39*086820+**-+*
(9*(4*(4*(3/(6*(7*8))))))	9443678**/***
((6+(2+(4+7)))-(6/(2+7)))	6247+++627+/-
(((8+(5+7))-(4*5))+(7-(5/1)))	857++45*-751/-+
(((0*1)+(4+(6+8)))+(2*(8*2)))	01*468+++282**+
(3+(9/(4+((4/8)*(8-6)))))	39448/86-*+/+
(((4*3)+(9/8))+(1/(2-5)))	43*98/+125-/+
(((4/(1-2))-(2/4))-(7-1))	412-/24/-71--
((1-(5/(4/(7-(7/6)))))/(3+9))	154776/-//-39+/
((0+(9*(0-8)))+((1-(3+4))+9))	0908-*+134+-9++
(4/((1-(1-(0-6)))-(5*7)))	41106---57*-/
(((4*4)+(1*1))*(9-(1-(2/4))))	44*11*+9124/--*
(1*((9+((7*(9-2))/(5+6)))/9))	19792-*56+/+9/*
(2+((3/(5/3))+(2-(1*6))))	2353//216*-++
(((9-(6*(0-(6-8))))/4)+(8/8))	96068--*-4/88/+
((6-((6*6)+5))*(5/(8/(1+3))))	666*5+-5813+//*
((((3-7)*2)+(0+5))*(9+1))	37-2*05++91+*
((3-(8/2))/((2+4)*(8*3)))	382/-24+83**/
((1*(3-1))/((6*(2*2))/7))	131-*622**7//
(6*((8*6)/(5+(6/(1+8)))))	686*5618+/+/*
((9-(4+0))/(5*((0/5)+3)))	940+-505/3+*/
(7/(3/((2/(1*0))-(9+1))))	73210*/91+-//
(((5-((1-7)*5))/(4+(2/9)))+6)	517-5*-429/+/6+
(((4*(0+(0/1)))*(3/8))*7)	4001/+*38/*7*
((2/(9-3))*(9/(0/(1+8))))	293-/9018+//*
((3-(4-(3*(0*(0+2)))))+(6+1))	343002+**--61++
((8*0)/((7-6)*(0*(0-3))))	80*76-003-**/
(((0*9)*((4*3)/(1*5)))/(7+2))	09*43*15*/*72+/
((6-(1*(9+(2-1))))*(5/(9+4)))	61921-+*-594+/*
(((5*(2/6))*(4/7))+(9-0))	526/*47/*90-+
(((1+2)*5)/(5/(6/(9+(6*7)))))	12+5*56967*+///
((9/(3+0))*(4/(8/(2+2))))	930+/4822+//*
(((1*(4+0))+(6+5))*(4/(2-7)))	140+*65++427-/*
(((5+9)*((6+9)/8))/(1-6))	59+69+8/*16-/
(((8*(3+7))*(9/(3+2)))/(6+4))	837+*932+/*64+/
(9*(((8/4)/(5-(2+6)))+(2-6)))	984/526+-/26-+*
(((6/3)*(7/(2+6)))/(0*(0*3)))	63/726+/*003**/
((4-8)-((6-(6+(1/8)))/(2*8)))	48-6618/+-28*/-
(((8-(7-9))/(5-(8+4)))-(4*0))	879--584+-/40*-
(7*((4/((3+7)+(9-2)))*(4-1)))	7437+92-+/41-**
(((3*6)/(0/4))/((9-5)/(2*9)))	36*04//95-29*//
(((8+7)*((7/6)-9))+(4/0))	87+76/9-*40/+
(((5/(2*7))*8)-(1*(6+6)))	527*/8*166+*-
((((1-(2+2))*9)/3)*(3+(3+3)))	122+-9*3/333++*
((2+((7-(6/2))-((4*1)/8)))+0)	2762/-41*8/-+0+
((7+((3+3)*(0*(6*3))))-(2+1))	733+063***+21+-
(((9+8)*((4-6)+8))*(3+8))	98+46-8+*38+*
((9*(4*(3-(6/6))))/(8-6))	94366/-**86-/
((6*0)-((4/6)-(8+(7+4))))	60*46/874++--
((2*(5*9))*(4-(9-((7-1)/2))))	259**4971-2/--*
((8-(9-((6/(0/4))+9)))+(5-3))	89604//9+--53-+
((1*(0/(4+3)))-(0+(4-3)))	1043+/*043-+-
(((4/3)-((4/0)*(3*(2*9))))-2)	43/40/329***-2-
(((2+6)-(9*6))-((4/9)-9))	26+96*-49/9--
(((6/(0/5))-(0*9))*(4*8))	605//09*-48**
((9/9)*((0*8)*((4-7)/(9+1))))	99/08*47-91+/**
((5/9)/(((5+5)/(6-2))+4))	59/55+62-/4+/
((2-(1/(0*(1/(3/3)))))*(4+9))	210133//*/-49+*
((((7-6)/(1*9))+(7*4))/(2+4))	76-19*/74*+24+/
(((7/6)-(0+7))/(9+(0-(6*9))))	76/07+-9069*-+/
((9+(3*5))*((7/(0+5))/(4*6)))	935*+705+/46*/*
(((3-6)*(5-(0-1)))*(4/(6/5)))	36-501--*465//*
((8-6)*(0*(9/(6+(0*(3-8))))))	86-096038-*+/**
((8*(5-9))*(1+(0-(2*6))))	859-*1026*-+*
((((6-(7*9))/5)/(7-6))*(5*2))	679*-5/76-/52**
((9-(6-(1*2)))/(2-(0*(9/2))))	9612*--2092/*-/
(((5-6)*(0*9))/(5/(2+6)))	56-09**526+//
(((2-(3+(1+3)))*(3-5))-(0/5))	2313++-35-*05/-
((5-(8-(1/(8-2))))-(1/(9+7)))	58182-/--197+/-
(5+((4*(2+6))/(1+(7/(6+1)))))	5426+*1761+/+/+
(((1-(7+9))*(3/(0+2)))*4)	179+-302+/*4*
(7/((6-(7-4))*(6*(0/(4+9)))))	7674--6049+/**/
((2-(6-(5-1)))*(2-(7+(8+1))))	2651---2781++-*
((1/7)-(1-(1*(4-(8*5)))))	17/11485*-*--
((7*0)-((4-1)-(7-(6+(4+2)))))	70*41-7642++---
((5*(8+(2*9)))/(2*(7*7)))	5829*+*277**/
((9+3)-(4+(6/(0+(8/(7*1))))))	93+460871*/+/+-
(((1-6)*(6+(6*1)))*(7/2))	16-661*+*72/*
(0/((1+6)-((3-2)/(9+9))))	016+32-99+/-/
((7-(1*8))/(2+(6+(9+6))))	718*-2696+++/
((9-(3/2))/(6-(7-(2/(3+4)))))	932/-67234+/--/
(((1/(((9+9)*2)*7))-3)*(5/1))	199+2*7*/3-51/*
(((0-5)+(2+6))*(8/(5-(6/7))))	05-26++8567/-/*
((8/(9/(1+7)))*(4/(8-3)))	8917+//483-/*
((1-7)-((1+(1-(2+9)))/6))	17-1129+-+6/-
((0*(7/5))-(4/(1*(7*4))))	075/*4174**/-
((6*(5*(3-(7-5))))+(3+(6+9)))	65375--**369+++
((3/((0/(5-4))+8))-(2/(8-6)))	3054-/8+/286-/-
((9*(5+(7/4)))+(1-(2-(1*6))))	9574/+*1216*--+
(((3*6)-(0/(0/(3+5))))/6)	36*0035+//-6/
(((0+1)*(7*5))/(9*(6*9)))	01+75**969**/
(((4*1)+(1+(9+6)))/(3*(0/8)))	41*196+++308/*/
((1*6)/(6/((1*(2*4))+9)))	16*6124**9+//
((0+((3/(3+5))*(8/7)))+(3*1))	0335+/87/*+31*+
((5*(2*(8/((4/(0*8))-0))))+9)	528408*/0-/**9+
((8+(5+2))/((4-(0-5))/(8/9)))	852++405--89///
((4+7)+(7/(9*(1+(1+6)))))	47+79116++*/+
((2-(3+(1/2)))-(1+(2-(1+6))))	2312/+-1216+-+-
((8+(6+((0+(0+5))-(1/7))))*8)	86005++17/-++8*
((7-6)+(7+(2-(9*(4+(4-1))))))	76-729441-+*-++
((8+(6+1))-(3+(2+(6/(2-8)))))	861++32628-/++-
(((0*2)*1)*((7*(9/(5-8)))-3))	02*1*7958-/*3-*
((2-4)*((1/9)*(8-(5-8))))	24-19/858--**
((0+9)+(0-((0*8)/(6*0))))	09+008*60*/-+
((8+(4/(9/(2*6))))+(9/(9/4)))	84926*//+994//+
((0/((5/9)/(5-4)))/(3/(0-0)))	059/54-//300-//
((4-(4*4))/(1/(4/(5/8))))	444*-1458////
