(((6+4)+6)/(2*2))	64+6+22*/
(0-((2/(1*3))-9))	0213*/9--
(((2-2)*(5*4))/5)	22-54**5/
((1+0)+(1-(4+3)))	10+143+-+
(4/((6*0)+(1-7)))	460*17-+/
(1+(3-(1+(5/6))))	13156/+-+
((2*6)-(0-(4+6)))	26*046+--
((0*5)*(1*(4/5)))	05*145/**
((5/5)/(7*(3+9)))	55/739+*/
((0-(2/(8-1)))+2)	0281-/-2+
((2/(1*7))+(5-2))	217*/52-+
((6-(9+1))/(0*2))	691+-02*/
((8*6)+(6-(8*9)))	86*689*-+
((5*1)-(2*(5+5)))	51*255+*-
((6-(1/1))+(1*2))	611/-12*+
((9+0)-(8*(0+4)))	90+804+*-
(((1-4)+5)+(6+0))	14-5+60++
(5+(7+(4+(6*6))))	57466*+++
(2*(8+(8*(4*2))))	28842**+*
((6+1)*(5+(2/0)))	61+520/+*
((6-8)*(5*(5-9)))	68-559-**
(4+(1+(6-(3*9))))	41639*-++
((1*(6*9))/(2+1))	169**21+/
(6/(7-(8-(0*1))))	67801*--/
(1+((7-5)*(4/7)))	175-47/*+
(3-((6-6)-(6+0)))	366-60+--
((7+(3*0))/(4-6))	730*+46-/
(3/((9+5)*(9-6)))	395+96-*/
(5/((4-5)/(1*5)))	545-15*//
(3/((1/9)+(9-6)))	319/96-+/
((8*(4/1))+(2*6))	841/*26*+
(((9+1)+9)/(8*2))	91+9+82*/
(6-(0/(4*(6-2))))	60462-*/-
((6*(7*0))+(1/3))	670**13/+
((3+5)/(9-(3+3)))	35+933+-/
(1-(1+(0-(9+8))))	11098+-+-
((1-4)/(5+(4/7)))	14-547/+/
((3/(5+(6-3)))*9)	3563-+/9*
((9-((5*1)+2))-8)	951*2+-8-
(((2/3)-5)*(8/3))	23/5-83/*
((9/(5-8))+(3+0))	958-/30++
((8*(0*3))/(9*3))	803**93*/
(7+(5/((8+5)*1)))	7585+1*/+
(7/(2-(5*(6-4))))	72564-*-/
((7+5)-(6-(4+5)))	75+645+--
(((0-6)*8)/(0-4))	06-8*04-/
((5-(7*(3+7)))*7)	5737+*-7*
(((6/6)-(4/8))*2)	66/48/-2*
((0/7)-(4-(0*5)))	07/405*--
((2/6)/((4*5)+4))	26/45*4+/
((7+4)+(2/(0+5)))	74+205+/+
((2-(5-(7*7)))-6)	2577*--6-
((8-(8/9))+(9*8))	889/-98*+
((2*8)-(0-(0/2)))	28*002/--
(7*(4*(3-(5-2))))	74352--**
((6+(0+3))/(6*7))	603++67*/
((9-7)+(2*(2*4)))	97-224**+
((4+(7+6))-(7/3))	476++73/-
(((9+9)/8)/(6*9))	99+8/69*/
(((5/9)+0)+(0+0))	59/0+00++
(((2*5)*9)-(6*9))	25*9*69*-
(5-(2+(0*(4+0))))	52040+*+-
((9+8)/(2/(9*9)))	98+299*//
((1/8)/(2*(2-7)))	18/227-*/
((1-(4-4))+(9*0))	144--90*+
(3/(0/(7-(0*4))))	30704*-//
((8*3)*(2/(9-6)))	83*296-/*
((7*5)-(4-(3*9)))	75*439*--
((1*9)*(9+(2*4)))	19*924*+*
((7+5)+(5/(5*7)))	75+557*/+
(6+(4/(2*(7/3))))	64273/*/+
(0+(1-(2*(3-4))))	01234-*-+
(((5+8)*3)+(2*5))	58+3*25*+
((6+(2*(4+8)))+7)	6248+*+7+
((8/(2-8))+(3-4))	828-/34-+
((9/0)/(7*(3-4)))	90/734-*/
(((3/0)-0)/(4-5))	30/0-45-/
((9/(3*0))*(1-8))	930*/18-*
((6*1)/(3+(2-4)))	61*324-+/
((7/3)/(3-(4-4)))	73/344--/
((6-9)-((6-9)/9))	69-69-9/-
(7*(5/(3+(3-4))))	75334-+/*
(((0/8)-(9/0))-6)	08/90/-6-
((6-(3-1))+(9-6))	631--96-+
((((3+3)/6)+3)-6)	33+6/3+6-
(9/((3+1)/(5*8)))	931+58*//
((2*(9+9))/(8/4))	299+*84//
((5+9)+(1+(6+4)))	59+164+++
((6-(3/6))*(7/4))	636/-74/*
((1*(5*7))/(5*7))	157**57*/
((1-8)/(6/(3+2)))	18-632+//
((8/(5*5))*(0*2))	855*/02**
(((5*0)/1)-(4+8))	50*1/48+-
((1+(0/2))*(5*2))	102/+52**
(0/(3-(6*(5+6))))	03656+*-/
(((6*8)+0)-(2*5))	68*0+25*-
(1/((4+(2-2))-9))	1422-+9-/
((9/(0-1))*(6+5))	901-/65+*
(((3-7)/8)*(0/4))	37-8/04/*
(9/(3/(6-(4+3))))	93643+-//
((8*(7/2))*(4/6))	872/*46/*
(9+(1/(7-(4*0))))	91740*-/+
((7+(6-5))/(4/6))	765-+46//
((4-8)+(8/(5*7)))	48-857*/+
((7/(4/4))+(9+8))	744//98++
(4/((7-8)-(2/8)))	478-28/-/
(((7*4)-5)-(8-6))	74*5-86--
((4-(8-(4-6)))/9)	4846---9/
((2*(9-2))-(2/4))	292-*24/-
((5*3)+(1-(7*1)))	53*171*-+
(((5+6)*2)+(4+2))	56+2*42++
(((0+0)+8)*(0*4))	00+8+04**
((1/(9*4))*(2*9))	194*/29**
((7-2)*(0+(4/6)))	72-046/+*
(9-((6/(0-8))+9))	9608-/9+-
((2+6)+(1-(8*9)))	26+189*-+
(7-(5-(8*(8-8))))	75888-*--
((5*9)+((2/3)/6))	59*23/6/+
((0+(9*(2/1)))+7)	0921/*+7+
((1+1)+(2-(1/8)))	11+218/-+
((1+6)+(9-(1*1)))	16+911*-+
(3*((7*(3-6))*3))	3736-*3**
((3*(5*6))*(1/7))	356**17/*
(((9+1)/1)-(9-4))	91+1/94--
((4-5)/(7+(3/1)))	45-731/+/
((6/4)+(1/(0/9)))	64/109//+
(8-(1*(5-(4/7))))	81547/-*-
(2/(1/(2+(8*4))))	21284*+//
(0/((6+3)*(6+5)))	063+65+*/
((5/(6+4))-(2+0))	564+/20+-
(((2+8)/(6-6))+1)	28+66-/1+
(5-(3/(7/(3+4))))	53734+//-
(((3/8)*(1+8))-6)	38/18+*6-
((4-2)*(7*(6/0)))	42-760/**
((5*6)/(5+(4*1)))	56*541*+/
((4+4)+(4-(8-2)))	44+482--+
((6*((8/1)*6))+5)	681/6**5+
((((4/0)+2)-1)+4)	40/2+1-4+
((2*9)-(1/(0-0)))	29*100-/-
((9-3)/(8+(8+8)))	93-888++/
((1/1)/(6*(8+5)))	11/685+*/
((8/(5*1))/(5/7))	851*/57//
((((0*0)-9)/3)+4)	00*9-3/4+
(2+((1-6)*(6*6)))	216-66**+
((1*(5*7))*(8-5))	157**85-*
((9*2)/(5/(8+8)))	92*588+//
(((0+0)*1)-(8*7))	00+1*87*-
(1+((9*3)/(2-6)))	193*26-/+
((1+(4+7))*(9-1))	147++91-*
((((1-8)/9)+3)-6)	18-9/3+6-
((2*(1-(3+5)))/5)	2135+-*5/
((0*(2+7))/(9*3))	027+*93*/
((4-(2+8))+(9/3))	428+-93/+
((7*(9+(3/5)))/8)	7935/+*8/
(((6+0)/9)*(9/6))	60+9/96/*
(1+(4+(3-(1-9))))	14319--++
(((6+0)-4)-(7/1))	60+4-71/-
(((8/4)*(1+7))-6)	84/17+*6-
(0*(3*(9+(9*5))))	03995*+**
(8-(9-(8*(1*7))))	89817**--
((6+(4*7))+(9/4))	647*+94/+
((1+((7-3)+8))/2)	173-8++2/
((2/0)-((9*3)+1))	20/93*1+-
(((3+3)-3)/(4+6))	33+3-46+/
((8*(0*7))+(9-6))	807**96-+
((((5/8)/9)/3)*3)	58/9/3/3*
(4/((8-4)/(2/5)))	484-25///
((9/7)/(8/(1-0)))	97/810-//
(0/(5-(4+(2*2))))	05422*+-/
((1*2)*(8+(5-5)))	12*855-+*
(5+((0+5)/(8*9)))	505+89*/+
((4/((6/6)/2))-4)	466/2//4-
(((1/0)*1)*(6*1))	10/1*61**
((6/0)*(4+(7+9)))	60/479++*
(3+(3*(1+(2*5))))	33125*+*+
((0*(9*5))+(9-4))	095**94-+
(((8*(3-5))+3)/7)	835-*3+7/
(((5/8)+(4+1))/0)	58/41++0/
((((7/6)-9)-5)/9)	76/9-5-9/
((9-6)/(4/(3-4)))	96-434-//
((6/(8-(2*3)))/9)	6823*-/9/
((7-(6-2))/(2+9))	762--29+/
((2*(9/4))*(5/9))	294/*59/*
((8+6)*(0*(5+7)))	86+057+**
(1/((0/1)-(4+5)))	101/45+-/
(2*((8*3)-(5+9)))	283*59+-*
(2+(9+(8-(4-6))))	29846--++
((9*0)-(7/(7*3)))	90*773*/-
(((5-7)+6)-(7+7))	57-6+77+-
((9/(5+3))*(6*8))	953+/68**
(((3/3)/2)*(4-9))	33/2/49-*
(7+(6+(8/(6*4))))	76864*/++
((4-8)+(8-(6+8)))	48-868+-+
(((5*(4+6))+6)+1)	546+*6+1+
((1-(9/7))-(1/4))	197/-14/-
((3*6)+(1*(9/5)))	36*195/*+
((9/4)*(6*(3*5)))	94/635***
((3-(5+4))+(2/7))	354+-27/+
((9/(4/0))*(7+8))	940//78+*
((6+4)/(4+(6+3)))	64+463++/
((4+9)/((6/0)/4))	49+60/4//
((3/(7/(4-1)))*1)	3741-//1*
((6*(5+3))-(9-5))	653+*95--
(0/((9+(9/1))+6))	0991/+6+/
((4+(1/3))*(2*9))	413/+29**
(((1+8)/8)*(7*1))	18+8/71**
((8-(5/7))/(8-6))	857/-86-/
((((4*7)-9)+8)-3)	47*9-8+3-
(((7*7)/2)+(6*6))	77*2/66*+
((9+7)/((3-3)+4))	97+33-4+/
((8+0)+(3*(0/3)))	80+303/*+
(((3*2)*3)+(2*8))	32*3*28*+
((0*5)/((8/0)-8))	05*80/8-/
((3+(0/9))/(0+3))	309/+03+/
((9+(9+(4-9)))+6)	9949-++6+
((3-(3*7))+(5-5))	337*-55-+
((8+2)/(6-(9/3)))	82+693/-/
((6*(9+1))+(6+7))	691+*67++
(3/((2/1)-(2-4)))	321/24--/
((5*(6*2))-(7*1))	562**71*-
((5/3)+(7-(0+8)))	53/708+-+
(7*(7/(3+(8/8))))	77388/+/*
(((1-(9-2))/4)*5)	192--4/5*
((3/(9+(1/6)))+3)	3916/+/3+
((3*0)+(6*(6/9)))	30*669/*+
((1/(2-4))/(8+6))	124-/86+/
(((3+5)-8)*(2-1))	35+8-21-*
(4+(8*(7-(6-9))))	48769--*+
(6/(5+(4*(3/8))))	65438/*+/
(((7+9)/7)-(8+4))	79+7/84+-
(((9-3)/2)/(9-7))	93-2/97-/
(6/((3*(7+8))-9))	6378+*9-/
(6-(0*(8+(5*5))))	60855*+*-
((9+(5*(6+9)))+6)	9569+*+6+
((3*(5/6))/(2/7))	356/*27//
((0-1)/(0-(8/4)))	01-084/-/
((6/(8/4))+(0/8))	684//08/+
(8-(0/(3-(9*1))))	80391*-/-
((3+((8+9)/2))/7)	389+2/+7/
((0/6)+(3+(4-5)))	06/345-++
(8+(5-(9-(2+8))))	85928+--+
(2+((2*(2-0))*4))	2220-*4*+
(2*(8-(7+(7-9))))	28779-+-*
(((8/2)/7)*(9-0))	82/7/90-*
((1+2)/(1/(3-2)))	12+132-//
(2-(9/((2*5)/6)))	2925*6//-
(6-(6*(3*(2/5))))	66325/**-
((7+(7-6))+(6*6))	776-+66*+
((7/(3/0))*(5+5))	730//55+*
(2+((0*5)*(3-8)))	205*38-*+
(((5*9)/(2*5))-6)	59*25*/6-
((5/(5-4))-(8/9))	554-/89/-
((3/2)-(2-(2-0)))	32/220---
(((2-5)*(0*0))/7)	25-00**7/
((6-(8+7))*(6+2))	687+-62+*
((1-(2*1))-(4-5))	121*-45--
((4/(5/1))*(2-5))	451//25-*
((8-6)-((4*8)+2))	86-48*2+-
(7+(4/(7-(4/1))))	74741/-/+
((7*2)*(9*(2*8)))	72*928***
(((4-1)*(9+5))+4)	41-95+*4+
((4*0)-(3/(4+9)))	40*349+/-
(1/(3/(5+(0*5))))	13505*+//
(((3*6)-0)-(0+5))	36*0-05+-
((3/7)*((8/3)*7))	37/83/7**
((6+(5*5))-(0*8))	655*+08*-
((3/6)-(3-(3*0)))	36/330*--
(5*(0+((7*4)-0)))	5074*0-+*
((1-(5+(7*6)))*0)	1576*+-0*
((8/0)-(2+(7*8)))	80/278*+-
((8*9)/(9/(1/2)))	89*912///
(3+(9-(9/(2+2))))	39922+/-+
(2-(9/(2+(7*0))))	29270*+/-
((4/8)*(7*(2*9)))	48/729***
(8/(9+(0*(5/1))))	89051/*+/
((5-0)*(3*(5+6)))	50-356+**
(3/((7-(6+6))/4))	3766+-4//
(((7+5)-7)/(4+3))	75+7-43+/
(0-((5/(0*1))+2))	0501*/2+-
((9*(4+7))/(7+8))	947+*78+/
((4+(0+(7+0)))-1)	4070+++1-
((7-(0*7))+(0-7))	707*-07-+
(7/((1/(8/3))+6))	7183//6+/
((2/2)+((8+8)*8))	22/88+8*+
((0+((8+0)+8))+6)	080+8++6+
((8/4)+(5-(3/7)))	84/537/-+
(((7-6)+1)*(3/5))	76-1+35/*
(1+((0+1)*(8-6)))	101+86-*+
((1+(6*(4/6)))+4)	1646/*+4+
(6/(3/(2+(7-5))))	63275-+//
(0+(1*(8/(2-7))))	01827-/*+
((9/(2/3))/(9-7))	923//97-/
(((4+0)-3)/(7*3))	40+3-73*/
((2/1)-(2-(7*5)))	21/275*--
((9*(3*9))*(3/9))	939**39/*
(9*(8/(1/(9*5))))	98195*//*
(5-((6*(1-3))-0))	5613-*0--
((3+(5-(9+4)))-1)	3594+-+1-
(8*(2+(0+(3-1))))	82031-++*
((7/5)/(6+(8+3)))	75/683++/
((3*(4*3))/(4-0))	343**40-/
((0-8)+((3*6)/8))	08-36*8/+
((2-(1+3))-(7*4))	213+-74*-
(((4+0)+1)+(2+8))	40+1+28++
(1-((3-(5*7))+9))	1357*-9+-
(4-(8-(3/(5/2))))	48352//--
((4/1)*(2*(0*6)))	41/206***
(5/(5+(7*(9/6))))	55796/*+/
(1+((5*5)*(9+4)))	155*94+*+
(3-((1+3)-(3*9)))	313+39*--
((1*(0+(2*6)))*6)	1026*+*6*
(1/(9-(2/(7/4))))	19274//-/
(((7+6)*(5+1))-9)	76+51+*9-
(((5*4)-9)+(4*5))	54*9-45*+
(((0*1)-3)*(4*8))	01*3-48**
((1/(4+(8/4)))*5)	1484/+/5*
((6-8)/(6*(6-4)))	68-664-*/
((4*(1+2))-(9*6))	412+*96*-
(((3*(7-3))/6)*8)	373-*6/8*
((7-8)*(2*(8-4)))	78-284-**
(7*(2+(8-(4+0))))	72840+-+*
((0+((6*7)/3))-0)	067*3/+0-
(5-(5-(0/(7*2))))	55072*/--
((((4*7)-8)/0)/1)	47*8-0/1/
((1/2)-(2-(9*0)))	12/290*--
(5*(4/(4+(2-9))))	54429-+/*
(3-(3*(2*(9+1))))	33291+**-
(8-(7+(4*(7*6))))	87476**+-
((5/(3/1))*(5-5))	531//55-*
(((6/0)*5)/(7-6))	60/5*76-/
((9-9)-(2-(0+9)))	99-209+--
((4+(8*4))/(6+7))	484*+67+/
((1+(4+5))-(8+0))	145++80+-
((5/(2+8))*(0+3))	528+/03+*
(((7+2)+6)/(9/3))	72+6+93//
((6-0)+(0*(5/7)))	60-057/*+
(((4/5)/1)*(8/1))	45/1/81/*
((6/9)/(2*(1-3)))	69/213-*/
((8*0)*(6*(6*7)))	80*667***
((1/(8+4))*(7-4))	184+/74-*
(0+(5-(9*(9*8))))	05998**-+
((2+(0+6))+(4*4))	206++44*+
((4+3)-(6+(9+9)))	43+699++-
(0-(4/(5/(2*9))))	04529*//-
(6*(1/(7*(1+8))))	61718+*/*
((2*1)*(9/(1-7)))	21*917-/*
((9/(4*(8/3)))+7)	9483/*/7+
((5/(8-5))/(5*5))	585-/55*/
(((5-4)-(6/8))+3)	54-68/-3+
(((5+3)/6)-(6-1))	53+6/61--
(0-(3/(9+(5/8))))	03958/+/-
(((9*7)-8)/(3+1))	97*8-31+/
(((7+(2*6))/9)+6)	726*+9/6+
(5+((9*9)-(1-2)))	599*12--+
(5/((4-8)-(7+9)))	548-79+-/
((9/(0*(8-9)))+1)	9089-*/1+
((3*(3+8))+(4*8))	338+*48*+
(((2-8)-1)-(6/6))	28-1-66/-
((0*9)-(4-(8+0)))	09*480+--
((8+(4+(2*6)))*0)	8426*++0*
((3*((6/1)+9))*9)	361/9+*9*
((8+1)*(4*(6*4)))	81+464***
(7/(4+(9-(6-2))))	74962--+/
(6*(3/(2/(1*3))))	63213*//*
((1*8)*(2-(2+2)))	18*222+-*
(((9+1)/(4-4))/3)	91+44-/3/
(((9*2)/9)-(1-7))	92*9/17--
((9-(3-9))/(9-5))	939--95-/
((1+(1+4))*(1+5))	114++15+*
((6/(8-4))+(1/9))	684-/19/+
(((0+1)-(9/3))-6)	01+93/-6-
((5-(1-9))+(1/9))	519--19/+
((6*3)+(0+(3*3)))	63*033*++
(3-(((0/6)+4)-8))	306/4+8--
(1/((6-4)/(5-7)))	164-57-//
(8-(5-(1*(8+9))))	85189+*--
((5*7)+(3/(4*5)))	57*345*/+
((6/(3+3))+(0+2))	633+/02++
((7-(3-7))/(9-9))	737--99-/
(1*(6*(3/(8*7))))	16387*/**
(1+(9/(0-(6*5))))	19065*-/+
((7/((5/1)/1))-2)	751/1//2-
((4/3)/(7/(7/3)))	43/773///
((5+1)+(2+(1*4)))	51+214*++
((0+(5/3))+(8+7))	053/+87++
((6/9)/((5/3)/8))	69/53/8//
((0-6)/(9+(8-1)))	06-981-+/
((2*0)/(0*(2*3)))	20*023**/
((5-4)*(2*(8+3)))	54-283+**
((7-(3*0))/(4+1))	730*-41+/
((8+(8+3))/(2*9))	883++29*/
((6*(5+8))*(5*8))	658+*58**
(8-(1+(3+(9+0))))	81390+++-
((0+6)*(6/(8+8)))	06+688+/*
((5+(1+7))*(8*0))	517++80**
(((0+(7-3))+5)/5)	073-+5+5/
(9*(9*(5+(6+4))))	99564++**
(6/(9/(8/(8+0))))	69880+///
((8+(7-6))+(3*0))	876-+30*+
(((9*(3*3))-2)-1)	933**2-1-
(7*(9/((5/4)-1)))	7954/1-/*
((2/0)/(1-(4-9)))	20/149--/
((0*2)/(7/(6*5)))	02*765*//
((6-8)/(1*(4-4)))	68-144-*/
((2-((1-5)/4))*0)	215-4/-0*
(0/((6/(2*7))/2))	0627*/2//
((8/6)/(9/(4*4)))	86/944*//
((5+5)+(3*(6+2)))	55+362+*+
((3/(5-4))/(4+7))	354-/47+/
((((5*1)*7)*2)*3)	51*7*2*3*
((9*(9/5))*(8+8))	995/*88+*
(7*((7-(1+1))*0))	7711+-0**
((1+(5-7))*(6-0))	157-+60-*
(((1*0)/1)-(6-5))	10*1/65--
((4/(2+3))/(4/6))	423+/46//
(8+((5*8)+(0+4)))	858*04+++
(((7+3)+(4/1))*0)	73+41/+0*
(((5-8)*2)+(1+8))	58-2*18++
(1+(2-(2*(5+6))))	12256+*-+
((6/(1/0))-(7-6))	610//76--
(((7*4)-9)-(5*0))	74*9-50*-
(((8+6)+(8-2))+1)	86+82-+1+
((9-(7-(2+5)))*6)	9725+--6*
(9*(4/(6+(6+7))))	94667++/*
(4-(3-(4/(6+5))))	43465+/--
(((4+(2/5))*0)-2)	425/+0*2-
((5-7)+((9/8)/0))	57-98/0/+
((1*(1/5))*(4*3))	115/*43**
(9+((5+1)/(4+7)))	951+47+/+
(((2+7)*(1*0))*9)	27+10**9*
(((6/5)*8)+(6-5))	65/8*65-+
((3-6)*(9*(0/3)))	36-903/**
((9-(7/1))/(5-2))	971/-52-/
((1*(4/6))*(6/5))	146/*65/*
(2+(6+(4-(9+1))))	26491+-++
(1*(7+(2+(7-8))))	17278-++*
((1+(3*3))+(1-1))	133*+11-+
((6/2)*(5/(3-4)))	62/534-/*
(6+(((1-3)*6)+4))	613-6*4++
((((0+3)*0)-4)*2)	03+0*4-2*
(((4/0)-(9/4))*4)	40/94/-4*
((8*(4-4))*(2+2))	844-*22+*
((9-9)-(2*(4+1)))	99-241+*-
((5/6)/(1*(0+5)))	56/105+*/
(((4+7)/2)-(1*5))	47+2/15*-
(((9/8)/1)-(1*1))	98/1/11*-
((0+1)-(7-(1*0)))	01+710*--
((3*(5-0))*(8*5))	350-*85**
((7*3)*(1/(7/1)))	73*171//*
(((1/4)/0)-(7*0))	14/0/70*-
((2-8)-(7*(8/0)))	28-780/*-
((2/(1/6))/(8/6))	216//86//
((1/0)/(7/(1-1)))	10/711-//
((1+5)+(5*(0-2)))	15+502-*+
(((9*3)-5)*(1-4))	93*5-14-*
((0/2)/(0-(9/9)))	02/099/-/
(1-((7*8)*(4*3)))	178*43**-
(2/((4-8)-(4-9)))	248-49--/
((1/(4+0))+(0+5))	140+/05++
((3+((2+8)/7))/3)	328+7/+3/
(9+((5+4)/(3-6)))	954+36-/+
((4*4)+(0*(0-9)))	44*009-*+
((8*(8+1))*(9+2))	881+*92+*
(((9+3)*5)-(2/9))	93+5*29/-
(4/(6/(0+(6*2))))	46062*+//
(6-(2-((2+0)/1)))	6220+1/--
(((7*7)*3)/(9*0))	77*3*90*/
(1/(9+((6*5)+1)))	1965*1++/
(((3*7)*2)*(1+3))	37*2*13+*
((6+(4+5))-(5+6))	645++56+-
((1*((2*6)-1))*4)	126*1-*4*
((3-1)/(0-(8*5)))	31-085*-/
(((1+6)+(1*1))/4)	16+11*+4/
((8/((6/5)/4))/8)	865/4//8/
((3/6)-(9/(7-6)))	36/976-/-
(7+(4*(3+(5*2))))	74352*+*+
(8+((0/3)-(4+5)))	803/45+-+
((7*(2-3))*(6+3))	723-*63+*
((8+(7+1))/(9+7))	871++97+/
(6+(((7+6)+5)/2))	676+5+2/+
(5*((7-0)-(6*9)))	570-69*-*
((1/1)-(2*(7*9)))	11/279**-
((7*7)*(8-(7/4)))	77*874/-*
((5*((9*5)*1))*7)	595*1**7*
(9/(6*(1/(8*6))))	96186*/*/
(((3*1)-5)-(9-6))	31*5-96--
((8+(3/8))-(0*7))	838/+07*-
(9-((5+3)-(8-5)))	953+85---
((4+(9*1))-(8+9))	491*+89+-
((6*6)+(0/(6-3)))	66*063-/+
(6+(6-(7/(7*1))))	66771*/-+
(((6/0)-8)/(7+0))	60/8-70+/
((5-(0/(7*6)))+3)	5076*/-3+
(((0/7)/(2-9))/4)	07/29-/4/
(3+(8-(6+(8-7))))	38687-+-+
((2-5)*((1*9)+1))	25-19*1+*
(((8+3)+4)+(6/0))	83+4+60/+
((7/(1/3))+(2*1))	713//21*+
(((7/1)+7)*(8+3))	71/7+83+*
((8-((1-4)+8))*6)	814-8+-6*
((3/7)*((9*5)*5))	37/95*5**
(((7/(0*1))+5)-9)	701*/5+9-
(4-(7*(8-(3*6))))	47836*-*-
((9-8)-(8*(3-4)))	98-834-*-
(((5+3)-3)*(4*1))	53+3-41**
((4+(8+6))-(7/9))	486++79/-
((((8-9)/1)*4)/3)	89-1/4*3/
((5/5)*(7/(6-1)))	55/761-/*
((5/4)/(3-(1*7)))	54/317*-/
((1-7)/(8/(5+7)))	17-857+//
(((1/4)-1)/(5+7))	14/1-57+/
((7*5)-(4/(4+4)))	75*444+/-
(2/((9-(7-9))/7))	2979--7//
(0/(2/(3-(1-1))))	02311--//
(8+((7/7)+(6/1)))	877/61/++
((5+(5+(0-4)))*0)	5504-++0*
((7-9)/(8-(0/2)))	79-802/-/
(9/(1*(1+(2-0))))	91120-+*/
(((4*9)*(4/0))*5)	49*40/*5*
((1+(7/(1/6)))/9)	1716//+9/
(((4/8)/(8-4))*9)	48/84-/9*
((7+9)/(5+(1/6)))	79+516/+/
((7*(5*1))+(0/1))	751**01/+
(((2/4)*1)/(0+5))	24/1*05+/
((9-(8-0))-(0-5))	980--05--
(((7*0)*6)*(6+6))	70*6*66+*
((2/(2*8))*(4/8))	228*/48/*
(((3/4)-(9*8))*1)	34/98*-1*
((0+7)/(9+(9*8)))	07+998*+/
((0*4)/(3-(6/2)))	04*362/-/
((9*(3+5))*(5-5))	935+*55-*
((9/8)*(3*(9-7)))	98/397-**
((7/3)-(0-(5*9)))	73/059*--
(4+(2/(7/(8/8))))	42788///+
((8/(6/2))-(4/0))	862//40/-
((1/5)/((5+2)/4))	15/52+4//
((5*(9+1))/(4-0))	591+*40-/
((4-1)-(3+(1*5)))	41-315*+-
((9+(5-5))*(7+4))	955-+74+*
(9+(1*(1*(5-9))))	91159-**+
(((1-2)*7)+(5+6))	12-7*56++
(5/(4-(5-(7/1))))	54571/--/
(2+(8+(8/(9*2))))	28892*/++
((6+3)/(6/(2/1)))	63+621///
((6-(3-6))-(7*3))	636--73*-
(((2+(1*7))/6)/0)	217*+6/0/
((4-9)-(7*(9-9)))	49-799-*-
((4-1)*(3/(3+2)))	41-332+/*
((5/6)*(2-(6/4)))	56/264/-*
(((2-(4-9))*3)+8)	249--3*8+
(5+(8-(8-(3+5))))	58835+--+
(((9+7)+(1/5))*6)	97+15/+6*
(((0+2)/(3+0))/6)	02+30+/6/
((2-6)/(3+(3/9)))	26-339/+/
((((9/9)-4)/1)+5)	99/4-1/5+
(0-((2/9)+(4+5)))	029/45++-
(0*(7/(8-(6/2))))	07862/-/*
(6-((4+8)/(4*6)))	648+46*/-
((0+7)*(4*(7*5)))	07+475***
((5/(2-7))+(4/8))	527-/48/+
((5/(6-4))-(1*7))	564-/17*-
((4*(1*7))-(0-0))	417**00--
(0-(2/(5+(5-8))))	02558-+/-
(((0-2)-8)*(4-2))	02-8-42-*
(9*((9+(2/4))*8))	9924/+8**
((1-0)-(5/(4*5)))	10-545*/-
(4/(9-(3/(3*4))))	49334*/-/
(((5-9)-1)*(4-0))	59-1-40-*
(((7+5)-6)/(4+9))	75+6-49+/
((9-5)-(2-(6-5)))	95-265---
(3*((4-0)-(9+5)))	340-95+-*
((6/(8-4))*(4+0))	684-/40+*
((4*0)+(6+(4*7)))	40*647*++
((3-(2+1))*(2/1))	321+-21/*
((8-8)-(8-(1-8)))	88-818---
(((1+1)-(7-4))*6)	11+74--6*
(4*((4+5)-(8/1)))	445+81/-*
((4*0)*(5*(9/2)))	40*592/**
(6*((4/8)-(6-3)))	648/63--*
((9/(5-(5+9)))*9)	9559+-/9*
((3/(4/0))*(5-8))	340//58-*
((7+(9+(8-5)))-9)	7985-++9-
(0*(7/(1/(5-1))))	07151-//*
((6*3)/(5/(0/1)))	63*501///
(3/((2*(5+9))-3))	3259+*3-/
((6+(5+4))+(5/1))	654++51/+
(5*(9-(5/(8+5))))	59585+/-*
((6-(5*(7+9)))*9)	6579+*-9*
(((9+5)+(2-3))+6)	95+23-+6+
((1/(8+1))-(6/1))	181+/61/-
(6-(0*(1-(7*2))))	60172*-*-
(4/(8*(6-(2/1))))	48621/-*/
(9-(7+((4+9)-7)))	9749+7-+-
(6/(5*(3-(7+6))))	65376+-*/
(0*(6/(7/(2+6))))	06726+//*
(4+(1*(3*(5+7))))	41357+**+
(6-(0/(9+(4-3))))	60943-+/-
(8/(6+(9+(9+6))))	86996+++/
(((7/7)*(0*6))*4)	77/06**4*
(2-(2-(8/(7+7))))	22877+/--
(6+((3-(4-1))+8))	6341--8++
((4/4)+((1*7)+6))	44/17*6++
(6/(7/(4-(6+8))))	67468+-//
(4*((5*1)/(3/4)))	451*34//*
((7-2)/(3+(0+7)))	72-307++/
(8+((6/1)*(5/5)))	861/55/*+
(((6*0)*9)*(3+6))	60*9*36+*
((4/8)-(3-(1*5)))	48/315*--
((0-(9-1))/(9*2))	091--92*/
(((4-7)/1)*(1+8))	47-1/18+*
((7+0)-(9*(7*3)))	70+973**-
((((8+0)+9)+6)*8)	80+9+6+8*
((1/2)*(7-(0/4)))	12/704/-*
((7*(6+1))*(3*0))	761+*30**
((8/0)-(0-(0-5)))	80/005---
(7*(0*(6+(9*5))))	70695*+**
(((3*6)/6)+(3/2))	36*6/32/+
((3+(3*2))/(9+7))	332*+97+/
((8-(7-0))-(8*0))	870--80*-
