((((5*1)*(1/3))+6)/(0-(3/(3/(9/2)))))	51*13/*6+03392///-/
((((5*6)+(4+2))-(2*(3*2)))*(5/(9/0)))	56*42++232**-590//*
(((7+(0-4))*3)*(6+((6*4)-(8*(2/8)))))	704-+3*664*828/*-+*
(((6/5)/((9*(7*7))/(8/(9+6))))/(2*7))	65/977**896+///27*/
(((4-(7/(7/2)))-(2-2))/(3-(1*(9/5))))	4772//-22--3195/*-/
((((5*(6/(1-5)))*(8+(1-0)))-(9-1))-1)	5615-/*810-+*91--1-
((((1/(1+8))+5)*0)/(2*(2+(0-(2+1)))))	118+/5+0*22021+-+*/
(((7+(1*(4*(3+3))))/(2/(1*(1*3))))-6)	71433+**+2113**//6-
(((3+(7+4))*(2-3))-(0/((8*3)/(1*6))))	374++23-*083*16*//-
((((3/1)/((1+(9-0))*(0+8)))-(9/1))*0)	31/190-+08+*/91/-0*
((((6+(7-4))-3)-(9-(7-0)))*(6-(2-4)))	674-+3-970---624--*
(((9-5)*(4/(3-4)))*(6*(5*(9+(8+9)))))	95-434-/*65989++***
(((8/(4-(9-(5+7))))-5)-(4-(3*(3+1))))	84957+--/5-4331+*--
((8*(0-2))/(6/((9+(7/(4/7)))/(5/7))))	802-*69747//+57////
((0+(6/(2*(0-6))))-(0+(0-(0/(4-6)))))	06206-*/+00046-/-+-
((((0/0)/(7/3))*(7-1))*(2/(5+(3*8))))	00/73//71-*2538*+/*
(((4/(8-(5+7)))-8)*(2+(8*(1+(8/6)))))	4857+-/8-28186/+*+*
((5+((7-6)/(9/(9/7))))*(8*(7/(9-9))))	576-997///+8799-/**
(((2-(9-(8/7)))+(6*(6*(1+2))))-(3*3))	2987/--6612+**+33*-
((4-4)-((9-0)+(0-(0*((9-3)-(7*1))))))	44-90-0093-71*-*-+-
((((3*1)+(7-(8*9)))*6)-(3+(9+(8+3))))	31*789*-+6*3983+++-
((0+(((3*8)+(8+(6+5)))*(3+(8+9))))*4)	038*865+++389++*+4*
((8/(0-0))+((0/(2/(8*5)))*(4-(0+8))))	800-/0285*//408+-*+
((5+((5+(7/8))+((9*1)*(7*(2/3)))))*7)	5578/+91*723/**++7*
((1+((((1/4)*7)*0)+(2+(7+(2/8)))))/7)	114/7*0*2728/++++7/
((((1*((4*0)+9))*7)/(8*(4-3)))+(0+5))	140*9+*7*843-*/05++
(((((5-8)/(4+(7-0)))/(4+0))-2)+(1+4))	58-470-+/40+/2-14++
((((6/8)+(3*(4+1)))-(5+0))+(6-(0+4)))	68/341+*+50+-604+-+
((((0/6)-(3+4))+8)+(1*(2/(6*(5*5)))))	06/34+-8+12655**/*+
((((6/1)*5)-0)+(7-(1/(4+(5*(5+9))))))	61/5*0-714559+*+/-+
((7*(4-(8-(5/(5+1)))))-(3+(0/(7/3))))	748551+/--*3073//+-
(((2-(4-(5/(7*((7+(8/6))/2)))))+5)-0)	2457786/+2/*/--5+0-
(((((7/8)*(9+((1+6)/2)))*3)+(0+6))*7)	78/916+2/+*3*06++7*
((3*(1+(0-(5*(2/1)))))*(3*(9*(9+9))))	310521/*-+*3999+***
((3/(2/5))/((0/(0-2))-(1*(9-(6+5)))))	325//002-/1965+-*-/
(((8-3)-(8+(4+(0*(3*(0/7))))))+(7/5))	83-840307/**++-75/+
(((2*(5/(7+7)))+(1*(7*5)))+(7*(5*1)))	2577+/*175**+751**+
((5-(2+((7-(6*(3*7)))-(6*6))))+(5-2))	527637**-66*-+-52-+
(((1+1)/(6-(0+(3/2))))-(2*((6+2)+5)))	11+6032/+-/262+5+*-
((5+(9+5))-((0/(8*4))+(6*(3/(5+5)))))	595++084*/6355+/*+-
(((3+(0*7))/(2+8))-(3/(4+(9/(8+1)))))	307*+28+/34981+/+/-
(((3+(6+1))/(8+0))/(6*(4-(5+(3/5)))))	361++80+/64535/+-*/
(((7/(1*(3/9)))+(1/9))-(1*(2*(7*3))))	7139/*/19/+1273***-
((((2-7)/(3/6))+(3+((8*6)/(3+7))))+3)	27-36//386*37+/++3+
(((3+1)*(8/(0/(4/((4/4)*2)))))-(7+0))	31+80444/2*///*70+-
(((2*(2*4))/(0*(7-(2*(1*(1-2))))))/5)	224**072112-**-*/5/
((2/((2/(3*(5*9)))*(9*4)))/(4*(2-1)))	22359**/94**/421-*/
(((5/(1-2))-(6-(4+9)))+(3*(8+(0*0))))	512-/649+--3800*+*+
(2+(((7*5)/(9+(1-(1+3))))-(9-(9/4))))	275*9113+-+/994/--+
((6+(1-((4*(0-1))/0)))/(2-((3*5)-0)))	61401-*0/-+235*0--/
(((((5/(7+0))/(7/9))/(9+5))-2)/(4-4))	570+/79//95+/2-44-/
(6-(((3*6)+(1-((4*3)+5)))*(7-(3/1))))	636*143*5+-+731/-*-
((7*(4-9))*((3-(9/2))-(5*(0*(1-7)))))	749-*392/-5017-**-*
(((6*((5/0)+(8/2)))+(3-(8+(2/7))))/8)	650/82/+*3827/+-+8/
(((8+(4*(7-2)))*((0*(9*4))/1))-(8*9))	8472-*+094**1/*89*-
(((8/(2+6))-(4*4))/(8/(4/(9+(7/5)))))	826+/44*-84975/+///
(((((1*(5/8))*(0-(2+2)))-3)/(9/2))-7)	158/*022+-*3-92//7-
((3-1)*((1/((1*7)-(6+3)))/(2+(2*7))))	31-117*63+-/227*+/*
(((4/8)*(9/((5/7)*(4*(5*(5+9))))))-4)	48/957/4559+***/*4-
((8-(4-(4/(3/(1/(4-0))))))-(7*(9+8)))	8443140-///--798+*-
((7*((8+(0+(8-6)))/(3/3)))+(5/(0*8)))	78086-++33//*508*/+
(((8-(7-5))*(5/(7-2)))*(5+(9+(6+5))))	875--572-/*5965+++*
(((3+4)*(8-(2*(0+7))))-(3-(3*(8+7))))	34+8207+*-*3387+*--
(((((0*(9*7))+2)*6)+(2*6))-(5*(6+9)))	097**2+6*26*+569+*-
((((3-7)+(9+(9/6)))/9)-(6/(5*(4+1))))	37-996/++9/6541+*/-
((((2+(8+0))-(8+0))/(7-(0+0)))/(5/4))	280++80+-700+-/54//
((3*(8-(0/5)))-(2*(8*(2-(9*(4+0))))))	3805/-*282940+*-**-
((0+((5+(8+0))-(3/7)))-(6+(2+(0-9))))	0580++37/-+6209-++-
(((7-(1/(3+(9-4))))*(2*0))*(8-(0+0)))	71394-+/-20**800+-*
((((3+4)*(4-9))-(5*(0-3)))*(6+(1*7)))	34+49-*503-*-617*+*
((5-(8-(8*(3*1))))-(4+(8-(9-(0*9)))))	58831**--48909*--+-
((((1/0)+9)+(3/((5*6)*4)))-(5*(8-1)))	10/9+356*4*/+581-*-
(2-(((1-0)+(6+9))*(4*((0/(2+9))*8))))	210-69++4029+/8***-
((((4/2)-(3/(1-9)))/(0+6))-(9/(7/0)))	42/319-/-06+/970//-
((((1*(7-7))/6)*(9*(9+(1*0))))-(6*8))	177-*6/9910*+**68*-
((((8-5)*0)*(9+1))*(3-(0*(9+(8*3)))))	85-0*91+*30983*+*-*
((5*(7-(4-3)))-((9/(3+(1/4)))+(7/3)))	5743--*9314/+/73/+-
(((3-((1*2)/(8+(8-5))))*(7-(0+9)))*8)	312*885-+/-709+-*8*
((8-(5-(6-(4-7))))+(6*((6+2)-(8*4))))	85647----662+84*-*+
((5+(6/(0+(3+1))))*(9+((7/3)/(4/4))))	56031++/+973/44//+*
(((0-((5/1)+8))+(0*(4+4)))/(4*(5+0)))	051/8+-044+*+450+*/
(((8+(1*(1-3)))*(0-(2-(5+5))))*(9+1))	8113-*+0255+--*91+*
((4+0)/((2+(0+3))+(2+(2-((5-6)*7)))))	40+203++2256-7*-++/
(((6*(9*2))-((6-(7-8))*(4-1)))-(7*0))	692**678--41-*-70*-
(((2/(6/(2*1)))*(7-(1*(3/5))))+(5/7))	2621*//7135/*-*57/+
((((5/(9+1))+(4-7))*(6*(6+4)))+(0+3))	591+/47-+664+**03++
((((8/0)-4)+((8-(8-5))/8))-(4*(8*6)))	80/4-885--8/+486**-
(((6+(7-1))*(7*(4*6)))*(0*(0-(1*5))))	671-+746***0015*-**
(((9/(9-3))*(8-(1*(7-(2-8)))))-(0*0))	993-/81728--*-*00*-
(((3/6)-(8-((9+0)-2)))+(1/(7+(3-3))))	36/890+2---1733-+/+
(((((8+(6*2))/7)*6)-(0+(0+(6+4))))+1)	862*+7/6*0064+++-1+
(((7*(6-6))-(3*(4*1)))/(9+(4*(8/0))))	766-*341**-9480/*+/
(((7-(6*2))-(8+(9*8)))*(3-(0*(9-8))))	762*-898*+-3098-*-*
((((2+3)-(9+(9-5)))*(1/(8/1)))/(1-6))	23+995-+-181//*16-/
((2/5)*(((6/(7+9))-(1/(3*0)))-(6/5)))	25/679+/130*/-65/-*
((8*(8+(((4/7)/(4*(8-7)))-(9/3))))/9)	8847/487-*/93/-+*9/
(((6*(6*4))*(0-(9+3)))-(0-(1-(2*3))))	664**093+-*0123*---
(((0-7)-7)-(1-((8+0)/(0/(3-(3-3))))))	07-7-180+0333--//--
((2-(7/((2-(0+8))-(4/0))))-(9*(8*3)))	27208+-40/-/-983**-
(((8-8)*((4-8)-(2*((3/1)-(0*2)))))/7)	88-48-231/02*-*-*7/
((6*(5/4))*(4*(7/(5+((6+(9/5))/7)))))	654/*475695/+7/+/**
(((6-(1+(2+5)))/(9/(6-(1/(2-9)))))+5)	6125++-96129-/-//5+
(((9/((0-(0*9))+(7/1)))-(0/1))/(7*2))	9009*-71/+/01/-72*/
(0*((4+(7-0))+(9/(5*((4+2)/(8+5))))))	0470-+9542+85+/*/+*
((3-(0+(7-5)))+(5+(2-(2-((8/3)-1)))))	3075-+-52283/1---++
((8-8)/(((4-9)*(8*4))+(2*(1-(9+2)))))	88-49-84**2192+-*+/
((3-5)+((2/(7+6))-(1*(6/(1*(5*3))))))	35-276+/16153**/*-+
(((8-(6/1))*((8/(8*(5-4)))-7))/(5/6))	861/-8854-*/7-*56//
((((0/1)*(2-7))*7)+(8/(7/(6*(7+9)))))	01/27-*7*87679+*//+
(3*((9*(9-((2+(4-(8-2)))+(5-1))))/0))	3992482--+51-+-*0/*
(((((7*8)+(1*3))-6)*((2*2)/(9*6)))+1)	78*13*+6-22*96*/*1+
(((((1+5)/(4-5))*(3/(7-6)))+(9/9))+8)	15+45-/376-/*99/+8+
(((1/(2*4))-(3+(1*(7+5))))/(2+(8/9)))	124*/3175+*+-289/+/
((9/((1+(5+(8-(9+(8*0)))))+3))*(1-5))	9158980*+-++3+/15-*
((((8/(5/3))/7)-1)-(5+(1*(8/(4/5)))))	853//7/1-51845//*+-
((4+(2*(6-2)))-(3+((0-4)-(0-(2+8)))))	4262-*+304-028+--+-
((((8-(2*(2/4)))*(5*3))+(4+1))*(5/8))	8224/*-53**41++58/*
(((3+(2-4))+(2-(5+6)))/(7/(5+(5+7))))	324-+256+-+7557++//
(((2*(6*5))+(7/(0-(2+1))))*(2/(1*4)))	265**7021+-/+214*/*
(((6+8)+(6/((3/(2-4))/(0-(6*1)))))*0)	68+6324-/061*-//+0*
(((((3*(3/1))*(2*1))+9)-(6*2))/(2+2))	331/*21**9+62*-22+/
((5+8)/(5+(8*(9*(6*(8-(0*(5*7))))))))	58+58968057**-***+/
((((3/5)/(5+3))+(5+(2*5)))+(6+(1*5)))	35/53+/525*++615*++
((((9*3)*(1*9))-(6+(1*(6*3))))/(9/8))	93*19**6163**+-98//
(((3/((8/0)/(6*(6*8))))/(2*(6/6)))-1)	380/668**//266/*/1-
((0/(0/(0-(3*7))))*(9-(0/(0-(8/0)))))	00037*-//90080/-/-*
(((9-(5*6))-(7+(7-0)))*(7*(3/(4/2))))	956*-770-+-7342//**
(((7+(3+(5*(5-3))))+(9-9))+(3*(0+8)))	73553-*++99-+308+*+
((8*((5/4)-(0/(2*(4+5)))))*(7/(6*0)))	854/0245+*/-*760*/*
(((2/5)/(1+(5-0)))-(2/(4*(5*(1/2)))))	25/150-+/24512/**/-
(((((9/8)+6)/1)+(0-((8*5)+1)))*(0/4))	98/6+1/085*1+-+04/*
(((8-(9+4))/(7+(3+8)))+(0*(2/(2+7))))	894+-738++/0227+/*+
((0+(7+7))*((8+(5+1))*(0*(9+(3+8)))))	077++851++0938++***
((3+((8+(4+(7-(4/3))))/(8/8)))-(1+6))	384743/-++88//+16+-
((4/(4+4))/((6/(4+2))/(9+(0/(4+7)))))	444+/642+/9047+/+//
(((7*5)+((4-3)-1))+(2/(6+(6*(1*4)))))	75*43-1-+26614**+/+
(((8-((7*(5+(0*9)))+2))+9)/(4/(4-4)))	87509*+*2+-9+444-//
((2/((3+(2/(9-5)))*(6*(7*(4+4)))))/9)	23295-/+6744+***/9/
(((3*6)-(9*(4/9)))/(5*(9+((1+5)+6))))	36*949/*-5915+6++*/
((((4+(9-(9*6)))+1)*(6+7))-(3*(2+7)))	4996*-+1+67+*327+*-
(((8/4)*(7+(0*8)))+(5/(1+(1+(2/6)))))	84/708*+*51126/++/+
(((3*(4*7))/(2+(0/(0-0))))/(6*(6/1)))	347**2000-/+/661/*/
(((9+2)/((8-3)+(3/(3-6))))-(0+(6-4)))	92+83-336-/+/064-+-
(((1+2)*(2-4))/(3/(4*(5/(2/(5/3))))))	12+24-*345253///*//
((((1*(2*8))-3)/(8-(2-(6-4))))*(9-3))	128**3-8264---/93-*
(((0/0)*((9/(7/1))*(6+5)))*(8+(6-5)))	00/971//65+**865-+*
((1-(4*(3/2)))*((6*(6-(2/(3+6))))+2))	1432/*-66236+/-*2+*
((((5*9)+(2/8))*(4/1))+(1-(2*(6*9))))	59*28/+41/*1269**-+
((9+(5-(1+(1/2))))+(9-(6/(5-(5+4)))))	95112/+-+96554+-/-+
(((6*3)-(9+(0-(8/8))))-(5+(6-(3/3))))	63*9088/-+-5633/-+-
((4/(((6+3)+(6/6))-(4+0)))-(0*(6+6)))	463+66/+40+-/066+*-
(((8-(5-6))-(7*8))*(0+(6-(0+(1+3)))))	856--78*-06013++-+*
(((((8*6)*7)/(1/(5-3)))-4)*(9*(3/0)))	86*7*153-//4-930/**
((5/((9+(6*6))-(6/(0*7))))-(0*(9+1)))	5966*+607*/-/091+*-
(((0-2)/(8/4))*((4-(7/0))*(7+(9-6))))	02-84//470/-796-+**
((((3/1)*(1+(4-4)))*(5/0))-(0/(7*8)))	31/144-+*50/*078*/-
((((4/3)/(2*(9*8)))/(6+(2-4)))-(5/5))	43/298**/624-+/55/-
((7/((0-(5/8))*(2*9)))+(3/(5/(4-3))))	7058/-29**/3543-//+
(((1/(1-1))+(3/(2+(9*4))))+(3+(8*1)))	111-/3294*+/+381*++
(((0/(1/(1+3)))/(7*(2/2)))*(6*(6*4)))	0113+//722/*/664***
((4+5)+((5+((9*1)+(7-3)))/(8*(4+3))))	45+591*73-++843+*/+
((7-((3-(1-(5-6)))*2))-(9/(7*(1*6))))	73156---2*-9716**/-
((((4/1)*(7+(9+6)))/(1/(6-9)))/(3/7))	41/796++*169-//37//
((((6/(0*2))*(1+(7/8)))-(2+4))-(9*0))	602*/178/+*24+-90*-
(((4*7)*((3/(7/(4*0)))-6))/(6*(1/3)))	47*3740*//6-*613/*/
((((4+0)+(5-(4+1)))+8)-(6+(2+(6-9))))	40+541+-+8+6269-++-
(((((7-9)+(6+8))-(6+2))*(4+0))+(5-7))	79-68++62+-40+*57-+
(((7+4)*(0+(8/5)))-(2*(8/(6*(6-6)))))	74+085/+*28666-*/*-
(((7*((1+(0*5))-3))/(6*(3/9)))*(0+6))	7105*+3-*639/*/06+*
(((((4/(2/9))/5)/(4/7))-(8*(9-1)))+0)	429//5/47//891-*-0+
((((4+(0*8))*(6-1))-7)*(5*(3/(5-9))))	408*+61-*7-5359-/**
((3+(2/7))*(1-(0+((6+(7-1))-(6/6)))))	327/+10671-+66/-+-*
(((1+(0-6))+(1-((5/1)/3)))*(0*(4/9)))	106-+151/3/-+049/**
(((4/(5/(5/(9-(9/7)))))+1)-(2/(0*5)))	455997/-///1+205*/-
((((4/9)*(3/4))*4)+(8/(2+(9-(2-1)))))	49/34/*4*82921--+/+
(((8+(9-(((3+3)+(9*9))-9)))*(5/1))+9)	8933+99*+9--+51/*9+
(((8+((5-3)-(6+((4/4)/(8*2)))))-5)/1)	853-644/82*/+-+5-1/
(((((3*(8-3))-8)/4)-(5+0))-(6*(3+0)))	383-*8-4/50+-630+*-
((4/((6+(1/2))*1))/(2+((8+5)*(7*9))))	4612/+1*/285+79**+/
((((5*(0+8))-(7+(2+(9-3))))+(7-0))-1)	508+*7293-++-70-+1-
((8-(8*9))/((3-9)-(6/(9-(3/(2/0))))))	889*-39-69320//-/-/
(((7-(0/(2-3)))/(0-9))/(7/(2*(7*3))))	7023-/-09-/7273**//
(((7*(7*1))+(9-(2*(1*(7+8)))))*(6+0))	771**92178+**-+60+*
(((1*(((2*(2*4))/0)/(7/0)))*(5-4))/9)	1224**0/70//*54-*9/
((((7+8)*(8*7))*(3+(1*(5-0))))/(0+6))	78+87**3150-*+*06+/
(((8*(8-(8/2)))+((1-2)/(7-(6/6))))+9)	8882/-*12-766/-/+9+
(((8*(3-7))-(9/(8+3)))/(4+(2-(8/4))))	837-*983+/-4284/-+/
((((3/2)+(4-3))/(2*((5+9)-(8*7))))-2)	32/43-+259+87*-*/2-
((((8-2)-(5/0))*(9*5))*(1*(6*(9/8))))	82-50/-95**1698/***
(((1*0)+(8/(5/(0+7))))*(3*(0*(4*0))))	10*8507+//+3040****
((3*(0*5))+(5/(9-((9-5)/(6*(5*1))))))	305**5995-651**/-/+
(((3+((5*(0/9))+(1+3)))/1)+(8/(4-2)))	3509/*13+++1/842-/+
((2-(2-(8-1)))-((4/(1+6))+(9/(4+7))))	2281---416+/947+/+-
((2-(2/2))/(7+((0-(5-3))/(7-(4/9)))))	222/-7053--749/-/+/
((((1-(4-4))+(4*9))/(3/(4/(5+7))))-5)	144--49*+3457+///5-
(((9/3)+(6*(6+8)))/(0*(5/(1*(5-8)))))	93/668+*+05158-*/*/
((((1*8)*(3+(6+(6-(7-9)))))-(4-8))/4)	18*36679--++*48--4/
(2-(1+((3+8)/(9-((2+6)/(5/(6/5)))))))	2138+926+565///-/+-
((9-(0*(3-7)))+(1*(2/(3+(8/(1-1))))))	9037-*-123811-/+/*+
(((6+((2-(9-5))-6))+3)/(5*(2-(9+4))))	6295--6-+3+5294+-*/
((((3/2)/((1+(8-(3-6)))-7))+(7-5))+9)	32/1836--+7-/75-+9+
(((4+0)*(8/(6*1)))+(8*(6*(4+(3+4)))))	40+861*/*86434++**+
((((3/4)*(9+3))+((7+0)/(9*(7+7))))-1)	34/93+*70+977+*/+1-
(4*(((7+3)*(7*7))-(7-(5-(1+(3-4))))))	473+77**75134-+---*
((0*(7*(((6/1)-(8+(3*1)))-(7-1))))*0)	0761/831*+-71--**0*
(((3/(2+3))-(3-(6*(1-0))))-(3/(7/5)))	323+/3610-*--375//-
(((8-(3-(1-(2-6))))+(0/(0-1)))+(3*7))	83126----001-/+37*+
((7*((4/((3+6)+(3+5)))-9))*(0-(4/6)))	7436+35++/9-*046/-*
((3+((6-(7+5))+7))+(0+(7+(5/(0*4)))))	3675+-7++07504*/+++
(((8-6)-(6/(6/1)))-(9+(1-(5*(3+0)))))	86-661//-91530+*-+-
((9*(3*1))/(5*((9-((4+8)-5))/(2+9))))	931**5948+5--29+/*/
(((3/((1+0)*(3+(2*(1+1)))))+(6*8))*2)	310+3211+*+*/68*+2*
(((7/(6-(2-2)))-(6+(4+(3/9))))+(0+9))	7622--/6439/++-09++
((8-((1-0)+(7-(6*((6*4)-(0+7))))))/8)	810-7664*07+-*-+-8/
(((5*(4-2))*(1-(4*(4/(9-3)))))+(0+5))	542-*14493-/*-*05++
((8-((3*(5*9))*(1+(2-5))))-(2*(9*6)))	8359**125-+*-296**-
((7-((9*(2+(9+6)))-(6+(0-5))))-(2*6))	79296++*605-+--26*-
(((6-9)/(1-(8/(8/(3+(5+3))))))/(5/0))	69-188353++//-/50//
((((2/3)+(6*9))*7)/(8-(((7+4)/3)/6)))	23/69*+7*874+3/6/-/
(((((7*6)+(0-(6-7)))+5)*(8-(1-4)))/1)	76*067--+5+814--*1/
(((1-(8+1))/(6-(2-8)))*(9-(5+(9/6))))	181+-628--/9596/+-*
(((2-(0/(2+1)))+(1-7))+(1/(4+(2/6))))	2021+/-17-+1426/+/+
(((2*5)/((4+(8+(5*7)))+5))-(2/(7/5)))	25*4857*++5+/275//-
(((1/5)/((6+(1-9))-8))+(5+(2-(6/4))))	15/619-+8-/5264/-++
(((4+((6-(4/(5+6)))+1))-(1-(8-7)))*9)	46456+/-1++187---9*
((8/(6*4))-(3-(8*(5*(3*(2+(4*6)))))))	864*/3853246*+***--
((9/2)/((0/((5+7)*(6*(4+7))))-(6+8)))	92/057+647+**/68+-/
((((4*9)*(7+(2/1)))-(0+(4-2)))+(9*2))	49*721/+*042-+-92*+
((2-(8-(6-(2/(0/1)))))-(5/(4*(6*5))))	286201//---5465**/-
((7-(7+((2+2)*(8/2))))+(1+((8+4)-4)))	7722+82/*+-184+4-++
((7*7)+((1/((8+(8+(7/7)))-(5/8)))/4))	77*18877/++58/-/4/+
((8*9)*((8+(3*((4-2)+7)))*(8*(4-6))))	89*8342-7+*+846-***
((7-(5/(1+3)))*(6/(1*(6*(1*(1+4))))))	7513+/-616114+***/*
(((4+(4-5))+((4-3)+(0/(7+3))))+(6+7))	445-+43-073+/++67++
((3+((5*(7*(8/(9-9))))/(9-1)))+(2+7))	357899-/**91-/+27++
(((5/7)*(2-2))-(3*((6-0)/(8*(9*2)))))	57/22-*360-892**/*-
((((8+6)-(5*((1+2)-(4*(7/1)))))+1)/2)	86+512+471/*-*-1+2/
(((1/(5/(2-4)))+(4-(8+(9-9))))+(0-0))	1524-//4899-+-+00-+
(((0/(2*7))+(3*(7/(0*1))))-(3/(5*3)))	027*/3701*/*+353*/-
((8/(3*(4-(2/(4+6)))))+(6+(0+(6-5))))	834246+/-*/6065-+++
(((2+(0-1))+5)-(4/((8*(3-1))-(4/7))))	201-+5+4831-*47/-/-
(((((1+2)+2)+(0*9))*(2-(8-(2+8))))-5)	12+2+09*+2828+--*5-
(((1/(6-((5/(3+8))-8)))/(2/(5*9)))*1)	16538+/8--/259*//1*
(((9-(2/5))/5)/(8/(9+(1/(5-(9+2))))))	925/-5/891592+-/+//
(((9-(9-(5*(0/5))))/(7+(7+(1+0))))*0)	99505/*--7710+++/0*
(((9+(2+2))/(3/((5*(3*6))/4)))+(1/7))	922++3536**4///17/+
(((9+(3/((2/(4*1))+0)))/1)*(7/(1-0)))	93241*/0+/+1/710-/*
(((9-(4+(5/1)))/((7/3)*(1*(9/7))))+4)	9451/+-73/197/**/4+
(((0+(7/(4+5)))/(8-(2/(8*(3/9)))))/0)	0745+/+82839/*/-/0/
(((3*(7+0))*6)+(0*((7+2)+(7/(6-5)))))	370+*6*072+765-/+*+
(((5-4)/(3/6))/(2+(6+((1*5)*(8-3)))))	54-36//2615*83-*++/
((((4/1)/(2-0))/(4-(2-((4+7)/6))))*0)	41/20-/4247+6/--/0*
(((7*9)/(5-(0*(5*(1+(9/8))))))*(1/5))	79*505198/+**-/15/*
(((7+4)/7)+(2/((9*(6/1))*(2/(7/3)))))	74+7/2961/*273//*/+
((7-0)*((0*((0*8)/(2-4)))*(6*(2+3))))	70-008*24-/*623+***
(((6*(8+(9-3)))/(6*8))*(2+(1-(1/5))))	6893-+*68*/2115/-+*
((9*3)/(6*(0+((7/(7+((9/5)*7)))/7))))	93*607795/7*+/7/+*/
((3+((6*(5+(3*5)))-2))-(5/(6*(2*6))))	36535*+*2-+5626**/-
(((((1*(3-5))*(2/7))*9)/(8*3))*(8-6))	135-*27/*9*83*/86-*
((4*(2-0))*(0-(7+(0-(3-(9+(1-1)))))))	420-*0703911-+--+-*
((((4+(8+1))+3)*(2-(7*4)))/(0*(4-3)))	481++3+274*-*043-*/
(((7/4)+(5+(6-8)))-(0+(4/(2/(2-8)))))	74/568-++04228-//+-
(8+((8-(9/(8+7)))*(8-(5+(9-(7/5))))))	88987+/-85975/-+-*+
((((4*2)+(2-5))-(6/(4-(4+(5+8)))))/5)	42*25-+64458++-/-5/
((((4*(9*(6*9)))/(6+3))/(9-9))/(2*4))	4969***63+/99-/24*/
(((4-(0*9))-(8-(4-(1/4))))/(4+(6/3)))	409*-8414/---463/+/
((((6+8)+((1/3)/3))*(7-0))*(4/(4+1)))	68+13/3/+70-*441+/*
((5/((8*6)+8))*(5-(8/(1-(8/(8*2))))))	586*8+/581882*/-/-*
(((8/(0*0))*(0*(6-(9-3))))+(9/(6-7)))	800*/0693--**967-/+
(((1*(9*9))-(8*1))+(7/((0/5)+(6-3))))	199**81*-705/63-+/+
((4-(4+5))-(4/(2-(4+(2+(2*(6+0)))))))	445+-4242260+*++-/-
(((8+(6-(7/(9-2))))/(1+7))*(5/(3+0)))	86792-/-+17+/530+/*
((8/((2-(5+(4-(4*8))))+(8*(9+2))))/6)	825448*-+-892+*+/6/
(((0-(5-(6-3)))/(2+(6+1)))+(2/(5/5)))	0563---261++/255//+
(((6+8)-(0+((8/(0*3))/(7*8))))-(0/0))	68+0803*/78*/+-00/-
(((9+((1+4)/(0-7)))+(6*9))/(3/(0*4)))	914+07-/+69*+304*//
(1-(((8+(7-(7*(0+4))))*(2+(5+7)))*1))	187704+*-+257++*1*-
(((8-(9/6))/(6*((5+2)*(8/(9/2)))))-2)	896/-652+892//**/2-
(((5+((3*6)/8))/(8+8))+(2/(5-(6/5))))	536*8/+88+/2565/-/+
(((((7-5)/(1*(7+9)))*(3/5))+9)*(4*8))	75-179+*/35/*9+48**
((9-(8*6))*((8-(7*(1-(0*5))))-(7+5)))	986*-87105*-*-75+-*
(((4*(4*3))/((9-(3+9))*(4*9)))+(7/9))	443**939+-49**/79/+
(((9*(5-(7-6)))+(6/(3*(5/(1-7)))))-5)	9576--*63517-/*/+5-
(0*((2/1)-((1+(3/6))*(8*(6-(7-6))))))	021/136/+8676--**-*
(((5-2)*(3-8))/((5*(2+(4/(7/8))))/4))	52-38-*52478//+*4//
(((9+(0-(4*8)))*(3*1))-(2+(2/(5/1))))	9048*-+31**2251//+-
(((3+(6-(2+8)))*(2/((6+6)*(7*8))))/9)	3628+-+266+78**/*9/
((((8-7)-(1/(1*(2-(8+8)))))+2)*(8-5))	87-11288+-*/-2+85-*
((6-7)/((7/7)+(7/(8-((9/(6/3))+1)))))	67-77/78963//1+-/+/
((0/(9*(4/(2/(2*9)))))*(5*(1*(6/9))))	094229*//*/5169/***
((5-((7/(0*(4-1)))-(6/9)))+(9/(5*1)))	57041-*/69/--951*/+
((3+(1-(2/4)))/((9-(0-4))*(9-(4/7))))	3124/-+904--947/-*/
((8+((0-(3-7))*(8/(5+(6+8)))))/(1+2))	8037--8568++/*+12+/
((1+((8+(4+2))/(7+7)))-(4*(9*(3+8))))	1842++77+/+4938+**-
(((5*1)-(2*(0/(3+8))))-(7-(2-(8*2))))	51*2038+/*-7282*---
((7-(((0-(2-4))*5)+(2-(5-3))))-(8/1))	7024--5*253--+-81/-
((((4*2)+(2+9))-(8/7))+(9/(7+(4/7))))	42*29++87/-9747/+/+
((((8/4)+(9*(3*(6-2))))-(4/9))-(2/9))	84/9362-**+49/-29/-
(((5+6)/(2*(8*(3+7))))*(5+(4-(9-5))))	56+2837+**/5495--+*
((((6/(2*7))+9)-(1+(3/4)))+(5*(1/0)))	627*/9+134/+-510/*+
((((1/(3*2))/0)/(4-(5/7)))+(5*(6*2)))	132*/0/457/-/562**+
((3/(0*(0-8)))+((2-(6*(9-8)))*(1+4)))	3008-*/2698-*-14+*+
((((7*(5/8))-(8*6))-5)-(5-(3+(5/0))))	758/*86*-5-5350/+--
((((7-0)-(1+6))+(6+((4-2)+(7-2))))*0)	70-16+-642-72-+++0*
