(7-(4*(4*3)))	7443**-
(6-(1-(7-7)))	6177---
(0-(1*(1/0)))	0110/*-
(4-(5*(0/9)))	4509/*-
((5/3)+(2*9))	53/29*+
(1-(3-(2/6)))	1326/--
(8-(2*(8+9)))	8289+*-
(8*(9*(1-4)))	8914-**
(4-(8+(8+0)))	4880++-
(7-(0-(2-4)))	7024---
(1*((9-3)*0))	193-0**
((2-7)+(4*7))	27-47*+
(0*((7+9)/0))	079+0/*
(7+(9*(3-0)))	7930-*+
(1+(6/(7-5)))	1675-/+
(5/(1/(2/3)))	5123///
(9*((0-1)+3))	901-3+*
(0-(3-(4-1)))	0341---
(5-(8/(5/8)))	5858//-
(7/(9*(3*2)))	7932**/
(5/(8/(9-4)))	5894-//
(0-(1-(8+4)))	0184+--
(8-(4*(8+2)))	8482+*-
(2+(3+(8/6)))	2386/++
(7*(0/(4+3)))	7043+/*
(6/(2/(5*7)))	6257*//
((7-5)*(4*3))	75-43**
(4+((1/5)*9))	415/9*+
(5*(2-(6*7)))	5267*-*
(5/((5*5)/2))	555*2//
(7-(5/(9*0)))	7590*/-
(5/(5/(1*3)))	5513*//
(6+((9/8)*2))	698/2*+
(3/(9/(4*5)))	3945*//
(0+(6-(5*2)))	0652*-+
(4*(4-(9-4)))	4494--*
(3+(1-(2*8)))	3128*-+
(8/(1/(9/3)))	8193///
(0-(0-(7*2)))	0072*--
(4*(7-(6*1)))	4761*-*
(1-(8/(7/1)))	1871//-
(6*(4/(7/9)))	6479//*
((1-(3+1))/7)	131+-7/
(3*(9-(5+0)))	3950+-*
(5*((5*2)+5))	552*5+*
((5/9)/(3+5))	59/35+/
(1/(3*(2/5)))	1325/*/
((0-5)*(7+1))	05-71+*
(9*(8/(1*7)))	9817*/*
(6+(2/(5/1)))	6251//+
(4+(8*(6-9)))	4869-*+
((0+3)+(7-5))	03+75-+
(3-(7-(1/2)))	3712/--
(4*(6/(3/0)))	4630//*
(3+(2/(1+1)))	3211+/+
(0*(2+(2+3)))	0223++*
(4/(7/(4-6)))	4746-//
((4/8)-(4-3))	48/43--
((5+(8-8))-9)	588-+9-
(9-(0+(1/5)))	9015/+-
((5-7)*(9+6))	57-96+*
(2-(7/(9/4)))	2794//-
(3/(1*(1+8)))	3118+*/
(7/(4/(9/8)))	7498///
((1-(2+9))/1)	129+-1/
(3*(7-(6/3)))	3763/-*
((8/5)-(0+9))	85/09+-
(8/(3*(4-5)))	8345-*/
(1+((4/3)-7))	143/7-+
((4*4)+(4+6))	44*46++
(8/(4+(1+4)))	8414++/
((6+1)*(5*2))	61+52**
(7-(1-(1+6)))	7116+--
(8-(6*(0-3)))	8603-*-
(0-(9-(9*2)))	0992*--
((6-4)*(2/8))	64-28/*
((9-1)-(9+3))	91-93+-
(3*((1*8)-8))	318*8-*
((1*(0/4))+3)	104/*3+
(3-(1/(0+0)))	3100+/-
(6/(2*(5*9)))	6259**/
((2*9)/(4+9))	29*49+/
(8-(7+(2*9)))	8729*+-
(1*(7+(9/2)))	1792/+*
(1+(9+(5*9)))	1959*++
(7*(6+(0+1)))	7601++*
(7+(3*(1*0)))	7310**+
(9*(4-(3*6)))	9436*-*
(4/(9-(7+6)))	4976+-/
(8-(8+(2+7)))	8827++-
(2/(8-(2-5)))	2825--/
(6*(2-(4-7)))	6247--*
(2+(1-(5/8)))	2158/-+
(7+(4*(1-2)))	7412-*+
(1+(9*(3*6)))	1936**+
(4-(4-(1/7)))	4417/--
(1+(8-(0/3)))	1803/-+
(2-(9+(7+5)))	2975++-
(1-(2*(7/3)))	1273/*-
((0*9)*(7*5))	09*75**
(8*(5/(4*6)))	8546*/*
(5*(1/(7+4)))	5174+/*
(6-(0*(5+1)))	6051+*-
(5+(8*(3-5)))	5835-*+
(8/(2*(0-1)))	8201-*/
(6*(6-(7*9)))	6679*-*
(0+(1/(2/5)))	0125//+
(4-(0-(9+1)))	4091+--
(7*(0-(2+1)))	7021+-*
(4/(1-(4*8)))	4148*-/
(0*(8/(2-9)))	0829-/*
(8/(9/(1-3)))	8913-//
(5*(9*(4+3)))	5943+**
(9-(7+(0+0)))	9700++-
(8*(9+(0+8)))	8908++*
(8*((8/8)+8))	888/8+*
(3-(6/(3*6)))	3636*/-
((7/7)/(5+7))	77/57+/
(9-(2*(7-1)))	9271-*-
(9-(4+(3*2)))	9432*+-
(8/(0-(5*5)))	8055*-/
(0+(6+(8+3)))	0683+++
(9*(5/(7+3)))	9573+/*
((8/4)+(0-8))	84/08-+
(8-(1+(6/2)))	8162/+-
(3/(2/(7/9)))	3279///
(5*(8+(6/3)))	5863/+*
(0/(9-(1/3)))	0913/-/
(0+(1*(4*5)))	0145**+
(9*(6/(1*9)))	9619*/*
(3+(6/(2+2)))	3622+/+
((1-3)/(5-8))	13-58-/
((0+0)*(1+1))	00+11+*
((9+9)-(1+6))	99+16+-
(0/(9*(9/5)))	0995/*/
(7+((5*2)*0))	752*0*+
(9+(3/(0/6)))	9306//+
(9/(7-(3/9)))	9739/-/
(9/(8-(7/6)))	9876/-/
((9-1)*(4-7))	91-47-*
(1*(0-(5/3)))	1053/-*
(8-(3-(9+3)))	8393+--
(4/(7-(0/2)))	4702/-/
(2/(3/(1+8)))	2318+//
((2/9)-(1*1))	29/11*-
(8/(0/(9-6)))	8096-//
(2+(3-(1+0)))	2310+-+
(0-(5*(7-4)))	0574-*-
((4-1)-(0/1))	41-01/-
(5+(4*(8*8)))	5488**+
(2*(1/(0+6)))	2106+/*
((5*7)-(4+4))	57*44+-
(7/(6-(3+2)))	7632+-/
(2/((1*8)-2))	218*2-/
((0*(9-7))-9)	097-*9-
(7+(0+(0-7)))	7007-++
(1*((8-5)-8))	185-8-*
(3/(8/(6*9)))	3869*//
(8-(3*(4-1)))	8341-*-
(4-((6+5)+0))	465+0+-
(8-(6+(9*1)))	8691*+-
(2+(3-(5*5)))	2355*-+
(3*(8-(4*2)))	3842*-*
(8+(6+(4-5)))	8645-++
((5*(6/0))+9)	560/*9+
(0+(7/(2*9)))	0729*/+
(8-(6+(7-8)))	8678-+-
(6-(0*(4-0)))	6040-*-
(4-(1-(4-6)))	4146---
(3*(3+(7-5)))	3375-+*
(7*(4*(1/3)))	7413/**
((0-4)/(8*3))	04-83*/
(3*(2-(0*1)))	3201*-*
((5*5)+(1/1))	55*11/+
(2-(4+(0*1)))	2401*+-
((6-2)+(5*3))	62-53*+
(5/(1/(6/8)))	5168///
(9*((0*8)*1))	908*1**
(9/(4/(2+6)))	9426+//
(4/(2-(3/2)))	4232/-/
((6*6)+(6*2))	66*62*+
((5/0)-(9-7))	50/97--
(7/(1*(3-5)))	7135-*/
(5*(9+(0*8)))	5908*+*
(3-((3/3)/5))	333/5/-
((7-(3*5))-2)	735*-2-
(9-(1-(6/2)))	9162/--
(2+(6+(6-3)))	2663-++
(3*(8*(7/5)))	3875/**
(5*((5/8)/4))	558/4/*
((8-9)+(6/0))	89-60/+
(4+(5-(7*8)))	4578*-+
(6-(7-(3+5)))	6735+--
(6+(6*(3-1)))	6631-*+
(5+((9/0)+5))	590/5++
((1/8)/(3/2))	18/32//
(9/(9+(3-4)))	9934-+/
(3/(4/(2+1)))	3421+//
(2+(2*(2-5)))	2225-*+
(3/((0+3)*9))	303+9*/
(5-(8/(3*0)))	5830*/-
(1+(4/(2+4)))	1424+/+
(8-(8*(6/5)))	8865/*-
(9*((7+8)*1))	978+1**
(3+(1*(6+4)))	3164+*+
((1+3)/(8*7))	13+87*/
(2+(6-(1/8)))	2618/-+
(1+(3*(5*5)))	1355**+
(9+(6/(7+5)))	9675+/+
(5-(9+(1+8)))	5918++-
(2+((7*5)-6))	275*6-+
(3-(9*(2/7)))	3927/*-
(9/(7/(3+7)))	9737+//
(2-(6-(0-4)))	2604---
(1*(1-(6/4)))	1164/-*
(2+(3/(5*3)))	2353*/+
((4+1)+(4*6))	41+46*+
(8-(1+(7/0)))	8170/+-
(5*(5/(0/4)))	5504//*
(0*(6/(5+0)))	0650+/*
(3/(1+(6-2)))	3162-+/
(7*((1-8)-2))	718-2-*
(3/(4-(2*2)))	3422*-/
(2+(6-(2+1)))	2621+-+
((6*3)-(0*7))	63*07*-
(1/((7+4)+6))	174+6+/
(5/(9*(0-6)))	5906-*/
((7+5)+(3+1))	75+31++
(9*(1-(9*7)))	9197*-*
(1-((1*3)-7))	113*7--
(9+(5-(9+3)))	9593+-+
(5/(9/(5*1)))	5951*//
((1*2)-(6*2))	12*62*-
(4/(8-(9*8)))	4898*-/
((7*1)-(6/3))	71*63/-
(3/(0*(2*3)))	3023**/
((0/0)-(6*6))	00/66*-
((5-(5/8))+1)	558/-1+
(3/((6*2)*1))	362*1*/
(2/(1+(0+9)))	2109++/
(3-(0+(4+4)))	3044++-
(5/(2-(6-6)))	5266--/
(9/(7*(9/3)))	9793/*/
((4/3)+(8-9))	43/89-+
((1-6)+(2+1))	16-21++
(3+(1-(6-8)))	3168--+
(1*((8*0)/5))	180*5/*
(6+(6-(9/2)))	6692/-+
(7/((2-6)*1))	726-1*/
(4/(9/(2/2)))	4922///
(3/(6+(9/2)))	3692/+/
((6/9)/(9-3))	69/93-/
(5*(0-(1*1)))	5011*-*
(1*(8*(2+9)))	1829+**
((7/1)/(7+9))	71/79+/
(2-(0/(3*4)))	2034*/-
((5*9)/(3/0))	59*30//
(7*(8*(8*3)))	7883***
(8-((3-5)+4))	835-4+-
((4/7)-(9+9))	47/99+-
(7/(7*(0+2)))	7702+*/
(1-(6/(6/2)))	1662//-
(2/(3*(2*8)))	2328**/
(9*(1-(3-9)))	9139--*
(0/(8*(7-4)))	0874-*/
(9+((1-7)*8))	917-8*+
(0-(1/(2/5)))	0125//-
(8*(8*(6-8)))	8868-**
(3/(6+(4*4)))	3644*+/
(4/(1-(6*8)))	4168*-/
((4-0)-(6/7))	40-67/-
(9/(9+(8-5)))	9985-+/
((0+(4+4))-3)	044++3-
(2+(9*(2/9)))	2929/*+
(0*(3*(0+6)))	0306+**
(2-(8-(9+0)))	2890+--
(8*(3-(6*3)))	8363*-*
(0+(2*(7/4)))	0274/*+
(4/(7*(5-0)))	4750-*/
(7*(3-(6+2)))	7362+-*
(9*(9-(4+8)))	9948+-*
(7+(3+(7/4)))	7374/++
(5-((2-5)*2))	525-2*-
(4-((8+1)+3))	481+3+-
(7-(5*(3/5)))	7535/*-
((6+1)/(0/6))	61+06//
(4+(3+(3/0)))	4330/++
(5*(6+(1*1)))	5611*+*
(4*(4/(7/9)))	4479//*
(1+(4*(1/1)))	1411/*+
(8+(6*(1*5)))	8615**+
(4-(2/(7*7)))	4277*/-
(5-((0-6)-0))	506-0--
(4/((8*0)*4))	480*4*/
(7/(4/(9+8)))	7498+//
(8/(3/(1/4)))	8314///
(7-(7*(9*8)))	7798**-
(8*((7+1)/5))	871+5/*
(9/(4+(8/8)))	9488/+/
(8*(1/(6+0)))	8160+/*
(2+(8*(6-3)))	2863-*+
(7+(3-(1/3)))	7313/-+
((1+1)/(8-8))	11+88-/
(9/(2+(1+4)))	9214++/
((1*(4*6))/0)	146**0/
(2+(7-(8/6)))	2786/-+
(4-(1*(7+1)))	4171+*-
(7*(8*(6/2)))	7862/**
(3*(2/(0+7)))	3207+/*
(4-(7/(3/2)))	4732//-
(8+(2+(5-6)))	8256-++
(0+(3/(6-5)))	0365-/+
(0+(5-(7-0)))	0570--+
((2-7)+(7/4))	27-74/+
(8/(2*(2-3)))	8223-*/
(8/(1-(1+9)))	8119+-/
(6-(9/(1/5)))	6915//-
(1-(7/(2*2)))	1722*/-
((0-5)-(0*0))	05-00*-
(0+((0*5)*9))	005*9*+
(0-((5/8)-1))	058/1--
(3*(3*(0-5)))	3305-**
(8/(7+(0-8)))	8708-+/
(3+(4+(9+5)))	3495+++
(8-(0*(6*4)))	8064**-
(1-(8*(9*6)))	1896**-
(0*(3-(9+2)))	0392+-*
(2/(2-(5/2)))	2252/-/
((6+0)-(9*4))	60+94*-
(1*(8+(0*1)))	1801*+*
(7+(2-(6/4)))	7264/-+
(3+(5/(9+0)))	3590+/+
((8*1)*(5+1))	81*51+*
(2/(1*(9-0)))	2190-*/
(4/(7+(6+2)))	4762++/
(8/(4/(5+0)))	8450+//
(0/(8-(0/6)))	0806/-/
((9-7)*(7*8))	97-78**
(2+((7+7)*6))	277+6*+
(2-(5+(4+0)))	2540++-
(0*(8*(8+9)))	0889+**
((9*7)+(1/9))	97*19/+
(9*(0-(9/8)))	9098/-*
(3+(4/(4*0)))	3440*/+
(7+(1+(7*8)))	7178*++
(6*(6-(8+7)))	6687+-*
((0-5)+(1/8))	05-18/+
(2*((8/7)-1))	287/1-*
(6*(6+(8-7)))	6687-+*
(0-(1-(2/6)))	0126/--
((6/9)/(3+4))	69/34+/
((6/6)-(2+8))	66/28+-
(8/(8+(4-3)))	8843-+/
(5-(8-(8+9)))	5889+--
(6-((3*4)-2))	634*2--
(9/(8/(4-1)))	9841-//
(9*(7-(0*7)))	9707*-*
(7-(5-(6/6)))	7566/--
((9*5)+(1+5))	95*15++
(0-(0*(2-7)))	0027-*-
(4-(4-(8-4)))	4484---
(7+(4*(0/2)))	7402/*+
(9+(8/(8+1)))	9881+/+
(0+(5-(4-8)))	0548--+
(9/(2-(2+7)))	9227+-/
(1+(9+(9+7)))	1997+++
(4-(5*(8-0)))	4580-*-
(1*(5-(6-7)))	1567--*
(6/(4*(3*6)))	6436**/
(0-(6/(0-6)))	0606-/-
(0/((2/3)+8))	023/8+/
(4+(9*(5+5)))	4955+*+
((1-8)-(2+7))	18-27+-
((9/4)-(5*7))	94/57*-
((8*0)*(7/5))	80*75/*
(0-(8-(2-5)))	0825---
(5-(9*(9/7)))	5997/*-
((3+5)-(8-2))	35+82--
((5/4)+(1-2))	54/12-+
(7/(1*(9/4)))	7194/*/
(6+((4/7)/8))	647/8/+
(5*(0-(4/6)))	5046/-*
(7*((9-3)+7))	793-7+*
((0+9)-(1-2))	09+12--
((5/9)-(7/1))	59/71/-
(0+(8-(4*1)))	0841*-+
((9/4)-(2/7))	94/27/-
(8*(3/(4/3)))	8343//*
(8-((2/9)*4))	829/4*-
((0*0)-(0-8))	00*08--
(9-(7*(5-5)))	9755-*-
(5*(9+(9/4)))	5994/+*
(8*(2/(7/2)))	8272//*
(8-(5-(1+4)))	8514+--
(1/(8/(0*7)))	1807*//
(3/(1+(4+3)))	3143++/
(0/(3*(4-1)))	0341-*/
(2-(0+(4+9)))	2049++-
(3*(5-(8/0)))	3580/-*
(3+(3-(9*6)))	3396*-+
(1*(2+(7+8)))	1278++*
(0-(6*(8/0)))	0680/*-
(6/(6*(0-3)))	6603-*/
(5-(8*(4-8)))	5848-*-
(3-(0/(4*7)))	3047*/-
(3+(6+(8-8)))	3688-++
((1/5)-(9-2))	15/92--
(3+(2+(1*1)))	3211*++
(7/(2+(5*1)))	7251*+/
(7+(9*(0-6)))	7906-*+
(3+((6-5)-1))	365-1-+
(7-((6+9)/5))	769+5/-
(1*(6-(7+9)))	1679+-*
((8/3)+(2/7))	83/27/+
(2/(7*(1*7)))	2717**/
(6/(1-(0/4)))	6104/-/
((8*0)*(2+4))	80*24+*
(7-(7-(7-7)))	7777---
(7*((1+6)*1))	716+1**
(2+(3+(4-9)))	2349-++
(7+(5/(6*3)))	7563*/+
(7+((5+3)+7))	753+7++
(6/(6/(0*6)))	6606*//
(8+(8*(0-7)))	8807-*+
(2*(8*(3-7)))	2837-**
(1+(8-(9+2)))	1892+-+
(8+(8+(4+0)))	8840+++
(2-(0+(4/8)))	2048/+-
(0+(3-(5/9)))	0359/-+
(7*(0-(6*7)))	7067*-*
(3*(0-(7-9)))	3079--*
(2+(6/(1-1)))	2611-/+
(8/(4/(9*2)))	8492*//
(1-(9-(8+0)))	1980+--
(7-(6*(0+7)))	7607+*-
(3*(4-(9+6)))	3496+-*
((1/0)*(3/4))	10/34/*
(2+(4/(5+0)))	2450+/+
(8-(2/(0*2)))	8202*/-
(6/(9+(0*7)))	6907*+/
(9-(1-(3+1)))	9131+--
(1-(4*(2+8)))	1428+*-
(7/(1*(5/7)))	7157/*/
(2/(3/(6*3)))	2363*//
(1+(1*(6-6)))	1166-*+
((4-(5-6))-8)	456--8-
(0+(4/(1/8)))	0418//+
(4-(1*(6-5)))	4165-*-
((1*2)/(1-0))	12*10-/
(4/(0/(1/5)))	4015///
(0*(7-(9-8)))	0798--*
(4/(2*(4-2)))	4242-*/
(7/(4/(7/6)))	7476///
(0+(0+(7-9)))	0079-++
(1+(8/(6/0)))	1860//+
(1*(9/(4+4)))	1944+/*
((1*(3/6))+5)	136/*5+
(2+(7+(5*6)))	2756*++
(4/(7/(7/7)))	4777///
(2*(7-(5-1)))	2751--*
(8+(8/(6-5)))	8865-/+
(9-(6/(0-8)))	9608-/-
(1+(0/(8/2)))	1082//+
((7*2)/(0+3))	72*03+/
(3*(6+(5-8)))	3658-+*
(9+(8+(7-8)))	9878-++
(0*(1-(5/7)))	0157/-*
(8/((3-2)+5))	832-5+/
(1/((0-1)/7))	101-7//
(9+(5/(8*0)))	9580*/+
(4+(4*(6*4)))	4464**+
(3*(9-(5*5)))	3955*-*
((4*6)+(2-4))	46*24-+
(3/(9*(6*8)))	3968**/
(5/(7*(4/8)))	5748/*/
(3*(4-(2*5)))	3425*-*
(9-(1+(2*7)))	9127*+-
(1*(8*(1*0)))	1810***
((9+0)*(0/6))	90+06/*
(5+(2+(4-6)))	5246-++
(6/(6+(6-6)))	6666-+/
((4*8)*(1*7))	48*17**
((2+(7+3))-0)	273++0-
(9*(4*(3+1)))	9431+**
(2/(7-(2-3)))	2723--/
((6/6)*(8-8))	66/88-*
(2+(3-(4-9)))	2349--+
(4/(7*(9+1)))	4791+*/
(6*(7*(7-9)))	6779-**
(8/(3+(7/3)))	8373/+/
((1-0)-(1*0))	10-10*-
(0+(9+(1*1)))	0911*++
(3+(4/(4/8)))	3448//+
(0-(4/(1-0)))	0410-/-
(8/(8+(2-1)))	8821-+/
(3+(9+(3-4)))	3934-++
(2*(1-(0+7)))	2107+-*
(0*(8-(1-1)))	0811--*
(5*(7+(6-0)))	5760-+*
(4-(5*(2+1)))	4521+*-
(4/(0/(5/7)))	4057///
(3/(3/(0/8)))	3308///
(7+(3/(5*2)))	7352*/+
(6/(0+(7-4)))	6074-+/
(2/(5/(9+6)))	2596+//
((6-6)+(2/8))	66-28/+
(5*(1*(2+3)))	5123+**
(4*(6+(6+7)))	4667++*
((6+6)-(5*9))	66+59*-
(4/(8/(5-0)))	4850-//
(8-(2-(6+2)))	8262+--
(5+(5-(8*4)))	5584*-+
(7+(7-(7-2)))	7772--+
((9+7)*(2*1))	97+21**
(9+(3-(4+3)))	9343+-+
(3/(4*(6-8)))	3468-*/
(5-(1-(8+1)))	5181+--
((6/(4*5))*6)	645*/6*
(2+(0*(4-6)))	2046-*+
(1*(5*(6-6)))	1566-**
(8-(5+(8-9)))	8589-+-
(3+(3*(6-5)))	3365-*+
(9/(7+(5/1)))	9751/+/
(4*(0-(3+1)))	4031+-*
((1+8)+(2*6))	18+26*+
(6*(7-(9-6)))	6796--*
(7*(0*(8*0)))	7080***
(4-(1/(6-5)))	4165-/-
(5-(6-(5*1)))	5651*--
(1-(0*(6-3)))	1063-*-
(2+(4+(1-5)))	2415-++
(4-(4+(0*5)))	4405*+-
((5/8)-(7+5))	58/75+-
(1/(4-(0*3)))	1403*-/
(1-(1*(9-9)))	1199-*-
(1+(9+(6*5)))	1965*++
(0-((3+6)+7))	036+7+-
(9*(4+(7+4)))	9474++*
(2-((0+2)-0))	202+0--
((2-8)+(4+0))	28-40++
((1/0)+(6/5))	10/65/+
(3+(5*(1-1)))	3511-*+
(0-(3/(6/0)))	0360//-
(0*((8+4)-9))	084+9-*
((8/3)-(7*4))	83/74*-
(6-(1*(3*2)))	6132**-
(3*(8-(1+6)))	3816+-*
(0-(3/(3/3)))	0333//-
(5-((4/0)+4))	540/4+-
(9+(7*(0/9)))	9709/*+
(0-(0+(0/8)))	0008/+-
(7-(1-(0/3)))	7103/--
((4/1)-(3+7))	41/37+-
(4*(9/(9*3)))	4993*/*
(0-(1-(7*6)))	0176*--
(2*(7/(6/0)))	2760//*
(3/(2+(1*2)))	3212*+/
(9+(0*(8*9)))	9089**+
(4*(0+(7/0)))	4070/+*
(3+(9+(2/9)))	3929/++
(7/(6*(5+5)))	7655+*/
(1-(7-(5*5)))	1755*--
(7/(0/(6/0)))	7060///
((5-(5+3))/2)	553+-2/
(5/(1*(1*7)))	5117**/
(5+(7+(2+0)))	5720+++
((9-(7+8))/0)	978+-0/
(0*((3/9)-0))	039/0-*
(9/(2+(9-7)))	9297-+/
(7+(9/(0-2)))	7902-/+
(1*(6/(0*0)))	1600*/*
(7/(6-(5*3)))	7653*-/
(7*(8*(7/8)))	7878/**
(1*(5*(6*1)))	1561***
(0*(4/(2+5)))	0425+/*
(4/(6+(4*1)))	4641*+/
(9-(8+(0*1)))	9801*+-
(2*(7/(0+1)))	2701+/*
(3/(4-(3*5)))	3435*-/
(6*((3*5)/4))	635*4/*
(0/(5/(3+5)))	0535+//
((6/0)-(1+3))	60/13+-
(4*(7/(3+2)))	4732+/*
(9*((2+4)/5))	924+5/*
(7*(8/(6+9)))	7869+/*
(4/(6-(3/6)))	4636/-/
(4+(8+(0+6)))	4806+++
(2/(5+(2*5)))	2525*+/
((9/8)*(5*3))	98/53**
(9-((6-0)*3))	960-3*-
(8+(3-(8+5)))	8385+-+
(2+(9*(6+6)))	2966+*+
(7/(3+(0+9)))	7309++/
(8-(7*(4-4)))	8744-*-
(7/(2*(3*5)))	7235**/
(3+(7+(3+5)))	3735+++
(7-(4-(3-8)))	7438---
(2+(3*(9-6)))	2396-*+
((4*6)*(0+3))	46*03+*
((2-0)-(1+9))	20-19+-
(6-(1*(0/0)))	6100/*-
(7+(1-(0*5)))	7105*-+
(9-((9*7)/8))	997*8/-
(4/(2+(6+6)))	4266++/
(4+(6/(5+0)))	4650+/+
(5-(7/(7/0)))	5770//-
((7/6)+(4+6))	76/46++
(9-(0*(7-3)))	9073-*-
((6-5)+(4+2))	65-42++
(2-(4+(0*6)))	2406*+-
(2-(1+(7*7)))	2177*+-
(6*((2/5)/2))	625/2/*
(2+(2/(3+9)))	2239+/+
(0*(4+(6+0)))	0460++*
(5-(8+(9*3)))	5893*+-
(7-(2+(1/3)))	7213/+-
(1*(5+(8/8)))	1588/+*
(4-(8*(0/0)))	4800/*-
(8/(9*(0*5)))	8905**/
(3-(1-(1+8)))	3118+--
(4+(1/(6/5)))	4165//+
((4*0)*(2-4))	40*24-*
(8+(9/(7/9)))	8979//+
(5/(5*(2+5)))	5525+*/
(8+((0/8)-8))	808/8-+
((0/4)/(7/3))	04/73//
((7-4)-(8+8))	74-88+-
(6/(3/(3*3)))	6333*//
((6*5)/(3*3))	65*33*/
((9*8)+(8-5))	98*85-+
(8+(1-(0*0)))	8100*-+
((8/(9-9))*6)	899-/6*
(6+(3+(4-2)))	6342-++
((9/1)*(1-8))	91/18-*
(3*(4/(3+8)))	3438+/*
(0/(2-(4-7)))	0247--/
(2+(1/(2+3)))	2123+/+
(8*(5*(0+0)))	8500+**
((7*4)/(9*6))	74*96*/
(9-(4/(2/7)))	9427//-
((7/5)*(8-7))	75/87-*
(1-(3*(5*4)))	1354**-
(1-(0+(8*3)))	1083*+-
(4*(3/(2+0)))	4320+/*
(7/((1+8)*0))	718+0*/
(9/((5*3)+3))	953*3+/
(7*(6/(7*2)))	7672*/*
((7/5)*(9+8))	75/98+*
(4*(4*(4-6)))	4446-**
(9+(8-(4/7)))	9847/-+
(2-(1+(9/6)))	2196/+-
(8+(6*(3+0)))	8630+*+
(3/(9+(9/7)))	3997/+/
(6+(3-(3/6)))	6336/-+
(6*(1+(8*3)))	6183*+*
(9+(2/(3/0)))	9230//+
((2+4)-(7*2))	24+72*-
(8+(8/(6-6)))	8866-/+
(9+(9+(3/8)))	9938/++
(5*(8/(5-8)))	5858-/*
(5/((2-9)+1))	529-1+/
(5*(8/(2+7)))	5827+/*
(1+((1*4)/0))	114*0/+
(7/(8+(2-5)))	7825-+/
(7+((4-6)/9))	746-9/+
(1-(6+(2+1)))	1621++-
(2-(0*(8+1)))	2081+*-
(3-(6+(5-6)))	3656-+-
(2-(4/(0+8)))	2408+/-
(3-(6*(4/2)))	3642/*-
((8/4)/(1/4))	84/14//
(4/(3-(3/0)))	4330/-/
(1-(3-(1-0)))	1310---
(5+((5-0)*5))	550-5*+
(9/(6-(3+5)))	9635+-/
((7*7)*(6-5))	77*65-*
(8*(3-(6+7)))	8367+-*
(3*(5*(0+4)))	3504+**
(9/(2/(8/3)))	9283///
(7+(4+(5-4)))	7454-++
(7*(2*(1*0)))	7210***
(7*(0/(6*7)))	7067*/*
((3+1)-(7/8))	31+78/-
(4/(5*(7+4)))	4574+*/
(6+(7-(8+5)))	6785+-+
(6*(8*(8-1)))	6881-**
((8-9)-(6-8))	89-68--
((3-5)+(7*2))	35-72*+
(8+(2+(6*4)))	8264*++
(2-((1-8)-0))	218-0--
(2-(4+(0-0)))	2400-+-
(6/(1-(2*5)))	6125*-/
((8*(6-3))*7)	863-*7*
((8/6)-(8+3))	86/83+-
(1*(1+(4*7)))	1147*+*
(7-((0-0)/1))	700-1/-
((4-5)+(8*4))	45-84*+
(9+(3/(3/0)))	9330//+
(2-(4+(1+9)))	2419++-
(2/(1+(9/0)))	2190/+/
((8*(3/5))*9)	835/*9*
(9-(8-(7+4)))	9874+--
(7-(1+(0-4)))	7104-+-
((3*9)-(2-4))	39*24--
(5*(3+(5*5)))	5355*+*
((9/4)-(9-9))	94/99--
((3+5)/(8+2))	35+82+/
(5-(2-(0/4)))	5204/--
(6*(7+(3-8)))	6738-+*
(3/(5+(4+9)))	3549++/
(5/(7*(8+5)))	5785+*/
(2*(7-(4+2)))	2742+-*
(6+(9+(2/8)))	6928/++
((6*2)+(2*6))	62*26*+
(2/(5+(8/9)))	2589/+/
(6*(1/(8+9)))	6189+/*
(8-(3*(5+8)))	8358+*-
(8*(6*(4/3)))	8643/**
((1*2)+(9/3))	12*93/+
(2*(0*(2+1)))	2021+**
(1/(9-(3*4)))	1934*-/
(8+(4+(0*7)))	8407*++
(3+(9*(9/2)))	3992/*+
(0-(2*(3-7)))	0237-*-
(1-(5/(1+8)))	1518+/-
(5+(3-(4*9)))	5349*-+
(4+(9/(4+5)))	4945+/+
(7+((3*7)+2))	737*2++
((6*7)*(8*5))	67*85**
(5*(8*(4/8)))	5848/**
(9/(1*(7*9)))	9179**/
(4-(2+(1+8)))	4218++-
(2/(7-(4+9)))	2749+-/
((6-4)+(7+3))	64-73++
((5/1)/(6+7))	51/67+/
(9-(0+(0/9)))	9009/+-
(0+((3+8)+9))	038+9++
(9-((8+5)+6))	985+6+-
(6/(6/(9*2)))	6692*//
(2+(1+(0-6)))	2106-++
(2/((7*7)-8))	277*8-/
(3+(3/(4-1)))	3341-/+
(6*(1-(8+4)))	6184+-*
((4-(8-7))/1)	487--1/
(7+(0-(2/2)))	7022/-+
(2/(2-(9-2)))	2292--/
(3*(7-(4*7)))	3747*-*
(4/((9+0)+3))	490+3+/
(7-(6+(6+9)))	7669++-
(6-(8-(9*6)))	6896*--
(3-(3*(9/6)))	3396/*-
(4+(3*(4+8)))	4348+*+
(7*((9-5)*1))	795-1**
(7-(8/(8*6)))	7886*/-
((2/8)*(4-0))	28/40-*
(7+((5*4)/3))	754*3/+
(9/(7/(4+0)))	9740+//
(2+(0-(6+3)))	2063+-+
((2+2)-(1/6))	22+16/-
(2+(9+(4-9)))	2949-++
(7-(8/(8+8)))	7888+/-
(9-(0+(6+6)))	9066++-
(4-(3-(3*0)))	4330*--
(8+(1-(6/4)))	8164/-+
(9*((6-2)+4))	962-4+*
