((3-0)/8)	30-8/
(8*(0*9))	809**
(3-(7/0))	370/-
(6+(6*4))	664*+
((0/2)+4)	02/4+
(0/(7*1))	071*/
(6-(8*6))	686*-
(8*(3-3))	833-*
(1-(0/1))	101/-
(4/(8/4))	484//
(0/(0/2))	002//
(5-(1*8))	518*-
(2/(9-6))	296-/
(6+(5-6))	656-+
(8-(4+2))	842+-
((8*3)/2)	83*2/
((8*6)/2)	86*2/
(0*(1-6))	016-*
(8-(8/4))	884/-
((4-3)+3)	43-3+
(0/(7/2))	072//
(2-(5-1))	251--
((0-0)*2)	00-2*
((7+1)-8)	71+8-
((3/8)/0)	38/0/
(7*(4+6))	746+*
(2-(4*9))	249*-
((5-1)-1)	51-1-
(5/(9+9))	599+/
(0+(7*3))	073*+
(6-(4-2))	642--
(6/(6-1))	661-/
((7*2)+9)	72*9+
((0-6)-2)	06-2-
(9+(5+4))	954++
((6/7)*7)	67/7*
(4*(0-7))	407-*
(3-(8+4))	384+-
(1-(2-6))	126--
(4/(4*7))	447*/
((5+6)-0)	56+0-
(1*(2+9))	129+*
(9*(8/4))	984/*
((3-0)*4)	30-4*
(5+(5+0))	550++
(5+(3/4))	534/+
(1-(0-5))	105--
(6-(2/4))	624/-
(1/(9/2))	192//
(8/(9*3))	893*/
((9-3)-2)	93-2-
(3/(4/8))	348//
(9+(0*3))	903*+
(0-(4*1))	041*-
((9-5)/6)	95-6/
(2*(4+0))	240+*
(1/(2*1))	121*/
(5/(5/3))	553//
(2*(1-2))	212-*
(8+(9+4))	894++
((2/0)-8)	20/8-
(7/(1+2))	712+/
(3-(4-6))	346--
(0+(4/6))	046/+
(7+(0*8))	708*+
(3*(4-8))	348-*
(6-(1-3))	613--
((4*4)+1)	44*1+
((0-5)+7)	05-7+
((3-5)/8)	35-8/
((3/5)*9)	35/9*
(2+(9/4))	294/+
(4*(0/7))	407/*
(5+(6*9))	569*+
(0+(7*0))	070*+
(2/(3*2))	232*/
(5-(0+8))	508+-
((0+2)+1)	02+1+
(7+(1-7))	717-+
(7/(4-1))	741-/
(8+(2-4))	824-+
(7-(6+6))	766+-
(8-(5+1))	851+-
((7-7)-7)	77-7-
(6-(4*7))	647*-
(8/(3-8))	838-/
(6-(3-0))	630--
(7*(5/0))	750/*
((0-1)*3)	01-3*
((4/4)/4)	44/4/
(1+(3*4))	134*+
((4+2)+4)	42+4+
((1*7)*5)	17*5*
((2/9)*1)	29/1*
(2+(7*4))	274*+
(7*(3/1))	731/*
(6+(0-4))	604-+
(3-(1/2))	312/-
((5*8)+0)	58*0+
((8+8)/4)	88+4/
(4-(5/0))	450/-
(5*(1-6))	516-*
((4-8)-9)	48-9-
(7/(4/3))	743//
(5*(1*5))	515**
(7+(2-4))	724-+
(2+(7-4))	274-+
(0*(5+9))	059+*
(6+(4*7))	647*+
(7+(9+6))	796++
(6*(1+6))	616+*
(7*(2+2))	722+*
(4+(4+3))	443++
((8-1)/6)	81-6/
(6*(7+4))	674+*
(1*(8/9))	189/*
(1+(2+7))	127++
((1*5)+5)	15*5+
((1*9)/5)	19*5/
((8*9)*6)	89*6*
((1+4)/5)	14+5/
(5/(6+6))	566+/
((7+9)-3)	79+3-
((9/3)+1)	93/1+
((5-3)-3)	53-3-
(0+(0*0))	000*+
((0+7)*9)	07+9*
(4+(1+9))	419++
((2/2)+1)	22/1+
(7*(6*8))	768**
(0-(0*5))	005*-
(9/(8/7))	987//
(5-(1-7))	517--
((9*8)-8)	98*8-
((2+2)*4)	22+4*
((2/5)+5)	25/5+
((2/0)*2)	20/2*
(0/(7*0))	070*/
((6+4)-6)	64+6-
(2/(4/6))	246//
(5/(3+6))	536+/
((0/4)+9)	04/9+
((0-5)+0)	05-0+
(8*(1*5))	815**
((1*4)/6)	14*6/
(8+(5/2))	852/+
((6*4)*2)	64*2*
(3+(5/2))	352/+
(7+(5+2))	752++
(2-(3*5))	235*-
((9/6)/5)	96/5/
(1-(3/7))	137/-
((2-3)+5)	23-5+
((2/6)/1)	26/1/
(6-(0*9))	609*-
((7+3)-6)	73+6-
(4*(6*8))	468**
((2-2)+9)	22-9+
(9+(6*5))	965*+
(4/(4+7))	447+/
((6*5)*2)	65*2*
(9-(2/4))	924/-
(3/(0*8))	308*/
(8+(0-1))	801-+
(5-(5/1))	551/-
(4-(3+3))	433+-
((7+4)+1)	74+1+
(4+(5-6))	456-+
((8/2)/1)	82/1/
(1/(3/8))	138//
((0*9)-9)	09*9-
((9+5)*2)	95+2*
(5/(6-0))	560-/
((8/1)/3)	81/3/
((5*3)-9)	53*9-
(2+(6*9))	269*+
((9*2)/2)	92*2/
((7*4)*1)	74*1*
(9*(7/9))	979/*
(6*(6/8))	668/*
((2*0)-9)	20*9-
(6*(1*4))	614**
((1+3)+8)	13+8+
(2+(4+3))	243++
((5-9)*8)	59-8*
((6*4)+3)	64*3+
(7*(3/9))	739/*
((1+8)+5)	18+5+
(4-(7+9))	479+-
(7-(9*6))	796*-
((4-7)*0)	47-0*
((2*9)*1)	29*1*
(0+(4+2))	042++
(9/(2+3))	923+/
(3/(8*3))	383*/
(2-(1*3))	213*-
((4+5)*2)	45+2*
((2/3)+1)	23/1+
(9/(2+5))	925+/
(4/(4/3))	443//
(8-(0/6))	806/-
((9+3)/9)	93+9/
((9/6)/4)	96/4/
(1-(0/0))	100/-
((3/2)+5)	32/5+
(3/(1+0))	310+/
(3-(2/1))	321/-
(9+(0+4))	904++
((1/5)*7)	15/7*
(7-(2-3))	723--
((9-6)/1)	96-1/
(1+(8+5))	185++
((8+8)/4)	88+4/
(1/(2*7))	127*/
(2+(2/6))	226/+
((2/2)+3)	22/3+
((6*7)-4)	67*4-
(4*(3-7))	437-*
(8-(7-4))	874--
(3+(1*1))	311*+
(0/(8-5))	085-/
(8*(2/7))	827/*
((1+7)*9)	17+9*
(7/(2-0))	720-/
((5*8)+1)	58*1+
((7+0)+9)	70+9+
(9-(0+3))	903+-
((7/7)/2)	77/2/
(2*(0*7))	207**
((5+3)-2)	53+2-
(4*(9*3))	493**
(3*(9/6))	396/*
((4+6)+5)	46+5+
(7-(1+5))	715+-
(5-(4/3))	543/-
(0+(1*0))	010*+
(0-(1*6))	016*-
(3/(1/9))	319//
((7*4)-8)	74*8-
((4*0)+7)	40*7+
(5-(2+4))	524+-
(3+(4*7))	347*+
(9+(5/7))	957/+
((0/1)/9)	01/9/
(1/(6+1))	161+/
((0*5)+8)	05*8+
(3*(4*9))	349**
((2+8)-8)	28+8-
(3*(4+1))	341+*
(7*(5-4))	754-*
(4/(7*3))	473*/
(0+(8+2))	082++
(9+(6/8))	968/+
(6-(1+0))	610+-
(1*(1*7))	117**
((4+0)/3)	40+3/
(2/(9/3))	293//
(4/(2+4))	424+/
(6+(1*2))	612*+
(8*(4/3))	843/*
(2/(8/1))	281//
((0*6)-7)	06*7-
((5+4)/1)	54+1/
((6+1)*6)	61+6*
(0*(2-4))	024-*
((5/4)-8)	54/8-
((6+6)+9)	66+9+
(9+(6*1))	961*+
(1/(0/1))	101//
(0*(1*1))	011**
(5*(2/1))	521/*
(9/(1-9))	919-/
((3*3)*9)	33*9*
(0+(6/0))	060/+
((5*0)*9)	50*9*
(9/(7*0))	970*/
(0-(8-4))	084--
(2-(8+0))	280+-
((3+0)+7)	30+7+
(2+(1-6))	216-+
(1-(0-8))	108--
(1/(6*7))	167*/
(3+(6+4))	364++
((9*4)/6)	94*6/
(9-(9/9))	999/-
((2-9)*0)	29-0*
((4/4)+8)	44/8+
(3-(2/2))	322/-
((7-0)/6)	70-6/
((1*1)*5)	11*5*
(8-(7*9))	879*-
((1-6)+3)	16-3+
((9-7)+1)	97-1+
(9/(7-6))	976-/
(1*(0-1))	101-*
(8*(2*5))	825**
((9-8)-9)	98-9-
(9/(4-5))	945-/
((7/6)+8)	76/8+
(5-(8-5))	585--
(8/(8+4))	884+/
((7-9)-3)	79-3-
(8+(5/1))	851/+
(7+(1-2))	712-+
(1*(7-8))	178-*
(0-(2*8))	028*-
((3*3)+1)	33*1+
(6*(0-1))	601-*
(9/(3/2))	932//
(2+(6/7))	267/+
((7*6)/2)	76*2/
(9/(6-8))	968-/
((5+6)*4)	56+4*
(6+(1-9))	619-+
(9-(5+5))	955+-
(8*(6+4))	864+*
(1/(3*9))	139*/
((0-9)*7)	09-7*
(7*(1+7))	717+*
(9*(3-3))	933-*
((8-5)+4)	85-4+
((5/1)+5)	51/5+
((2/8)+3)	28/3+
(2+(5/3))	253/+
((5/1)/2)	51/2/
(6/(0*3))	603*/
(3*(9-5))	395-*
(2*(4/2))	242/*
((5+6)/9)	56+9/
((7+7)+2)	77+2+
((7/0)-2)	70/2-
(8+(7/8))	878/+
(0+(8/7))	087/+
((7/7)*9)	77/9*
(5*(3-7))	537-*
(7*(0-0))	700-*
(8-(5-0))	850--
(1-(1*5))	115*-
((1*6)*0)	16*0*
(4+(2*1))	421*+
((3-7)*3)	37-3*
(8+(9*0))	890*+
(3-(2+6))	326+-
((7+9)-0)	79+0-
(8+(4+4))	844++
(2/(7*3))	273*/
((3-1)/1)	31-1/
(7*(5-1))	751-*
(2+(1-7))	217-+
(1+(1*0))	110*+
((3*8)/5)	38*5/
((9*4)-3)	94*3-
(6*(2+6))	626+*
(9*(4-7))	947-*
(9+(8-8))	988-+
((1*9)-2)	19*2-
(8+(5+2))	852++
((3/4)-7)	34/7-
(5/(3/6))	536//
(4*(0/7))	407/*
(7*(4*6))	746**
(4+(7*4))	474*+
(3-(4-2))	342--
(4+(5*0))	450*+
((2/1)+6)	21/6+
(8+(8-0))	880-+
(0/(0-3))	003-/
(4/(9/7))	497//
(7+(8*5))	785*+
(8+(8*8))	888*+
(6*(5/0))	650/*
(1-(5/7))	157/-
(7-(1*5))	715*-
(8*(2-5))	825-*
(6-(3-6))	636--
(0-(5-5))	055--
((3*4)-9)	34*9-
(9+(8-7))	987-+
(8/(3/9))	839//
(6/(9-2))	692-/
((6/6)*9)	66/9*
((0+6)/6)	06+6/
((4-8)+8)	48-8+
((5*6)*7)	56*7*
(2/(6/6))	266//
(9+(6*4))	964*+
(8*(8+9))	889+*
((1/9)*6)	19/6*
(3-(7/2))	372/-
(3+(8-5))	385-+
((4+8)/1)	48+1/
(1*(1-4))	114-*
(6/(6/3))	663//
(3-(7-6))	376--
(7*(9*5))	795**
(4*(6*6))	466**
(7-(3*3))	733*-
((1+4)*9)	14+9*
(9+(0*1))	901*+
((5+1)*5)	51+5*
((6*3)/2)	63*2/
(8*(9+2))	892+*
(9*(5-4))	954-*
((8*7)+0)	87*0+
(0-(2/0))	020/-
((2-3)-4)	23-4-
(0-(6+2))	062+-
(5/(8+2))	582+/
(5+(5*3))	553*+
(0/(1/7))	017//
(9+(3-9))	939-+
(0-(0+2))	002+-
((1-2)+8)	12-8+
(9-(6-7))	967--
((9*8)/6)	98*6/
((1-5)/7)	15-7/
(4-(3*9))	439*-
((2/8)*6)	28/6*
(4+(8*0))	480*+
(5/(1/3))	513//
(2/(2-2))	222-/
(1-(6-3))	163--
(9-(9-0))	990--
((9/6)-3)	96/3-
((0/8)*8)	08/8*
((4+5)-0)	45+0-
((2+8)*1)	28+1*
(1-(5/0))	150/-
(3/(9-1))	391-/
(8*(1-9))	819-*
(8-(1/7))	817/-
(2+(8-9))	289-+
((9/3)*1)	93/1*
(9+(2+8))	928++
(4+(0*5))	405*+
((9*9)/9)	99*9/
(1-(2-8))	128--
(4/(2+8))	428+/
(1*(3/4))	134/*
(7*(7/2))	772/*
(0+(6-3))	063-+
((0/4)+9)	04/9+
(3-(9*6))	396*-
((5*1)-0)	51*0-
(1+(3+5))	135++
(1/(3/8))	138//
(7-(5*9))	759*-
(8*(4+7))	847+*
(2+(3/7))	237/+
((9*9)/6)	99*6/
((5*4)+9)	54*9+
((1/6)/4)	16/4/
(1/(7+9))	179+/
(3/(1*4))	314*/
((5+9)-4)	59+4-
((8*1)/7)	81*7/
((6-7)-9)	67-9-
(5*(3-1))	531-*
(1*(9+5))	195+*
((3-9)+8)	39-8+
(2-(4/2))	242/-
((3-5)*3)	35-3*
(6-(4-2))	642--
((4/0)-6)	40/6-
((7*9)*2)	79*2*
((2/6)+6)	26/6+
(9-(4/5))	945/-
(8*(4/1))	841/*
(8-(5-7))	857--
(3*(2-1))	321-*
(8-(8*3))	883*-
((3-6)+9)	36-9+
((4-0)-3)	40-3-
(6+(3-9))	639-+
(8*(7-3))	873-*
(5*(5*8))	558**
(6+(3*0))	630*+
((4-8)-8)	48-8-
((8*8)*7)	88*7*
((4/4)-1)	44/1-
((7*7)*6)	77*6*
(9+(1+4))	914++
((0+8)-2)	08+2-
((5+7)/8)	57+8/
(3*(4/4))	344/*
(8*(6-2))	862-*
(0-(4+0))	040+-
((0+1)/7)	01+7/
(5-(1*2))	512*-
(8+(5*0))	850*+
(6-(2+5))	625+-
(3+(9/1))	391/+
(4/(0+8))	408+/
(0/(9*4))	094*/
((5*9)*0)	59*0*
(0-(1/2))	012/-
((3-3)*6)	33-6*
((8*9)*4)	89*4*
((3-1)+0)	31-0+
(3*(7/0))	370/*
(5-(9+7))	597+-
((7+6)*3)	76+3*
(3+(3-3))	333-+
((7+2)*9)	72+9*
(3+(0-7))	307-+
((9+2)*9)	92+9*
(0/(8-5))	085-/
((9-5)-6)	95-6-
(0-(4+2))	042+-
((5-3)-5)	53-5-
((5-6)/7)	56-7/
(8*(1/2))	812/*
(0/(9+5))	095+/
(6+(2/4))	624/+
(9*(5-3))	953-*
((4+2)/6)	42+6/
((5-4)*5)	54-5*
(0-(7-4))	074--
(0/(1/3))	013//
(2*(1/8))	218/*
((0/2)*3)	02/3*
(3+(4+5))	345++
(9/(2-0))	920-/
((9*6)+2)	96*2+
(1/(4/6))	146//
(9*(4/5))	945/*
((7/5)/5)	75/5/
((2/4)-6)	24/6-
(1*(1/7))	117/*
(5+(8/0))	580/+
(0/(9/4))	094//
(8-(1-2))	812--
((0*3)/9)	03*9/
(2/(4/1))	241//
((0-8)+2)	08-2+
((8-7)-9)	87-9-
(1-(0*3))	103*-
(4-(0+8))	408+-
((7*9)*8)	79*8*
((0-4)+9)	04-9+
((7*8)/0)	78*0/
((5-9)*7)	59-7*
(7/(8*7))	787*/
(1+(1-7))	117-+
(5-(9+1))	591+-
((7*6)*5)	76*5*
((7/3)*5)	73/5*
(6-(2*0))	620*-
((0*5)-1)	05*1-
(5*(2/3))	523/*
((3+7)*4)	37+4*
(9-(1+3))	913+-
(4/(2*6))	426*/
((9-9)/4)	99-4/
(2*(3-0))	230-*
(1/(6+0))	160+/
(4-(8/6))	486/-
(2-(2*7))	227*-
((9-7)/5)	97-5/
(7+(1-2))	712-+
((3+6)-7)	36+7-
(7/(3*1))	731*/
(7*(7-7))	777-*
((6*1)+4)	61*4+
((0+4)-1)	04+1-
(2-(8*2))	282*-
((0-6)*0)	06-0*
(6-(7*2))	672*-
(9*(4/6))	946/*
(3+(4/5))	345/+
((7-0)+4)	70-4+
(8-(3-6))	836--
(6+(2/1))	621/+
((8-3)/5)	83-5/
(4/(8+6))	486+/
(7+(8*1))	781*+
((9*0)/5)	90*5/
(6+(4/8))	648/+
((2-2)*6)	22-6*
((9-2)+0)	92-0+
(5/(1+5))	515+/
(7/(7/2))	772//
((2/6)/7)	26/7/
(8-(3-0))	830--
(8/(8-0))	880-/
(7-(0/1))	701/-
((2+0)+3)	20+3+
((1*2)-7)	12*7-
((1*9)*8)	19*8*
((2-4)/4)	24-4/
(5*(0/6))	506/*
(4/(9-3))	493-/
(7/(0*2))	702*/
((6+2)*6)	62+6*
(9+(3-4))	934-+
(9/(9+7))	997+/
(8+(4/8))	848/+
(6-(0-5))	605--
(1+(9+7))	197++
(0-(6*0))	060*-
((1/8)+1)	18/1+
((9+8)-7)	98+7-
(1-(4+9))	149+-
(3*(6+8))	368+*
((8+9)*7)	89+7*
(9*(2+6))	926+*
(2*(3-1))	231-*
((3+0)-8)	30+8-
((2/9)+2)	29/2+
((4+3)*1)	43+1*
(5-(5*0))	550*-
(7/(1*7))	717*/
(6*(4-1))	641-*
(9+(2-8))	928-+
(1+(7+2))	172++
(9+(6/4))	964/+
(0/(8*8))	088*/
((4*8)*0)	48*0*
((7/3)*6)	73/6*
(4+(8-8))	488-+
(8/(8*3))	883*/
(0*(8/0))	080/*
(8+(8+6))	886++
((6*7)+9)	67*9+
(7-(4-0))	740--
(9*(9-2))	992-*
(8+(6+8))	868++
(9*(6-4))	964-*
(1+(6/6))	166/+
(2*(2-9))	229-*
(9+(1*3))	913*+
(7+(8/5))	785/+
((6+5)*6)	65+6*
((2*8)*9)	28*9*
((9+9)+6)	99+6+
(2+(2-3))	223-+
(1/(4*9))	149*/
(9+(8/4))	984/+
((1+8)+3)	18+3+
(7/(2+3))	723+/
((0/7)*8)	07/8*
((3/0)/2)	30/2/
((5-9)/2)	59-2/
(4+(7+9))	479++
((6*4)/3)	64*3/
((4+3)-9)	43+9-
(5+(1/0))	510/+
(0+(0/6))	006/+
(3+(3*3))	333*+
(5*(6*9))	569**
(4/(4+6))	446+/
(3/(5/0))	350//
((8+6)*9)	86+9*
((4/1)*1)	41/1*
((0-3)*0)	03-0*
((6-4)*5)	64-5*
(3+(3+7))	337++
(0-(0-4))	004--
((8/3)+0)	83/0+
((9/6)/5)	96/5/
((4/4)/9)	44/9/
(1-(2+4))	124+-
(5+(1-0))	510-+
(4*(4+0))	440+*
(5*(8/8))	588/*
(5/(0*2))	502*/
(2-(9+0))	290+-
(0-(9/7))	097/-
(5-(9*9))	599*-
((3*9)+2)	39*2+
((1-2)+2)	12-2+
(6*(7+7))	677+*
((8/5)*3)	85/3*
(4*(9-0))	490-*
(7-(0+0))	700+-
(6/(6*9))	669*/
(2/(6*8))	268*/
(9/(9-2))	992-/
(9-(8*3))	983*-
((6+2)*6)	62+6*
(0*(6/0))	060/*
(4/(1-2))	412-/
((9*0)/3)	90*3/
((6-1)-7)	61-7-
((3+4)/5)	34+5/
(8*(3/9))	839/*
(4-(2/0))	420/-
(5*(5*8))	558**
((4/9)+2)	49/2+
((0-7)*3)	07-3*
((7+8)-0)	78+0-
(3*(4/7))	347/*
(4*(0+8))	408+*
(6/(6-7))	667-/
(0*(1+7))	017+*
(5*(4-9))	549-*
((0/7)-8)	07/8-
((3-8)+7)	38-7+
((8*8)+6)	88*6+
((0-7)*1)	07-1*
(7*(2*3))	723**
(3+(9-0))	390-+
((8*8)/3)	88*3/
(6+(9+8))	698++
((8*5)/0)	85*0/
(6*(0*9))	609**
(0*(2+0))	020+*
(3/(6-0))	360-/
((0*3)/4)	03*4/
((6*5)+1)	65*1+
((4*6)-7)	46*7-
((6/8)/3)	68/3/
((9-8)-4)	98-4-
((8*7)+2)	87*2+
((2-0)*6)	20-6*
(2/(8-0))	280-/
(1/(0*8))	108*/
(9/(2/4))	924//
(6*(0-6))	606-*
(9-(8*1))	981*-
(2*(9*4))	294**
(9+(7*3))	973*+
((5*5)/9)	55*9/
(2*(0*6))	206**
((5*4)*7)	54*7*
(0/(9/3))	093//
(6*(7/5))	675/*
(9*(7/5))	975/*
((7-4)-4)	74-4-
((5*5)*1)	55*1*
((0-1)*2)	01-2*
((8+1)+5)	81+5+
(3*(6+3))	363+*
(5+(5+2))	552++
((6/3)+0)	63/0+
(9*(3-0))	930-*
(3/(2+7))	327+/
(0*(7+6))	076+*
(4/(3+8))	438+/
(6-(0-7))	607--
(1/(7-2))	172-/
((8*2)+5)	82*5+
(0+(4+4))	044++
(3+(9*2))	392*+
((5/6)*6)	56/6*
((2-1)/1)	21-1/
((9+7)-0)	97+0-
(3-(3/9))	339/-
(1-(0-3))	103--
(6/(6-7))	667-/
(7+(5-4))	754-+
((3-8)+7)	38-7+
(1/(0+2))	102+/
(9*(7-6))	976-*
((0*9)-8)	09*8-
(0/(8/5))	085//
(1/(6-3))	163-/
((0*4)-6)	04*6-
(1*(7+0))	170+*
(3+(4+6))	346++
((8+5)+7)	85+7+
(1*(3/5))	135/*
(7+(6*4))	764*+
(3+(5-8))	358-+
(5/(9*1))	591*/
(6*(4/6))	646/*
((7*7)+6)	77*6+
(6*(5-7))	657-*
(9+(8/1))	981/+
((6+8)/3)	68+3/
(7*(5+7))	757+*
(4*(4+4))	444+*
(6-(9+6))	696+-
((0+9)+6)	09+6+
(8*(5/2))	852/*
((7*5)-5)	75*5-
(7-(6*5))	765*-
(4-(2+4))	424+-
((7*9)-3)	79*3-
((0/1)-9)	01/9-
(6-(1*8))	618*-
(9*(7-8))	978-*
(5+(6/5))	565/+
((8*6)+7)	86*7+
(9/(4-3))	943-/
((9-1)+8)	91-8+
((1+2)*4)	12+4*
(5/(8-9))	589-/
(0/(0*6))	006*/
((0-3)/5)	03-5/
(5-(0/7))	507/-
(2+(1/8))	218/+
((0-0)-0)	00-0-
(0/(8+6))	086+/
(3/(7-7))	377-/
(5-(3/1))	531/-
(2-(4-0))	240--
(5*(5/1))	551/*
((2*0)-2)	20*2-
(5+(0+0))	500++
(9/(3/3))	933//
(0+(6-2))	062-+
(6+(5-8))	658-+
(3-(3-9))	339--
(1*(7*4))	174**
(1+(2+4))	124++
((6*6)-9)	66*9-
(3/(9*1))	391*/
(6-(0+4))	604+-
(5-(7*1))	571*-
((2+3)/3)	23+3/
(3+(7-3))	373-+
(0*(2+8))	028+*
(6+(8/1))	681/+
(3*(9/8))	398/*
(5+(9-4))	594-+
(0*(1/5))	015/*
(4-(3/1))	431/-
(4/(7+5))	475+/
(9-(8+7))	987+-
(4*(0+5))	405+*
(8+(3/4))	834/+
(7+(4/0))	740/+
((4*8)-0)	48*0-
(9*(5/0))	950/*
((7/5)/6)	75/6/
(5+(4/3))	543/+
((8/6)/9)	86/9/
(5/(5/2))	552//
(3/(5+5))	355+/
(5*(1-4))	514-*
((6/5)*0)	65/0*
(3+(8-8))	388-+
((8-8)*1)	88-1*
(2+(5-2))	252-+
(7-(0-1))	701--
(8-(3+3))	833+-
((3/7)/4)	37/4/
((4/7)+8)	47/8+
(3*(1/1))	311/*
(8-(2/8))	828/-
(0-(8-6))	086--
((6-3)/7)	63-7/
((8-3)*5)	83-5*
(0*(3/8))	038/*
((2*6)/4)	26*4/
(2+(2+0))	220++
((5+6)-6)	56+6-
(6+(9-9))	699-+
(6/(2/1))	621//
((6+7)+2)	67+2+
(6+(1-3))	613-+
(3+(4/2))	342/+
((3/6)-5)	36/5-
((0-4)/8)	04-8/
(9/(2+1))	921+/
((9*5)/3)	95*3/
((1+1)+1)	11+1+
(7-(1*7))	717*-
(3+(8+2))	382++
(9+(8/5))	985/+
(3-(5/4))	354/-
(2*(4-8))	248-*
(5/(7-5))	575-/
((1/5)-3)	15/3-
((9/7)+1)	97/1+
(2+(5+2))	252++
((8*9)+6)	89*6+
((1*1)-9)	11*9-
(2+(6+6))	266++
((6/7)/8)	67/8/
(5-(8/0))	580/-
((5/7)/3)	57/3/
((0/6)+6)	06/6+
(5+(7+7))	577++
(2/(7/0))	270//
(4-(9/7))	497/-
((2-2)+5)	22-5+
((2/7)/6)	27/6/
(2-(8-8))	288--
((2+2)*0)	22+0*
(9-(2+8))	928+-
((7*9)-3)	79*3-
(6*(5-2))	652-*
(7/(5*0))	750*/
(3*(0+6))	306+*
(4-(0*6))	406*-
((9/2)*2)	92/2*
(5*(8/8))	588/*
((7*7)-0)	77*0-
(8-(0+9))	809+-
(9*(3/1))	931/*
((5-1)/3)	51-3/
((9-3)+8)	93-8+
(0-(6*8))	068*-
(4/(7/8))	478//
(7-(8/6))	786/-
(6*(1-0))	610-*
((5+7)-8)	57+8-
(6/(5-7))	657-/
(1*(8+5))	185+*
((2-3)+5)	23-5+
((4/0)*8)	40/8*
((6*2)/4)	62*4/
((6*4)-7)	64*7-
((3/1)*8)	31/8*
((3*7)*2)	37*2*
(9/(4-4))	944-/
(2+(9-0))	290-+
((1/0)-6)	10/6-
(7+(7*3))	773*+
(7/(8+9))	789+/
(6-(3+5))	635+-
((8/8)-6)	88/6-
(6/(6*2))	662*/
(6*(2-1))	621-*
(1-(0-4))	104--
((8/6)+1)	86/1+
((1-1)*5)	11-5*
(5/(4-3))	543-/
(2*(5*4))	254**
(1/(7-3))	173-/
((9-7)+8)	97-8+
(1+(1-2))	112-+
(9+(2-1))	921-+
(0/(4*9))	049*/
((7-4)-0)	74-0-
(2/(6-6))	266-/
(2-(9*7))	297*-
((0*8)/3)	08*3/
((6+9)+1)	69+1+
(6-(6*6))	666*-
(2-(8/2))	282/-
(4+(4*8))	448*+
(1+(7*2))	172*+
(5/(2*0))	520*/
(9*(9*8))	998**
((5+0)*5)	50+5*
((6-5)+0)	65-0+
(3*(2/8))	328/*
(9/(3-6))	936-/
((3+0)-6)	30+6-
((1-7)*3)	17-3*
(4*(5+6))	456+*
(2/(1+9))	219+/
(4+(5+4))	454++
(8+(7+8))	878++
((4+9)/2)	49+2/
(9-(9+4))	994+-
(6-(4+2))	642+-
(4/(0+3))	403+/
(4/(8/4))	484//
((9/8)*1)	98/1*
(1*(7*1))	171**
(9/(6/5))	965//
((3/7)*2)	37/2*
((7/0)-5)	70/5-
(0+(7*6))	076*+
((8-0)*5)	80-5*
(9+(4*6))	946*+
(4/(2+4))	424+/
((0*2)*1)	02*1*
(5-(4-5))	545--
(6*(3*4))	634**
(1*(1/4))	114/*
((8+7)-1)	87+1-
(8/(1/3))	813//
(4+(5-3))	453-+
(6-(7/7))	677/-
(0/(5-6))	056-/
(0+(5/6))	056/+
(2*(3-4))	234-*
(3-(8-6))	386--
(5-(5*5))	555*-
(4*(6/3))	463/*
((3*6)/9)	36*9/
(2*(1+6))	216+*
(5/(7+5))	575+/
((6+6)*8)	66+8*
(1/(6/7))	167//
((3/1)-5)	31/5-
(1-(1-2))	112--
((4-2)*8)	42-8*
(5-(4*4))	544*-
(8+(0/5))	805/+
((5*3)-1)	53*1-
(5*(2-7))	527-*
((5-2)-4)	52-4-
((1/9)+7)	19/7+
(2-(1-0))	210--
(7/(3+3))	733+/
(6*(9*5))	695**
(1+(4-8))	148-+
(1/(5-6))	156-/
((3-0)*1)	30-1*
(5+(8+2))	582++
(0/(1+2))	012+/
(2+(6-3))	263-+
(5+(0*3))	503*+
((7-2)*6)	72-6*
(0-(4+8))	048+-
((1/7)*1)	17/1*
(4-(6-8))	468--
(4-(8-4))	484--
((3/0)/6)	30/6/
(7+(9+3))	793++
((2/5)/1)	25/1/
(8+(5/1))	851/+
(3/(3/9))	339//
((0*0)/2)	00*2/
(7-(5-2))	752--
((5+7)-2)	57+2-
(6+(3+1))	631++
(1/(4-3))	143-/
((7/4)/9)	74/9/
(9/(3/7))	937//
(1-(2-5))	125--
((2*9)/5)	29*5/
(2+(6*6))	266*+
(8*(0/9))	809/*
((5/1)/9)	51/9/
((5/7)/1)	57/1/
(1+(0*7))	107*+
(1-(4*6))	146*-
((0-8)-0)	08-0-
(9+(0+6))	906++
(2/(7-5))	275-/
((1-1)-6)	11-6-
(5/(1-8))	518-/
(2+(2*0))	220*+
(4-(3-4))	434--
(0/(0*5))	005*/
(1-(9*8))	198*-
(2*(5*5))	255**
(5+(0/1))	501/+
(1-(3*6))	136*-
(3/(3*1))	331*/
(6+(5+2))	652++
(9/(2+0))	920+/
(0/(8*5))	085*/
(9+(7+3))	973++
(5-(6-5))	565--
((8+0)+9)	80+9+
(5*(7*4))	574**
((1+9)/3)	19+3/
(3*(9/3))	393/*
((0*8)*4)	08*4*
(9-(1*5))	915*-
((0/0)-7)	00/7-
(3-(8/9))	389/-
((6*1)*0)	61*0*
(9/(1/5))	915//
(6-(7*2))	672*-
((6/4)*9)	64/9*
(6+(1*3))	613*+
((4-8)+7)	48-7+
(0-(8*2))	082*-
((0-6)+0)	06-0+
(9+(5*4))	954*+
(7+(3-1))	731-+
