(((2+0)-(9*2))*(6*9))	20+92*-69**
(0/(3+((8-3)/(6*(2+2)))))	0383-622+*/+/
((3/5)*(6/((4-(9*3))+5)))	35/6493*-5+/*
(7-(7/(7+(5*(2+1)))))	777521+*+/-
(((8+3)*9)*(7*(4/1)))	83+9*741/**
(0+(2-((9-1)+(4/4))))	0291-44/+-+
(((7-1)+(9-5))-(4+(3+4)))	71-95-+434++-
((7-4)+((5*8)-(8+7)))	74-58*87+-+
((((0*5)+4)*(3*(9*7)))/8)	05*4+397***8/
((1*7)+((4/4)*(5/9)))	17*44/59/*+
(((1-(1-5))*4)+(4+1))	115--4*41++
((1+((8+(9-7))-7))+(0*0))	1897-+7-+00*+
(((5-2)*(3+(0+6)))*2)	52-306++*2*
((4/(8*(7/2)))/(7/1))	4872/*/71//
((9-(6/2))+(0+(7-(0-4))))	962/-0704--++
(((7/7)-(4-0))*(5-1))	77/40--51-*
(((5*4)-(9/9))*(5-8))	54*99/-58-*
(((0+(6/(7-2)))*(9/5))+0)	0672-/+95/*0+
((9+(2+6))/(4/(2-0)))	926++420-//
(7/((8*(1-(4+7)))-(0-1)))	78147+-*01--/
((4/(5-(6/8)))*(0*(2+7)))	4568/-/027+**
(((8-8)*(5*9))*(5-7))	88-59**57-*
((8/((4-6)+6))*((6/2)*7))	846-6+/62/7**
((2+(8-5))+(9-(9-0)))	285-+990--+
((8/(5*(2*4)))+(7/1))	8524**/71/+
((2+2)/((6-7)-(8/8)))	22+67-88/-/
(((8-4)+(9-4))+(8*2))	84-94-+82*+
((4-(1-(8+7)))*(8/7))	4187+--87/*
((5*3)-((2*(4/9))-4))	53*249/*4--
(7/((2-(7/(4*9)))-8))	72749*/-8-/
(6/(2-(0+(2-(3/3)))))	620233/-+-/
(((7+3)/(9-(9/9)))/(6+9))	73+999/-/69+/
((9+8)*(((4+2)*6)/4))	98+42+6*4/*
((6-(0-6))*(6/(9-9)))	606--699-/*
((7+9)*((2+7)-(8-(4*5))))	79+27+845*--*
((3-(2-3))*(3+(3*1)))	323--331*+*
(0+((6*(0+6))+(6+4)))	0606+*64+++
((4/(5+(0+(8*(0*8)))))-1)	450808**++/1-
(((6+2)-(6/2))*(8+3))	62+62/-83+*
(((2*5)*(7/(5*(8-6))))/0)	25*7586-*/*0/
((3-(2-9))/((7/1)-(0+0)))	329--71/00+-/
((((3+4)+9)*(6/(5-7)))-7)	34+9+657-/*7-
(3-(8/(4*(3-(3*1)))))	384331*-*/-
((5-(7*6))+(4/(9-(8+4))))	576*-4984+-/+
((7-(3-(9/(5*(8-1)))))+8)	739581-*/--8+
(8/((2+5)+(5-(1-(0-9)))))	825+5109---+/
(((1*8)-2)*(1+(3-3)))	18*2-133-+*
(2*(((1-(3+7))*(1-3))*2))	2137+-13-*2**
(1+((2+7)/(9+(4*(3-0)))))	127+9430-*+/+
(((6/6)+(7-(9-6)))-9)	66/796--+9-
((2-(7*(6*2)))-(1*9))	2762**-19*-
((4/3)+(7+(8-(1+6))))	43/7816+-++
(1*((8-6)-(3*(2*6))))	186-326**-*
((4-(3-2))/(8/(4+(6-6))))	432--8466-+//
(3/(1/(8-(4+(1-7)))))	318417-+-//
((0-(1+1))/((9-5)/7))	011+-95-7//
((3*(3+4))/(4-(3+6)))	334+*436+-/
(((0+6)/(4/3))/(8+0))	06+43//80+/
(9*(3/(0-(0+(4-8)))))	930048-+-/*
(3+((0-(0*(7+(6-7))))-2))	300767-+*-2-+
(1+(9/(5*((8*0)-5))))	19580*5-*/+
(((0/7)*(5/0))+(2/3))	07/50/*23/+
((6/3)*(2-(3+(2/0))))	63/2320/+-*
(((8-0)+0)-(0+(2-(5-7))))	80-0+0257--+-
((6+((2/(0-4))-9))/(9*7))	6204-/9-+97*/
(5/((8/2)-((1-(8*1))*6)))	582/181*-6*-/
((2-1)-(3+(2+((7*5)-2))))	21-3275*2-++-
(1+((2/6)/(3-(5-4))))	126/354--/+
(0*((4/(6*(7*5)))-(2/6)))	04675**/26/-*
((1/(7+(9/(6-9))))/(4-1))	17969-/+/41-/
(5*(((2-1)-(6+(6-9)))*3))	521-669-+-3**
(((5+6)*(3-(6*9)))+(2+5))	56+369*-*25++
((0-(2*(7/4)))-(8*(4-4)))	0274/*-844-*-
(((9*8)/1)/(4+(9+8)))	98*1/498++/
(((5+5)/(2/(1+2)))+5)	55+212+//5+
(0/((6-7)+(1-(0-6))))	067-106--+/
(2*((7+9)*(4-(8/(0-5)))))	279+4805-/-**
(9+(7-(5+(8-(8*1)))))	975881*-+-+
((8*(7/(8/(2+0))))-(7*2))	87820+//*72*-
((2-(0*0))*(9-(9/(4*4))))	200*-9944*/-*
(((3*(1+4))+(7*2))-8)	314+*72*+8-
((7*(7/(3-5)))+(6*3))	7735-/*63*+
(((2*0)-(1-7))+(3*(0*3)))	20*17--303**+
((5/4)*((4/(2*(2-5)))*7))	54/4225-*/7**
((2*2)-((2/(4*1))+(7/0)))	22*241*/70/+-
((5*(2+(9*(7/9))))-5)	52979/*+*5-
((6+(3*(2/2)))/(1+7))	6322/*+17+/
((4-(6-(8+2)))*(8*3))	4682+--83**
(((2+5)+3)-(9*(9-4)))	25+3+994-*-
(((2+9)+(5-8))*(8+(7+3)))	29+58-+873++*
(8-(1-(3/(1-(4+(4/4))))))	8131444/+-/--
((((6-4)-(6/6))+(2-3))*7)	64-66/-23-+7*
(6+((9/(4/3))+(3+7)))	6943//37+++
(7/(6/(8*((0/4)+3))))	76804/3+*//
(9+(8/(7-(3/(3/3)))))	987333//-/+
(((9/6)*(6-5))+(5-(5/5)))	96/65-*555/-+
(3/((6/(5/(3*1)))-(1/3)))	36531*//13/-/
(2+(1/(6+(7*(9+(1-1))))))	2167911-+*+/+
((4+(1+(5-1)))+((5-8)*6))	4151-++58-6*+
((8+1)-((0*5)*(8+2)))	81+05*82+*-
((6-0)-(7*(0*(3*7))))	60-7037***-
((5*(1*7))/(1+(8+8)))	517**188++/
(((5+(5-(3+6)))*(8/4))/0)	5536+-+84/*0/
((9*(((7*1)+9)-0))+(1-2))	971*9+0-*12-+
(((1/6)/(2+2))+(6-5))	16/22+/65-+
(((4+(3-8))/(4/0))/(9-5))	438-+40//95-/
((0+2)*((6/(0+4))-(0-0)))	02+604+/00--*
(((8+1)*(9/2))/(1/(1/4)))	81+92/*114///
((5-(6*1))/(9-(7-6)))	561*-976--/
((0-(2-5))-((1-8)*(6*7)))	025--18-67**-
((9/8)/(9/(1+(3/2))))	98/9132/+//
(((2-5)/(8+8))+((7/2)+9))	25-88+/72/9++
(((1*0)/5)-(5*(7*2)))	10*5/572**-
((1*(9*(9-(5+3))))*(7/8))	19953+-**78/*
((9+(3-(8/0)))-(1+4))	9380/-+14+-
((0*(7-3))*(0/(9-1)))	073-*091-/*
((2-(1*(1*9)))/((9-1)-6))	2119**-91-6-/
((4*(8/2))+(8-(3-(9-7))))	482/*8397---+
((7/(4-(3/5)))+(2/9))	7435/-/29/+
((9+(5/2))+(8*((5+8)-2)))	952/+858+2-*+
(((4/2)+(4-8))*(7*5))	42/48-+75**
((4+(3/7))/(7-(1/3)))	437/+713/-/
((6+(7*7))*(3+(7+3)))	677*+373++*
((6-(0-0))+(6/(7/(6+7))))	600--6767+//+
((1/(6*4))+(9+(7-(0*8))))	164*/9708*-++
((5*((6+(6+6))-0))*(4*4))	5666++0-*44**
(((3*(4/5))-(1+9))-(2+9))	345/*19+-29+-
((8+1)-((9*6)/(4-3)))	81+96*43-/-
((8+5)-(1+(7-(4-5))))	85+1745--+-
(8+((5/8)*(5/(2*2))))	858/522*/*+
(0+((9-(8+4))/(9-6)))	0984+-96-/+
((5*((0*(5*4))*1))/(4-0))	5054**1**40-/
((7*(4-(8+1)))-(7+(9*9)))	7481+-*799*+-
((3*((6/6)*5))/(4+3))	366/5**43+/
((2/(2*(6-9)))*(3/(7*6)))	2269-*/376*/*
((2+7)/((5+3)+(8+(5-2))))	27+53+852-++/
((3+7)/(4-(0+((2-0)/4))))	37+4020-4/+-/
(((0+(2*4))/(3/3))*(5+9))	024*+33//59+*
((7/(0+(8-(6/2))))+(3/0))	70862/-+/30/+
(((2*(3/3))+1)-(1-4))	233/*1+14--
((1/(2+6))-(0-(2*(0/4))))	126+/0204/*--
(((4-1)*(4*8))-(7-6))	41-48**76--
(8/((1-(2/2))/(4+9)))	8122/-49+//
((6*0)*(6/(6+(4+9))))	60*6649++/*
(((7-4)/(0*7))+(0*(8-2)))	74-07*/082-*+
(((2-9)+4)-(6/(1/1)))	29-4+611//-
(((2-(4+4))*(9/1))-5)	244+-91/*5-
((((9-0)-6)/(2+(3/5)))*4)	90-6-235/+/4*
((8*0)/((3*0)+(0*(6*1))))	80*30*061**+/
(((1+1)/(9*9))*(8/4))	11+99*/84/*
(((((6+3)-7)+1)-0)/(3/9))	63+7-1+0-39//
((2+(2+6))*(7-(6*4)))	226++764*-*
((9/(7+(3*9)))/(0+(7*6)))	9739*+/076*+/
(((8*(6+8))/1)-(6*(4*5)))	868+*1/645**-
((4-(8+(2-(4/7))))+(3+9))	48247/-+-39++
(0*((3*(8*(7/6)))/4))	03876/**4/*
((0*7)/((0/(1*9))+(3*8)))	07*019*/38*+/
(((1/(9+9))/0)+(5/2))	199+/0/52/+
(((4/8)-4)/(1+(0*5)))	48/4-105*+/
((1-(4/0))-(0*(6*9)))	140/-069**-
(((6-4)+(9*(8+5)))*(9*2))	64-985+*+92**
(((6*(8+1))*(0/5))*5)	681+*05/*5*
((3/(5*5))+(8*(1-(8-8))))	355*/8188--*+
((2*(2+0))/(2-(7*(6-7))))	220+*2767-*-/
((6/0)+(4*((2-2)/(8/0))))	60/422-80//*+
(((6*2)/(5+(8-(2/7))))*0)	62*5827/-+/0*
((3-6)+(4*((2-1)-(4*4))))	36-421-44*-*+
(((5*(3-(5*0)))-3)+(5/4))	5350*-*3-54/+
(((7/(7+2))-(8-7))/(8/0))	772+/87--80//
((0+(4-0))-(6/(9-8)))	040-+698-/-
((8*6)/(9+(9+(5-3))))	86*9953-++/
((5-5)/(0/((4/(8/1))*9)))	55-0481//9*//
((0-5)-(((6+9)*1)*0))	05-69+1*0*-
((1*(2+(0+8)))+(6*(0+6)))	1208++*606+*+
(((5+6)*7)/(2-(3/(6/7))))	56+7*2367//-/
((4/(8*(2/5)))*(5-(8*2)))	4825/*/582*-*
((4/4)+(0-(7/(0/(8-8)))))	44/07088-//-+
((4-((4+5)/6))-(6*(5/5)))	445+6/-655/*-
(0+((6/1)+(6*(8*7))))	061/687**++
((2+(6+2))-((0-(7+0))*8))	262++070+-8*-
((0/3)-((7-8)-(2/(5-3))))	03/78-253-/--
(1*((2*((5-3)-8))+(0*8)))	1253-8-*08*+*
((5+(5-(3*4)))/(9/3))	5534*-+93//
((3*(0-(5-3)))-(4-9))	3053--*49--
((0*6)+((2*(5-1))-(1/2)))	06*251-*12/-+
((9+4)/(9*(7*(2*5))))	94+9725***/
((5+1)-((0+0)+(9/(9-6))))	51+00+996-/+-
(((4*(3*(1+9)))+3)+(6+5))	4319+**3+65++
((7*((5+9)+1))+(2+8))	759+1+*28++
((0*(4-(5*(8+5))))/(8-9))	04585+*-*89-/
(0/((1/(5/6))+(1/2)))	0156//12/+/
(((6/(2*(0+7)))-5)+5)	6207+*/5-5+
((0+(3+(7*(1*5))))-(1-1))	03715**++11--
((8+((7-((0/6)+2))-3))*5)	8706/2+-3-+5*
((((7/4)+2)/(3*2))+7)	74/2+32*/7+
(((4-7)/2)-(3*(1+(8-2))))	47-2/3182-+*-
((0+(2+7))*(0/(0*7)))	027++007*/*
((6+1)+((1*3)-(1*(0-8))))	61+13*108-*-+
((4*9)+((3-(0*7))*(3*6)))	49*307*-36**+
(((9*9)/(2-3))-(8*(0-3)))	99*23-/803-*-
(((2*7)-(6*(6-2)))-(6*2))	27*662-*-62*-
(((9/3)/0)+(6*(0*1)))	93/0/601**+
(((9*9)*(9*6))*(1-5))	99*96**15-*
(((4/7)-(7/(8/4)))*9)	47/784//-9*
((0+9)*((8/6)/(9*(1*6))))	09+86/916**/*
((2+(3/(3*3)))+(7/8))	2333*/+78/+
(8+(((9*(5/7))-0)*(5*5)))	8957/*0-55**+
(((6*3)/9)-(8-(3*8)))	63*9/838*--
((1+(4/(0+3)))*(3+1))	1403+/+31+*
(((4+2)/(4-(1*7)))-(5*4))	42+417*-/54*-
((5-(5+(6+3)))+(0-8))	5563++-08-+
((8+3)+((3+(8+8))*(5/1)))	83+388++51/*+
((7/((2+4)-3))*(2/(3/5)))	724+3-/235//*
((5+3)+(0/((5*4)-(0/7))))	53+054*07/-/+
((3/5)/(2+(0-(0*1))))	35/2001*-+/
((1+9)*((7-3)/(5/(7-4))))	19+73-574-//*
(3+((7+8)/(7/(1-5))))	378+715-//+
(1-(7/(1*(5/(2*7)))))	171527*/*/-
((((1-5)*5)/(4*(2*8)))/6)	15-5*428**/6/
((0-1)*(0/(5/(9/(4*8)))))	01-05948*///*
(((8-2)*4)/(0-(6*2)))	82-4*062*-/
((4*(7*((4+5)/4)))-(8/5))	4745+4/**85/-
((7+(2/(6/2)))-(2+0))	7262//+20+-
(8+(((7-2)+(4-(0-4)))-5))	872-404--+5-+
(4/((6+(2/4))/(4/7)))	4624/+47///
((0-(2-0))/(2*(7-7)))	020--277-*/
(((7/2)/((8*0)-7))-(7*4))	72/80*7-/74*-
((1/(4-(2-(7*4))))/(7*0))	14274*--/70*/
((0/(3-6))/(6*(0/(1-6))))	036-/6016-/*/
((7+1)-((4*4)/(2/(2*0))))	71+44*220*//-
((((3+5)*(9-5))+2)/(3*4))	35+95-*2+34*/
((9-2)/(2/(3+(1*5))))	92-2315*+//
(3-((5-8)+(3-(7*9))))	358-379*-+-
((0-1)/((5-(8+1))*2))	01-581+-2*/
((1-7)-(7-(3+(2-0))))	17-7320-+--
((7/(3*9))/(0*(7/(2*7))))	739*/0727*/*/
(6/(9/(4*(3+(0/5)))))	694305/+*//
((8/1)*(4*(1-(4*2))))	81/4142*-**
((7/(7-(1*9)))*(7*6))	7719*-/76**
(6*(8+(6/(2*(6-(8/8))))))	6862688/-*/+*
(9+((3/2)/(2*(4/3))))	932/243/*/+
((1-9)*(5-(9-(3*(6-5)))))	19-59365-*--*
(((1+8)+(3+4))*(4+(8*7)))	18+34++487*+*
(7*(6-(((3-4)-5)/(0+7))))	7634-5-07+/-*
((0-(0+(5/5)))+(5-(9+7)))	0055/+-597+-+
((9*3)/(9*(4-(1-1))))	93*9411--*/
(9*((7/(9+(4*0)))/1))	97940*+/1/*
((1-(2/(6-5)))/(5*(3-5)))	1265-/-535-*/
((8*(8-9))/(3+(2-6)))	889-*326-+/
(((9*3)/9)/(5-(9+(4-6))))	93*9/5946-+-/
(2*(3-(5*(1*(9-8)))))	235198-**-*
((2-(1+3))/(7-(5-8)))	213+-758--/
((9+2)/((6-9)*(8-(4*5))))	92+69-845*-*/
(((6-3)*(5*(8-8)))/8)	63-588-**8/
((8/(7+0))*(4*(9*2)))	870+/492***
((7+1)*((0/9)*(4*(0+8))))	71+09/408+***
((5-(1+5))-(8+(4*(9+2))))	515+-8492+*+-
(((7-3)-(1/(0*5)))+(6+0))	73-105*/-60++
((5-7)*((5/3)-(5+1)))	57-53/51+-*
(((6-5)/(7+(5+0)))/7)	65-750++/7/
(((3-4)*2)/(0-(3/(8/6))))	34-2*0386//-/
(((6+8)/(1*1))/(3*(2/4)))	68+11*/324/*/
(((2+3)/7)+(3*(5-8)))	23+7/358-*+
(((8-2)/(6+5))+((1+6)+0))	82-65+/16+0++
(((3-5)/2)-((9+7)*(6+3)))	35-2/97+63+*-
((2+(1/(5+7)))-((2/0)-5))	2157+/+20/5--
((9+((1*5)+(9/6)))/(9-5))	915*96/++95-/
(4+(6+((6*4)-(5/6))))	4664*56/-++
(3-(0*(4*(8/(3-(5/9))))))	3048359/-/**-
((2-(6-(2*0)))*(2+(7*6)))	2620*--276*+*
(1/((6*(0/(3+7)))-(4/9)))	16037+/*49/-/
((3+(8/5))-(2-(8*(8/3))))	385/+2883/*--
((5+6)/(((6/5)/9)-(2/5)))	56+65/9/25/-/
(((8*9)+7)+(0/(2*3)))	89*7+023*/+
(((6-1)/(6/1))-(8/(6+2)))	61-61//862+/-
(((3/8)-(3/3))+(7/(9-2)))	38/33/-792-/+
((((9*(9-3))*2)/(6*4))-1)	993-*2*64*/1-
(((4*7)*9)-(7-(2/(3*4))))	47*9*7234*/--
(((4*8)-(1-8))*(6/(6/8)))	48*18--668//*
((7/(8-9))*(7*(7/(0*8))))	789-/7708*/**
(1*((2/(6*8))+(5+(9*7))))	1268*/597*++*
(2-(2*(6-(3-(6-2)))))	226362---*-
(((7-8)+(5-(8-3)))+9)	78-583--+9+
((5+(2+3))/(6*(2+0)))	523++620+*/
((4*7)+(4+(5*(3-8))))	47*4538-*++
(1/(((8+9)/(8-(6+4)))/0))	189+864+-/0//
((0-6)-(5-(8/(1/1))))	06-5811//--
(((2-(5/0))-(0-(8-6)))-1)	250/-086---1-
((5-2)*((9-(4+7))*1))	52-947+-1**
((6+(2+3))/(4+(3/6)))	623++436/+/
(((9+(0/(1*0)))/0)-7)	9010*/+0/7-
((2/8)-((2*0)-(6+9)))	28/20*69+--
((7+5)*(0/(6-(9/7))))	75+0697/-/*
(0*(8*(0*((0-(4-5))+5))))	080045--5+***
(((9-(0*2))*(0/4))*(5/8))	902*-04/*58/*
((7*(9-4))+(3*(7-(4+3))))	794-*3743+-*+
((6*7)+((5-3)+(0+(1*1))))	67*53-011*+++
((1/0)+(8/(6+(6/(0*9)))))	10/86609*/+/+
(3*((4+1)*(1+(9-(6/0)))))	341+1960/-+**
(((2*9)-(0*3))-(4+(2*9)))	29*03*-429*+-
(7+(3*(8/(1+(9-7)))))	738197-+/*+
(((9*9)/(2+5))*(2+(0/8)))	99*25+/208/+*
((8/(1/(4-(9*9))))*0)	81499*-//0*
(4/(4-((1/(0*1))+(4/8))))	44101*/48/+-/
((8+(0/(8*2)))/(4*(3/0)))	8082*/+430/*/
(6-(2-(7*(5*(7*2)))))	627572***--
((3*(0/0))*(6*(6-(8*5))))	300/*6685*-**
((3*(9*9))-(0+(6*(7+4))))	399**0674+*+-
((9/2)/(0-(6+(6+8))))	92/0668++-/
(((1+(0+2))*(3*(6/3)))-4)	102++363/**4-
(9/(3+(3+(6/(8*(6/2))))))	9336862/*/++/
((2+(1+9))+(9/(9*(9-4))))	219++9994-*/+
((((0+(7-7))/1)+(8*8))-9)	077-+1/88*+9-
((2/6)/(8/(8/(6+(3/8)))))	26/88638/+///
((1-5)-(4+(9-(1*4))))	15-4914*-+-
((6+((4/6)/0))-(4+1))	646/0/+41+-
((1/(5-0))-(6*(1-(5/7))))	150-/6157/-*-
(((7/(0/2))/(5*5))+(4+4))	702//55*/44++
((9+(8+(6-7)))-(8+4))	9867-++84+-
(2-(9+(5+(7+(2*9)))))	295729*+++-
(((8/(8/1))*(1-(0-2)))-3)	881//102--*3-
(7+(4/(2/(2+(7+1)))))	742271++//+
((5-7)+((0*1)*(3+(5/8))))	57-01*358/+*+
((6/(3-9))+(6*(6-2)))	639-/662-*+
((((2-0)+0)*9)*(7*(3/7)))	20-0+9*737/**
(3-(7/(2-(0+(1-7)))))	372017-+-/-
(((2+6)/(1*9))+(8+(7-8)))	26+19*/878-++
(((2-7)-8)-(5/(9*9)))	27-8-599*/-
(((6+(3-5))/7)+(8+5))	635-+7/85++
(((9+(7-6))*9)/((4+9)*7))	976-+9*49+7*/
(2-((0-(0-3))*(4*(9-8))))	2003--498-**-
(((1*9)/8)-(9-(0/(9/1))))	19*8/9091//--
((0+6)/(8+(1*(2/(5/2)))))	06+81252//*+/
(((4/3)/4)*(4*(0/2)))	43/4/402/**
((7+((0*(2-7))*(6*6)))+6)	7027-*66**+6+
(((6-1)-(4-1))-(2*0))	61-41--20*-
(((6/(2+0))+0)/(8/(3-7)))	620+/0+837-//
((2*(2/4))-(7*(6-(4*1))))	224/*7641*-*-
(((2/(4+3))+1)*(8*4))	243+/1+84**
(5*((6*3)+(2/(8+6))))	563*286+/+*
((2-(8/9))-(7-(1/9)))	289/-719/--
(8-((8/6)+(0+(9*1))))	886/091*++-
(3/((7+(3/2))-(4+6)))	3732/+46+-/
((0+1)-((8+(4-5))/(2+5)))	01+845-+25+/-
(((3+0)/2)/(7-(7/9)))	30+2/779/-/
(((((2-6)/(9*4))+9)/1)/6)	26-94*/9+1/6/
((7-((1/(6-1))*9))*(2-0))	7161-/9*-20-*
(1-(3-(7-((1-1)+(9+7)))))	13711-97++---
((1*(7*7))-(5-(9+(4/6))))	177**5946/+--
((4/(8+(7-1)))-(1*(6/1)))	4871-+/161/*-
((2*(1-1))+((4-7)+(7/4)))	211-*47-74/++
((7/(7-(9+(0-(8-0)))))-7)	779080--+-/7-
((0/(0*(6/5)))+(5/4))	0065/*/54/+
((2*2)+(9-(8-(1+(1-6)))))	22*98116-+--+
(6*((6+2)+(6-((9+6)*2))))	662+696+2*-+*
((9+8)/((7*2)/(6+(4*9))))	98+72*649*+//
(8-(0+(4+(4-(1-3)))))	804413--++-
(2/((4/(9+(4+7)))*1))	24947++/1*/
(5/((2+(3/2))-(5/4)))	5232/+54/-/
((8*(8-1))-(8-(1*(8*4))))	881-*8184**--
(((3/4)/8)+(9/(7+5)))	34/8/975+/+
((2*(6/3))-(2/(6/2)))	263/*262//-
(8/((4-1)/(7-(5+(5/5)))))	841-7555/+-//
((1*8)*(9-(7-(8+(3/6)))))	18*97836/+--*
(((2-(5-3))-1)*(3-1))	253--1-31-*
(((0/9)*(1+3))+(8/(1*1)))	09/13+*811*/+
((8+2)+((5+(0+1))-9))	82+501++9-+
((7/2)+((3+9)+(5-(3+4))))	72/39+534+-++
(8+((0*(8-(3-9)))/(4-6)))	80839--*46-/+
(((((3*9)*7)-0)*(0*8))-9)	39*7*0-08**9-
((8/(6-(1-3)))/(5+8))	8613--/58+/
(((5-(5*9))-4)/(9+3))	559*-4-93+/
(6-(1+(6+(2+(5+0)))))	616250++++-
(7/(7*(3/(0+(4+(6+2))))))	7730462+++/*/
((9/(4-9))*(0/(2*4)))	949-/024*/*
((3*(0+5))*(9+(6/0)))	305+*960/+*
((9-(5*9))+(4+((3/7)-5)))	959*-437/5-++
(5/((1+(0+4))/(3-(5-1))))	5104++351--//
((0-(0+(8*9)))-(4/7))	0089*+-47/-
(3*(2/(9*(7*(0/0)))))	329700/**/*
(7+((9+(0+6))-((8+4)+4)))	7906++84+4+-+
(((3/6)*(4+6))*(1*4))	36/46+*14**
((6/(8/(9/(2*4))))/(1/4))	68924*///14//
(((5*(2+4))-(5/(2-6)))+9)	524+*526-/-9+
(((0+9)*(3+7))/(2*0))	09+37+*20*/
((2+(8-(7/1)))*(6*(2+1)))	2871/-+621+**
((7+(5/9))*(0*((4/1)-8)))	759/+041/8-**
(((8-4)+3)/(6*((9-3)+6)))	84-3+693-6+*/
(2+((4*(7*6))-(5/7)))	2476**57/-+
((9*9)-(4*(6/(1*(5+5)))))	99*46155+*/*-
((((2-7)-(1-3))/4)/(5/1))	27-13--4/51//
(((5+7)/5)-((3*6)*2))	57+5/36*2*-
((6/(1/(8*7)))-(8*7))	6187*//87*-
(((1/6)/9)+(7-(5/(4/5))))	16/9/7545//-+
(7-(5*(9+((3*7)+0))))	75937*0++*-
(((5/4)/4)*(4-(3*2)))	54/4/432*-*
((5/(2/(3*5)))/(5-2))	5235*//52-/
(((5+6)-(8*0))-(7+(8/5)))	56+80*-785/+-
((9-((8+0)+6))-(6-(8-4)))	980+6+-684---
(((9*9)/4)+(1+(4-9)))	99*4/149-++
((8-((8*9)+3))*(3-(4/5)))	889*3+-345/-*
((2*(9/(6-2)))+(6/1))	2962-/*61/+
((9+2)+(4*((1+2)-(2+9))))	92+412+29+-*+
((1-(5-(0/3)))*(5*(0-1)))	1503/--501-**
(((3-2)/6)+(0*(8-0)))	32-6/080-*+
((9*5)*((2-3)/(8+(6/6))))	95*23-866/+/*
(((0*4)/8)*(3+(7*(3-0))))	04*8/3730-*+*
(4+((2-(2/2))+(7/(7+4))))	4222/-774+/++
(8-((2-9)/(2-(4-7))))	829-247--/-
(((2/6)*(8*5))*(6/(6/1)))	26/85**661//*
(8-(((5+9)/(6+0))*(4/3)))	859+60+/43/*-
(5-((4*(9-(4/7)))+(6-9)))	54947/-*69-+-
((4/(3*5))-(9/(2/6)))	435*/926//-
((6/1)*(4*((1/8)-(0/6))))	61/418/06/-**
((4-4)-(8*((3-4)*(5+6))))	44-834-56+**-
(((8-(5*2))*5)+(5*4))	852*-5*54*+
(((0+4)+(2*4))+(5-(6/0)))	04+24*+560/-+
(2+((2/5)*(1-(9+(1+1)))))	225/1911++-*+
(7*((4-(5-(9-4)))*(4*5)))	74594---45***
((9-6)+(2+((5-9)/3)))	96-259-3/++
((3/5)-((2-(2-1))*(0-3)))	35/221--03-*-
(((2-9)-7)/(7*(0/5)))	29-7-705/*/
((6/(3/2))/(9*(1+(4*4))))	632//9144*+*/
((1/(2+(0*7)))+(5/4))	1207*+/54/+
(((9*(2/(5+5)))-5)+(2+4))	9255+/*5-24++
((0*(8+0))*(3-(6+(7/2))))	080+*3672/+-*
(((6-5)+(2-(3+7)))-(5+4))	65-237+-+54+-
((9*1)*(1+(7/(9/5))))	91*1795//+*
((0-(4/2))/(1*(3*0)))	042/-130**/
((6*(4*5))/((5-7)/(9+6)))	645**57-96+//
((9+(4-8))/(6+(0+7)))	948-+607++/
((5+(4/0))/(7-(7/8)))	540/+778/-/
(2/(9*(4+((9-6)-0))))	29496-0-+*/
((7/(8-(6*9)))/(0/(7+5)))	7869*-/075+//
((4+(1+7))/(9/(9-3)))	417++993-//
((4/(9-(7*(6*4))))+5)	49764**-/5+
(((3*(5*8))+(9/2))-(6*7))	358**92/+67*-
((0/(1-9))-(2+(7-(9*3))))	019-/2793*-+-
((4/(9/9))-(2+(2-(4*7))))	499//2247*-+-
((2+(4/(1*0)))/(7+(1*1)))	2410*/+711*+/
(0/((0+(7+9))*(6+(7-7))))	0079++677-+*/
((3/5)+(7-(1+(7/(4-5)))))	35/71745-/+-+
((7+(2+(1-0)))-(2+(7+8)))	7210-++278++-
(((6*(6-7))+(8*8))+(1*0))	667-*88*+10*+
((((4+8)*9)+2)/(6*(8-1)))	48+9*2+681-*/
(((3-5)/(5+(8/2)))/3)	35-582/+/3/
(((3/7)*(8*8))/(6-9))	37/88**69-/
(((0-2)/7)-(9+(6-5)))	02-7/965-+-
(((9/4)*(3/(2-(7+7))))+4)	94/3277+-/*4+
(((5/0)/(1+8))+(3+(1/8)))	50/18+/318/++
((((6/1)*5)-(0-5))/(7-0))	61/5*05--70-/
((4/(0+2))*((5+9)-(7+7)))	402+/59+77+-*
((2*(0/8))-(9*(7/9)))	208/*979/*-
(8+(0+(5-(2-(9/3)))))	805293/--++
(2-(((2+5)-7)-(4/0)))	225+7-40/--
((6*(5*(5-7)))*(9/9))	6557-**99/*
((9*8)-(3*((4/0)*3)))	98*340/3**-
((3+(0*(2-(4-(2-3)))))+0)	302423---*+0+
((3-(0/3))+(9-(5*(8-8))))	303/-9588-*-+
((7*(4+(9+1)))*(5/(5-2)))	7491++*552-/*
(((2+2)*1)/(9/(7+3)))	22+1*973+//
(((7-8)/(1/(8*1)))-(8+1))	78-181*//81+-
((0*(3+(4*1)))*(4-4))	0341*+*44-*
(((3*2)-(9/1))+(2/3))	32*91/-23/+
(((3*7)*(1/2))+(6+(0/3)))	37*12/*603/++
((1*9)/((7+3)+(6-(5-9))))	19*73+659--+/
((3*(4*4))+(5+(0-5)))	344**505-++
((9/7)*((8/(9/(3/0)))*9))	97/8930///9**
(((0-1)+(3/3))*(0+3))	01-33/+03+*
